frame_id,arm,seed,raw_diagonal_px,base_frame_mean_px,method_frame_mean_px,method_frame_normalized,gain_frame_px,correction_mean_px,correction_max_px,utility_mean,actual_candidate_gain_mean_px,mode_ambiguity_mean
P0__shard_03_f0948,direct,3,865.3323364257812,2.7085656753455867,3.5140195066758437,0.004060890086680862,-0.805453831330257,1.4839031907750213,3.2396219816613168,0.07203141506761312,-2.2755649089813232,0.5262040570378304
P0__shard_04_f0495,direct,3,800.0,6.417270095639176,6.670656537306196,0.008338320671632746,-0.2533864416670202,3.503054965145937,8.00000027310484,0.0873383500923713,-1.5846009254455566,0.562895804643631
TEX__shard_04_f1055,direct,3,865.3323364257812,14.471073653648645,16.294567717671757,0.018830415820326074,-1.8234940640231123,6.061124313802228,8.65332354097035,0.13894273775319257,-0.31413137912750244,0.5592944199840227
G38__G__f17408,direct,3,1101.45361328125,1.5126209076874817,1.4112181983268366,0.001281232528824153,0.1014027093606451,0.8028962413701515,1.5258670539279366,0.08708341419696808,-1.2879183292388916,0.5443050563335419
P0__shard_00_f0419,direct,3,800.0,1.8452983700262786,4.068133472163689,0.005085166840204611,-2.2228351021374104,2.664494258391419,6.605589234259659,0.07652243785560131,-2.7574462890625,0.6253322015206019
TEX__shard_02_f1014,direct,3,800.0,1.502526742253588,3.1199838712095906,0.0038999798390119884,-1.6174571289560027,1.7620008294692386,3.295247835275573,0.06543000663320224,-3.4189693927764893,0.6090226173400879
G38__G__f9531,direct,3,800.0,7.562359981541576,8.437032789418192,0.01054629098677274,-0.8746728078766157,3.153655818550667,5.965014720648911,0.11529289868970712,-1.3075119256973267,0.6912734359502792
TEX__shard_00_f0217,direct,3,800.0,1.2755458766459045,2.1333927585421573,0.0026667409481776964,-0.8578468818962528,1.055359167851713,1.6771590961928327,0.07314020674675703,-2.7954323291778564,0.5190675308307012
TEX__shard_04_f0899,direct,3,865.3323364257812,0.9921713471133782,1.6738766384555954,0.0019343743068350738,-0.6817052913422172,1.649472382111749,3.8243377006681345,0.07430311851203442,-2.9928643703460693,0.5488874812920889
G38__G__f3228,direct,3,800.0,3.0929364414389906,7.055877238916569,0.008819846548645711,-3.9629407974775783,4.5549169882318115,8.000000444592711,0.08846668619662523,-2.784355401992798,0.6484782993793488
G38__G__f23607,direct,3,1101.45361328125,1.9639987200761877,2.2196988770425836,0.0020152449910532874,-0.2557001569663959,0.5233044596933702,1.1410063364532728,0.1235353909432888,-0.6649567484855652,0.5706243564685186
P0__shard_05_f1143,direct,3,1101.45361328125,6.459218505848166,8.981517011645701,0.008154239909286421,-2.5222985057975356,3.3191161917842806,10.642193002699255,0.07799298750857513,-2.573404312133789,0.544514519472917
TEX__shard_07_f1065,direct,3,865.3323364257812,1.3954665013423306,1.6430187775505392,0.0018987141799611453,-0.24755227620820852,0.8364125693041118,1.687735245291009,0.08125689532607794,-1.6848193407058716,0.5231288646658262
G38__G__f20638,direct,3,800.0,9.490575812695399,11.126534271214583,0.013908167839018229,-1.635958458519184,5.424196187806942,7.903239920256637,0.08239504353453715,-1.2656645774841309,0.567070667942365
G38__G__f22741,direct,3,865.3323364257812,1.4266734919637822,2.4637940501251445,0.002847222906636937,-1.0371205581613623,1.535691708711508,4.386443162017375,0.08331724877158801,-1.7281570434570312,0.6388238966464996
TEX__shard_05_f0999,direct,3,800.0,1.3135326123463478,1.5167151559614456,0.001895893944951807,-0.2031825436150978,2.2270037646111196,4.5217531107573805,0.06358845500896375,-2.248215436935425,0.5697053819894791
G38__G__f12826,direct,3,800.0,2.9485194303119835,3.607479192367932,0.004509348990459915,-0.6589597620559484,3.276817579697455,6.250330158293531,0.11302821555485328,-2.9442930221557617,0.6803233822186788
