epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,3050.52,0.53666,1.18347,0.09874,0.36823,0.88614,0.99098,0.98937,0.99436,0.91355,0.94766,0.94236,0.92083,0.87079,0.41753,0.79103,0.01504,0.2641,0.83887,0.00402084,0.00402084,0.00402084
19,3218.88,0.51841,1.09762,0.09455,0.35664,0.88087,0.99647,0.98839,0.99467,0.91567,0.95003,0.94203,0.92075,0.8743,0.4089,0.76322,0.0141,0.25875,0.83451,0.00352037,0.00352037,0.00352037
20,3387.11,0.50586,1.04769,0.09092,0.34856,0.87473,0.99101,0.99278,0.99462,0.92001,0.94811,0.94795,0.92309,0.87864,0.40056,0.72592,0.01338,0.25398,0.83164,0.00303665,0.00303665,0.00303665
21,3556.73,0.43658,0.74351,0.02316,0.28779,0.83419,0.9915,0.99224,0.99472,0.92017,0.95345,0.95095,0.92712,0.88699,0.39622,0.68884,0.01164,0.2489,0.83014,0.002575,0.002575,0.002575
22,3724.28,0.41825,0.69014,0.02129,0.27713,0.82744,0.9925,0.99283,0.99463,0.92291,0.95171,0.95145,0.92481,0.8849,0.38903,0.69363,0.01069,0.24362,0.8281,0.00214046,0.00214046,0.00214046
23,3891.77,0.40267,0.64875,0.0197,0.26587,0.823,0.99201,0.99395,0.99462,0.92504,0.95174,0.95045,0.92499,0.88581,0.38341,0.69251,0.01003,0.2394,0.82608,0.0017378,0.0017378,0.0017378
24,4058.87,0.3895,0.60282,0.01878,0.25719,0.81967,0.99152,0.99434,0.99463,0.92531,0.95538,0.95368,0.92961,0.89219,0.37976,0.66406,0.00963,0.23626,0.8246,0.00137143,0.00137143,0.00137143
25,4226.42,0.3758,0.58815,0.01841,0.24831,0.81603,0.9918,0.99399,0.99467,0.92635,0.95529,0.95186,0.93068,0.89593,0.37689,0.65237,0.00929,0.23451,0.82381,0.00104537,0.00104537,0.00104537
26,4394.01,0.36308,0.52818,0.01702,0.23927,0.81219,0.992,0.99266,0.99469,0.92764,0.95636,0.95419,0.93115,0.89676,0.37414,0.63945,0.00898,0.23257,0.82315,0.000763174,0.000763174,0.000763174
27,4561.49,0.35392,0.51416,0.01636,0.233,0.80885,0.99151,0.99352,0.9947,0.92862,0.95721,0.95646,0.94033,0.90034,0.37187,0.62706,0.00873,0.23097,0.82238,0.00052795,0.00052795,0.00052795
28,4728.71,0.34716,0.47884,0.01639,0.22853,0.80921,0.99151,0.99319,0.99471,0.92888,0.95794,0.95345,0.93229,0.9006,0.37021,0.62338,0.0085,0.22933,0.8216,0.00034227,0.00034227,0.00034227
29,4895.82,0.3413,0.47139,0.01553,0.22478,0.80599,0.99172,0.99299,0.9947,0.92886,0.95739,0.95583,0.94042,0.90082,0.36865,0.61852,0.00835,0.22868,0.82102,0.000208169,0.000208169,0.000208169
30,5062.82,0.33795,0.45472,0.01546,0.22277,0.80677,0.99216,0.99299,0.99471,0.92913,0.95789,0.95626,0.9414,0.90126,0.36792,0.61359,0.00821,0.22785,0.82088,0.000127117,0.000127117,0.000127117
