file,category,rank,frame_id,domain,filter,accepted_by_filter,corner_median_px,corner_max_px,gross_keypoints_over_20px,box_conf,s_reproj,s_remove,s_flip,image_path
figures/pseudolabel_bad_accepted_06.png,bad_accepted,6,plastic_day_01:021348,DAY,F4_PROPOSED,True,64.583,96.895,8,0.965,0.00748,0.01156,0.01333,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/021348.png
figures/pseudolabel_rejected_correct_01.png,rejected_correct,1,eval_night09:1779449604823769344,NIGHT,F4_PROPOSED,False,305.684,425.227,7,0.7596,0.01968,0.03044,0.07581,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_night09/rgb/1779449604823769344.png
figures/pseudolabel_rejected_correct_02.png,rejected_correct,2,eval_night09:1779449661263803392,NIGHT,F4_PROPOSED,False,346.674,368.713,5,0.8132,0.01617,0.02592,0.02556,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_night09/rgb/1779449661263803392.png
figures/pseudolabel_rejected_correct_03.png,rejected_correct,3,eval_night09:1779449602689248000,NIGHT,F4_PROPOSED,False,211.583,343.858,9,0.7959,0.01305,0.02262,3.67721,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_night09/rgb/1779449602689248000.png
figures/pseudolabel_rejected_correct_04.png,rejected_correct,4,eval_night08:1779449485800670464,NIGHT,F4_PROPOSED,False,152.724,325.534,9,0.0139,0.0037,0.00622,0.72363,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_night08/rgb/1779449485800670464.png
figures/pseudolabel_rejected_correct_05.png,rejected_correct,5,eval_night09:1779449596017728000,NIGHT,F4_PROPOSED,False,218.085,317.49,9,0.6124,0.01228,0.02036,4.05191,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_night09/rgb/1779449596017728000.png
figures/pseudolabel_rejected_correct_06.png,rejected_correct,6,eval_night08:1779449496875356416,NIGHT,F4_PROPOSED,False,136.009,263.948,7,0.0723,0.00613,0.00993,0.66038,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_night08/rgb/1779449496875356416.png
figures/pseudolabel_rejected_costly_01.png,rejected_costly,1,eval_outside:1778653526955536896,DAY,F4_PROPOSED,False,4.539,5.882,0,0.7406,0.00825,0.01251,0.01269,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_outside/rgb/1778653526955536896.png
figures/pseudolabel_rejected_costly_02.png,rejected_costly,2,plastic_day_01:015062,DAY,F4_PROPOSED,False,3.999,6.153,0,0.8322,0.01081,0.01658,0.00638,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/015062.png
figures/pseudolabel_rejected_costly_03.png,rejected_costly,3,plastic_day_01:010207,DAY,F4_PROPOSED,False,4.462,6.916,0,0.7184,0.00983,0.01539,0.02889,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_day_01/rgb/010207.png
figures/pseudolabel_rejected_costly_04.png,rejected_costly,4,eval_outside:1778651579029250816,DAY,F4_PROPOSED,False,5.171,8.414,0,0.5539,0.00628,0.00917,0.01028,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_outside/rgb/1778651579029250816.png
figures/pseudolabel_rejected_costly_05.png,rejected_costly,5,eval_pallet09:1778653693804927232,DAY,F4_PROPOSED,False,5.085,9.958,0,0.905,0.00919,0.01461,0.06498,data/evaluation/pallet_eval_v1/dev_existing/sessions/eval_pallet09/rgb/1778653693804927232.png
figures/pseudolabel_rejected_costly_06.png,rejected_costly,6,plastic_night_01:035421,NIGHT,F4_PROPOSED,False,6.044,10.136,0,0.7658,0.00737,0.01174,0.0152,data/evaluation/pallet_eval_v1/final/positive/sessions/plastic_night_01/rgb/035421.png
