epoch,criterion,identity,rot90,rot180,rot270
61,one2one,728,106,0,7
62,one2many,7447,1000,0,30
62,one2one,750,100,0,2
63,one2many,7419,1160,0,30
63,one2one,742,116,1,3
64,one2many,7561,1030,0,20
64,one2one,757,104,0,2
65,one2many,7454,860,0,75
65,one2one,747,86,0,8
66,one2many,7592,840,0,90
66,one2one,760,84,0,9
67,one2many,7381,828,0,119
67,one2one,740,83,0,12
68,one2many,7895,950,0,20
68,one2one,790,97,0,2
69,one2many,7854,1010,0,20
69,one2one,787,101,0,2
70,one2many,7924,838,0,50
70,one2one,796,82,1,4
71,one2many,7902,870,0,58
71,one2one,789,87,1,7
72,one2many,7782,740,0,10
72,one2one,781,74,0,0
73,one2many,7905,647,0,60
73,one2one,792,65,0,6
74,one2many,7599,620,0,60
74,one2one,762,63,0,7
75,one2many,7948,650,0,50
75,one2one,796,65,0,5
76,one2many,7610,460,0,190
76,one2one,761,48,0,19
77,one2many,7650,210,0,600
77,one2one,765,21,0,60
78,one2many,7935,240,0,460
78,one2one,796,24,0,45
79,one2many,7943,370,0,370
79,one2one,793,38,0,38
80,one2many,7597,440,0,327
80,one2one,761,44,0,33
81,one2many,7957,510,0,200
81,one2one,795,52,0,21
82,one2many,8012,530,0,200
82,one2one,801,53,0,21
83,one2many,7749,560,0,200
83,one2one,775,56,0,21
84,one2many,7852,600,0,230
84,one2one,786,61,0,23
85,one2many,7852,600,0,180
85,one2one,788,60,0,18
86,one2many,7822,500,0,118
86,one2one,785,50,0,11
87,one2many,7598,650,0,289
87,one2one,762,65,0,28
88,one2many,7557,528,0,210
88,one2one,759,53,0,21
89,one2many,7715,530,0,260
89,one2one,771,52,1,27
90,one2many,7879,500,0,70
90,one2one,788,50,0,7
91,one2many,7738,750,0,120
91,one2one,774,75,0,12
92,one2many,7756,800,0,50
92,one2one,776,80,0,5
93,one2many,7946,790,0,70
93,one2one,795,79,0,7
94,one2many,7423,650,0,72
94,one2one,743,65,0,8
95,one2many,8112,630,0,70
95,one2one,812,63,0,7
96,one2many,7639,750,0,35
96,one2one,765,75,0,4
97,one2many,7815,820,0,80
97,one2one,782,84,0,7
98,one2many,8015,680,0,79
98,one2one,803,68,0,7
99,one2many,7881,770,0,50
99,one2one,789,77,0,5
100,one2many,8000,620,0,60
100,one2one,801,62,0,7
101,one2many,7757,650,0,70
101,one2one,778,65,0,6
102,one2many,7634,710,0,30
102,one2one,765,71,0,2
103,one2many,7743,840,0,50
103,one2one,775,85,0,5
104,one2many,7695,740,0,60
104,one2one,771,74,0,5
105,one2many,7532,899,0,89
105,one2one,753,91,0,9
106,one2many,8167,830,0,50
106,one2one,819,84,0,4
107,one2many,7237,760,0,10
107,one2one,724,76,0,1
108,one2many,8006,920,0,60
108,one2one,803,92,0,5
109,one2many,7427,800,0,0
109,one2one,744,80,0,0
110,one2many,6287,670,0,0
110,one2one,629,67,0,0
111,one2many,6260,700,0,0
111,one2one,626,70,0,0
112,one2many,6256,690,0,10
112,one2one,626,69,0,1
113,one2many,6263,690,0,0
113,one2one,627,69,0,0
114,one2many,6279,680,0,0
114,one2one,628,68,0,0
115,one2many,6259,700,0,0
115,one2one,626,70,0,0
116,one2many,6279,680,0,0
116,one2one,628,68,0,0
117,one2many,6269,690,0,0
117,one2one,627,69,0,0
118,one2many,6197,760,0,0
118,one2one,620,76,0,0
119,one2many,6230,730,0,0
119,one2one,623,73,0,0
