arm,seed,eta,frame_id,evaluable,E_sym,E_fixed,frame_mean_px,fixed_frame_mean_px,branch,n_corners,center_error_px,rescue,true_collapse
B2_THREE_EQUAL,3,1.0,G38__G__f17310,True,0.003156503515696528,0.003156503515696528,2.5252028125572226,2.5252028125572226,0,8,1.8670589092007657,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f19471,True,0.007672749299120555,0.007672749299120555,8.4511772226383,8.4511772226383,0,8,3.8944902864560156,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f2485,True,0.0030037222950557688,0.0030037222950557688,2.5992179404987077,2.5992179404987077,0,8,1.0353882239978405,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_04_f0738,True,0.004038617480530085,0.004038617480530085,3.2308939844240676,3.2308939844240676,0,8,3.047678770378639,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f15233,True,0.003379140275913116,0.003379140275913116,2.924079247629665,2.924079247629665,0,8,0.11001836719996852,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_01_f0081,True,0.0015849003956154293,0.0015849003956154293,1.7456942226837502,1.7456942226837502,0,8,2.1721927277447524,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f13706,True,0.003130454258439147,0.003130454258439147,2.5043634067513176,2.5043634067513176,0,8,1.839702846814246,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_06_f1249,True,0.002913800764404763,0.002913800764404763,2.5214059350114093,2.5214059350114093,0,8,0.1631227620197306,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f39518,True,0.0029339088368088313,0.0029339088368088313,2.347127069447065,2.347127069447065,0,8,1.3531521164018514,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_03_f0367,True,0.0007120467580928006,0.0007120467580928006,0.5696374064742404,0.5696374064742404,0,8,0.46027285738950624,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f32125,True,0.00356143280576365,0.00356143280576365,2.84914624461092,2.84914624461092,0,8,0.8691265751529016,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f2585,True,0.002259481365110378,0.002259481365110378,2.4887138499344954,2.4887138499344954,0,8,2.119398070587565,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f17365,True,0.0019542338665785807,0.0019542338665785807,2.1524978983518044,2.1524978983518044,0,8,1.6402473369442365,False,False
