arm,eta,seed,frames,annotated_corners,primary_E_sym,E_fixed,pooled_point_median_px,pooled_point_P90_px,frame_mean_median_px,frame_mean_P90_px,gross20_point_rate,true_collapse_frames,rescue_frames,center_median_px
B2_THREE_EQUAL,0.125,1,255,2016,0.00606836787722732,0.00606836787722732,1.7251548365676426,6.4799987209024525,2.0826456460517653,6.093457224348225,0.027777777777777776,6,0,1.237094345318566
B2_THREE_EQUAL,0.125,2,255,2016,0.0060933518355892865,0.0060933518355892865,1.774549552713216,6.740917777500471,2.04268536682704,6.142986520697438,0.027777777777777776,6,0,1.237094345318566
B2_THREE_EQUAL,0.125,3,255,2016,0.00604599360008753,0.00604599360008753,1.7057156560457993,6.425918842307224,2.021058938384543,6.032291400293628,0.028273809523809524,6,0,1.237094345318566
B2_THREE_EQUAL,0.25,1,255,2016,0.006067403768933949,0.006067403768933949,1.7263731834690927,6.490717369627605,2.0853547903699226,6.0845190036801045,0.027777777777777776,6,0,1.237094345318566
B2_THREE_EQUAL,0.25,2,255,2016,0.006091269351330687,0.006091269351330687,1.7729255297376834,6.682100695547085,2.0404683361983973,6.118163782610715,0.027777777777777776,6,0,1.237094345318566
B2_THREE_EQUAL,0.25,3,255,2016,0.006044590688211212,0.006044590688211212,1.7043511431006348,6.420860678290342,2.0215239564511247,6.057668416404519,0.028273809523809524,6,0,1.237094345318566
B2_THREE_EQUAL,0.5,1,255,2016,0.006066188747102158,0.006066188747102158,1.7283076842425342,6.491090979918635,2.090168422089472,6.06865297580314,0.028273809523809524,6,0,1.237094345318566
B2_THREE_EQUAL,0.5,2,255,2016,0.006088079927281856,0.006088079927281856,1.775874473826911,6.624223007537438,2.0502020353998334,6.078069013785073,0.028273809523809524,6,0,1.237094345318566
B2_THREE_EQUAL,0.5,3,255,2016,0.0060424646937607416,0.0060424646937607416,1.7037912106281454,6.447316995457564,2.0225104134746963,6.053052024312614,0.028273809523809524,6,0,1.237094345318566
B2_THREE_EQUAL,1.0,1,255,2016,0.006065861170011071,0.006065861170011071,1.7352964094995968,6.537771714490301,2.097815655612344,6.0445012382680545,0.028273809523809524,6,0,1.237094345318566
B2_THREE_EQUAL,1.0,2,255,2016,0.006084320726253394,0.006084320726253394,1.7779755581327783,6.5481564687751455,2.0533382294853415,6.036498661179608,0.028273809523809524,6,0,1.237094345318566
B2_THREE_EQUAL,1.0,3,255,2016,0.006040315865428941,0.006040315865428941,1.7081656247882133,6.4270826783787465,2.037215047152068,6.043517724583707,0.028769841269841268,6,0,1.237094345318566
B3_THREE_AMBIG,0,1,255,2016,0.006069614694643112,0.006069614694643112,1.726298290897827,6.460859588372642,2.0796865494652965,6.1024835172290475,0.027777777777777776,6,0,1.237094345318566
B3_THREE_AMBIG,0,2,255,2016,0.00609583573947108,0.00609583573947108,1.7770736428495253,6.7178136113291895,2.0450956136465437,6.170277288418653,0.027777777777777776,6,0,1.237094345318566
B3_THREE_AMBIG,0,3,255,2016,0.0060476959709732875,0.0060476959709732875,1.706357552341663,6.460858628671134,2.0205475093914207,6.004367345277049,0.028273809523809524,6,0,1.237094345318566
B3_THREE_AMBIG,0.125,1,255,2016,0.0060688344474819885,0.0060688344474819885,1.7277680994028688,6.462364911616397,2.081301828427247,6.097979296203041,0.027777777777777776,6,0,1.237094345318566
B3_THREE_AMBIG,0.125,2,255,2016,0.006094327059478003,0.006094327059478003,1.7765375398421361,6.708146571518123,2.045463448830972,6.15295583434031,0.027777777777777776,6,0,1.237094345318566
B3_THREE_AMBIG,0.125,3,255,2016,0.00604667922817435,0.00604667922817435,1.7069844342112455,6.440766424959609,2.0208815266681213,6.018594676773804,0.028273809523809524,6,0,1.237094345318566
B3_THREE_AMBIG,0.25,1,255,2016,0.006068135828697672,0.006068135828697672,1.725342362356915,6.4781332909736795,2.0828464152894424,6.093474891746396,0.027777777777777776,6,0,1.237094345318566
B3_THREE_AMBIG,0.25,2,255,2016,0.006092925843509734,0.006092925843509734,1.774614078235524,6.733741590484654,2.043403555548244,6.1367383234053845,0.027777777777777776,6,0,1.237094345318566
B3_THREE_AMBIG,0.25,3,255,2016,0.0060457533798984,0.0060457533798984,1.7062550228388553,6.4210946675797445,2.021195553387456,6.032149365098613,0.028273809523809524,6,0,1.237094345318566
B3_THREE_AMBIG,0.5,1,255,2016,0.006066968902204395,0.006066968902204395,1.7296668990337136,6.487901668352412,2.0857224912791232,6.084525928724408,0.027777777777777776,6,0,1.237094345318566
B3_THREE_AMBIG,0.5,2,255,2016,0.0060905245415691514,0.0060905245415691514,1.7731800742182369,6.657404851254116,2.0418289798742886,6.1087020105989245,0.027777777777777776,6,0,1.237094345318566
B3_THREE_AMBIG,0.5,3,255,2016,0.006044146251604473,0.006044146251604473,1.7043488452094775,6.421116134583503,2.021760805873998,6.05738711948129,0.028273809523809524,6,0,1.237094345318566
B3_THREE_AMBIG,1.0,1,255,2016,0.006065422952921094,0.006065422952921094,1.7303616049535946,6.500363103663197,2.0927757077377778,6.068119162389742,0.028273809523809524,6,0,1.237094345318566
B3_THREE_AMBIG,1.0,2,255,2016,0.006086840741606681,0.006086840741606681,1.7760736519000107,6.620623731306184,2.052671331613629,6.0704503615651175,0.028273809523809524,6,0,1.237094345318566
B3_THREE_AMBIG,1.0,3,255,2016,0.0060417004043908235,0.0060417004043908235,1.7029483193515982,6.455420000670209,2.0231889821274454,6.0522458158744605,0.028273809523809524,6,0,1.237094345318566
