frame_id,edge,a,b,role_3D,source,asset,symmetry_order,available,GT_evaluable,ambiguity,ambiguity_bin,concentration,physical_visibility,GT_alignment,projected_length_px,length_bin,MAP_endpoint_distance_px,posterior_expected_endpoint_distance_px,MAP_angle_deg,R0_connected_endpoint_distance_px,P1_connected_endpoint_distance_px
G38__G__f14451,10,2,6,depth_axis_Z,G38,scene_1.usd,2,True,True,0.40822577476501465,1,0.5917742252349854,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",310.6904296875,4,4.3973388671875,15.0289306640625,1.6219648484597449,3.0047889692838554,2.1365807244346002
G38__G__f14451,11,3,7,depth_axis_Z,G38,scene_1.usd,2,True,True,0.48435497283935547,1,0.5156450271606445,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",273.6296081542969,4,2.2642974853515625,19.208927154541016,0.6379646213934413,3.7508177691006668,2.230689624814762
TEX__shard_07_f0017,0,0,1,width_axis_X,TEX,scene.usd,2,True,True,0.3316112756729126,1,0.6683887243270874,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",453.5906982421875,4,1.4168548583984375,5.063082695007324,0.3588197513886266,1.295056984913476,0.16492504662449814
TEX__shard_07_f0017,1,1,2,height_axis_Y,TEX,scene.usd,2,True,True,0.33798402547836304,1,0.662015974521637,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",64.37437438964844,4,1.760345458984375,11.756244659423828,3.1350651453390443,3.8153313692364517,0.9509277950457004
TEX__shard_07_f0017,2,2,3,width_axis_X,TEX,scene.usd,2,True,True,0.3289274275302887,1,0.6710726022720337,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",446.96905517578125,4,0.8850860595703125,4.910988807678223,0.22641938826360836,1.0650969089857867,0.33011245184952664
TEX__shard_07_f0017,3,3,0,height_axis_Y,TEX,scene.usd,2,True,True,0.36258646845817566,1,0.637413501739502,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",54.147483825683594,3,7.381599426269531,11.226383209228516,12.090963838640896,4.272338808619849,3.1145852644945053
TEX__shard_07_f0017,4,4,5,width_axis_X,TEX,scene.usd,2,True,True,0.3657561242580414,1,0.6342438459396362,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",227.60543823242188,4,1.0223312377929688,3.614393711090088,0.5139620169837301,1.3633784764247985,0.6284493683616761
TEX__shard_07_f0017,5,5,6,height_axis_Y,TEX,scene.usd,2,True,True,0.37208545207977295,1,0.627914547920227,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",30.442710876464844,2,3.921478271484375,11.741052627563477,2.5504451182821137,0.7276148705695961,0.8975155102873855
TEX__shard_07_f0017,6,6,7,width_axis_X,TEX,scene.usd,2,True,True,0.5441761016845703,2,0.4558238983154297,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",225.84669494628906,4,0.6280670166015625,7.528131008148193,0.29141239305266703,3.7617598057482056,2.3734160945512124
TEX__shard_07_f0017,7,7,4,height_axis_Y,TEX,scene.usd,2,True,True,0.47962531447410583,1,0.5203746557235718,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",27.89823341369629,2,2.2655715942382812,13.516061782836914,9.347186792659835,3.964920665257573,2.938489411415113
TEX__shard_07_f0017,8,0,4,depth_axis_Z,TEX,scene.usd,2,True,True,0.3013230264186859,1,0.6986769437789917,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",213.13644409179688,4,0.58172607421875,3.5655264854431152,0.07401874722002608,0.978561801243081,1.0114743777677286
TEX__shard_07_f0017,9,1,5,depth_axis_Z,TEX,scene.usd,2,True,True,0.3661814332008362,1,0.6338185667991638,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",70.10991668701172,4,2.54107666015625,10.271775245666504,2.789796093992704,2.0720205238159735,0.582960811321294
TEX__shard_07_f0017,10,2,6,depth_axis_Z,TEX,scene.usd,2,True,True,0.36996695399284363,1,0.630033016204834,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",102.84927368164062,4,3.5307464599609375,14.068912506103516,3.936963235438849,2.676787849031451,1.0675903634142196
TEX__shard_07_f0017,11,3,7,depth_axis_Z,TEX,scene.usd,2,True,True,0.39981046319007874,1,0.6001895666122437,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",217.5270538330078,4,1.061981201171875,6.879272937774658,0.5595313202001695,2.3391800597379424,1.3704780229933053
TEX__shard_00_f0016,0,0,1,depth_axis_Z,TEX,scene.usd,2,True,True,0.4498954117298126,1,0.5501046180725098,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",274.40240478515625,4,2.388427734375,2.3796653747558594,0.9977959199269456,0.3118039771901516,1.0020644266188352
TEX__shard_00_f0016,1,1,2,height_axis_Y,TEX,scene.usd,2,True,True,0.35423028469085693,1,0.6457697153091431,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",21.694948196411133,2,2.1111602783203125,6.690162181854248,7.346465757547987,1.263160017547466,0.31758520518387184
TEX__shard_00_f0016,2,2,3,depth_axis_Z,TEX,scene.usd,2,True,True,0.42985817790031433,1,0.5701417922973633,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",276.25677490234375,4,1.0875244140625,2.123933792114258,0.39016950448481,1.1849103895959405,0.43961907301270986
TEX__shard_00_f0016,3,3,0,height_axis_Y,TEX,scene.usd,2,True,True,0.37686240673065186,1,0.6231375932693481,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",27.16998863220215,2,4.082266330718994,8.46200942993164,6.557208008784535,1.9912772507331788,2.3622049391549638
TEX__shard_00_f0016,4,4,5,depth_axis_Z,TEX,scene.usd,2,True,True,0.3856002390384674,1,0.614399790763855,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",217.83505249023438,4,0.5970306396484375,1.3335793018341064,0.31527903204183383,0.2370394557647619,0.47549155938814996
TEX__shard_00_f0016,5,5,6,height_axis_Y,TEX,scene.usd,2,True,True,0.4068896770477295,1,0.5931103229522705,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",16.99049186706543,2,6.1273651123046875,8.45803451538086,1.7150914525710657,1.7201371178674973,0.42360176123201687
TEX__shard_00_f0016,6,6,7,depth_axis_Z,TEX,scene.usd,2,True,True,0.529960036277771,2,0.470039963722229,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",218.95794677734375,4,0.9680938720703125,2.374079704284668,0.2920830798394951,1.03339005588612,0.6213650774406287
TEX__shard_00_f0016,7,7,4,height_axis_Y,TEX,scene.usd,2,True,True,0.437485933303833,1,0.562514066696167,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",20.1854248046875,2,18.545391082763672,15.208427429199219,2.843517318200422,2.0055316902282856,3.460843327562511
TEX__shard_00_f0016,8,0,4,width_axis_X,TEX,scene.usd,2,True,True,0.7347752451896667,2,0.26522475481033325,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",17.709178924560547,2,8.460762023925781,7.816365718841553,72.8476297826833,0.4493342110249766,1.604434298677278
TEX__shard_00_f0016,9,1,5,width_axis_X,TEX,scene.usd,2,True,True,0.474961519241333,1,0.525038480758667,UNKNOWN,"same whole-object branch as P1 2D metric, posthoc only",72.97954559326172,4,0.7491607666015625,1.4967446327209473,0.1266688124856513,0.29756664247553044,0.22335633962697815
