center_frame_id,source_recording,center_rgb,neighbor_rgb_paths,gt_annotation_path,lighting,manual_gt_status,paper_eval_recording_overlap,eligible,exclusion_reason
capturenight02_manual_gt__1779448721234390272,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448721234390272.png,data/pallet/raw_data/night/capturenight02/rgb/1779448721067828992.png|data/pallet/raw_data/night/capturenight02/rgb/1779448721100892672.png|data/pallet/raw_data/night/capturenight02/rgb/1779448721167658752.png|data/pallet/raw_data/night/capturenight02/rgb/1779448721301230592.png|data/pallet/raw_data/night/capturenight02/rgb/1779448721367845632.png|data/pallet/raw_data/night/capturenight02/rgb/1779448721434554624.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448721234390272.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448722468782592,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448722468782592.png,data/pallet/raw_data/night/capturenight02/rgb/1779448722268742144.png|data/pallet/raw_data/night/capturenight02/rgb/1779448722335544832.png|data/pallet/raw_data/night/capturenight02/rgb/1779448722402101504.png|data/pallet/raw_data/night/capturenight02/rgb/1779448722602431488.png|data/pallet/raw_data/night/capturenight02/rgb/1779448722702210048.png|data/pallet/raw_data/night/capturenight02/rgb/1779448722768793856.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448722468782592.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448723536054784,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448723536054784.png,data/pallet/raw_data/night/capturenight02/rgb/1779448723335821312.png|data/pallet/raw_data/night/capturenight02/rgb/1779448723402501888.png|data/pallet/raw_data/night/capturenight02/rgb/1779448723469219584.png|data/pallet/raw_data/night/capturenight02/rgb/1779448723569489408.png|data/pallet/raw_data/night/capturenight02/rgb/1779448723636058624.png|data/pallet/raw_data/night/capturenight02/rgb/1779448723702940416.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448723536054784.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448724837351936,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448724837351936.png,data/pallet/raw_data/night/capturenight02/rgb/1779448724536740096.png|data/pallet/raw_data/night/capturenight02/rgb/1779448724603367680.png|data/pallet/raw_data/night/capturenight02/rgb/1779448724670173952.png|data/pallet/raw_data/night/capturenight02/rgb/1779448724970544896.png|data/pallet/raw_data/night/capturenight02/rgb/1779448725036954368.png|data/pallet/raw_data/night/capturenight02/rgb/1779448725103771904.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448724837351936.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448726204407296,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448726204407296.png,data/pallet/raw_data/night/capturenight02/rgb/1779448726004602112.png|data/pallet/raw_data/night/capturenight02/rgb/1779448726071082496.png|data/pallet/raw_data/night/capturenight02/rgb/1779448726137859840.png|data/pallet/raw_data/night/capturenight02/rgb/1779448726271245056.png|data/pallet/raw_data/night/capturenight02/rgb/1779448726304574464.png|data/pallet/raw_data/night/capturenight02/rgb/1779448726371279616.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448726204407296.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448728372722944,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448728372722944.png,data/pallet/raw_data/night/capturenight02/rgb/1779448728172612864.png|data/pallet/raw_data/night/capturenight02/rgb/1779448728239658752.png|data/pallet/raw_data/night/capturenight02/rgb/1779448728306197504.png|data/pallet/raw_data/night/capturenight02/rgb/1779448728439544320.png|data/pallet/raw_data/night/capturenight02/rgb/1779448728539616512.png|data/pallet/raw_data/night/capturenight02/rgb/1779448728606117888.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448728372722944.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448729640510208,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448729640510208.png,data/pallet/raw_data/night/capturenight02/rgb/1779448729306946304.png|data/pallet/raw_data/night/capturenight02/rgb/1779448729373507328.png|data/pallet/raw_data/night/capturenight02/rgb/1779448729507198464.png|data/pallet/raw_data/night/capturenight02/rgb/1779448729740288256.png|data/pallet/raw_data/night/capturenight02/rgb/1779448729773677056.png|data/pallet/raw_data/night/capturenight02/rgb/1779448729840464896.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448729640510208.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448754290919680,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448754290919680.png,data/pallet/raw_data/night/capturenight02/rgb/1779448754090754304.png|data/pallet/raw_data/night/capturenight02/rgb/1779448754157490432.png|data/pallet/raw_data/night/capturenight02/rgb/1779448754224220928.png|data/pallet/raw_data/night/capturenight02/rgb/1779448754391127808.png|data/pallet/raw_data/night/capturenight02/rgb/1779448754524793600.png|data/pallet/raw_data/night/capturenight02/rgb/1779448754691654912.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448754290919680.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448756059212288,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448756059212288.png,data/pallet/raw_data/night/capturenight02/rgb/1779448755792109056.png|data/pallet/raw_data/night/capturenight02/rgb/1779448755858686208.png|data/pallet/raw_data/night/capturenight02/rgb/1779448755925585920.png|data/pallet/raw_data/night/capturenight02/rgb/1779448756226316288.png|data/pallet/raw_data/night/capturenight02/rgb/1779448756358959616.png|data/pallet/raw_data/night/capturenight02/rgb/1779448756425767680.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448756059212288.json,night,manual_gt_legacy,False,True,
capturenight02_manual_gt__1779448757593242112,capturenight02,data/pallet/raw_data/night/capturenight02/rgb/1779448757593242112.png,data/pallet/raw_data/night/capturenight02/rgb/1779448757393128960.png|data/pallet/raw_data/night/capturenight02/rgb/1779448757459945216.png|data/pallet/raw_data/night/capturenight02/rgb/1779448757526616064.png|data/pallet/raw_data/night/capturenight02/rgb/1779448757659922432.png|data/pallet/raw_data/night/capturenight02/rgb/1779448757760302592.png|data/pallet/raw_data/night/capturenight02/rgb/1779448757893801216.png,legacy_unverified/annotations/capturenight02_manual_gt/1779448757593242112.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448855092836864,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448855092836864.png,data/pallet/raw_data/night/capturenight03/rgb/1779448854859195648.png|data/pallet/raw_data/night/capturenight03/rgb/1779448854926159104.png|data/pallet/raw_data/night/capturenight03/rgb/1779448854992493312.png|data/pallet/raw_data/night/capturenight03/rgb/1779448855226363648.png|data/pallet/raw_data/night/capturenight03/rgb/1779448855326394624.png|data/pallet/raw_data/night/capturenight03/rgb/1779448855392972288.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448855092836864.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448863832166400,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448863832166400.png,data/pallet/raw_data/night/capturenight03/rgb/1779448863531986176.png|data/pallet/raw_data/night/capturenight03/rgb/1779448863598823424.png|data/pallet/raw_data/night/capturenight03/rgb/1779448863765714944.png|data/pallet/raw_data/night/capturenight03/rgb/1779448863999419904.png|data/pallet/raw_data/night/capturenight03/rgb/1779448864099249152.png|data/pallet/raw_data/night/capturenight03/rgb/1779448864165719296.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448863832166400.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448868035222528,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448868035222528.png,data/pallet/raw_data/night/capturenight03/rgb/1779448867835120896.png|data/pallet/raw_data/night/capturenight03/rgb/1779448867901857792.png|data/pallet/raw_data/night/capturenight03/rgb/1779448867968478976.png|data/pallet/raw_data/night/capturenight03/rgb/1779448868101780480.png|data/pallet/raw_data/night/capturenight03/rgb/1779448868168508160.png|data/pallet/raw_data/night/capturenight03/rgb/1779448868235259136.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448868035222528.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448869636532992,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448869636532992.png,data/pallet/raw_data/night/capturenight03/rgb/1779448869235910912.png|data/pallet/raw_data/night/capturenight03/rgb/1779448869336064512.png|data/pallet/raw_data/night/capturenight03/rgb/1779448869469773312.png|data/pallet/raw_data/night/capturenight03/rgb/1779448869736628480.png|data/pallet/raw_data/night/capturenight03/rgb/1779448869836467456.png|data/pallet/raw_data/night/capturenight03/rgb/1779448870003322880.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448869636532992.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448872738284800,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448872738284800.png,data/pallet/raw_data/night/capturenight03/rgb/1779448872538316800.png|data/pallet/raw_data/night/capturenight03/rgb/1779448872605102080.png|data/pallet/raw_data/night/capturenight03/rgb/1779448872671793664.png|data/pallet/raw_data/night/capturenight03/rgb/1779448872805224960.png|data/pallet/raw_data/night/capturenight03/rgb/1779448872905228800.png|data/pallet/raw_data/night/capturenight03/rgb/1779448872971878912.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448872738284800.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448874006227968,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448874006227968.png,data/pallet/raw_data/night/capturenight03/rgb/1779448873706154496.png|data/pallet/raw_data/night/capturenight03/rgb/1779448873839705088.png|data/pallet/raw_data/night/capturenight03/rgb/1779448873939447808.png|data/pallet/raw_data/night/capturenight03/rgb/1779448874072710400.png|data/pallet/raw_data/night/capturenight03/rgb/1779448874106035968.png|data/pallet/raw_data/night/capturenight03/rgb/1779448874172815872.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448874006227968.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448882812175360,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448882812175360.png,data/pallet/raw_data/night/capturenight03/rgb/1779448882445510656.png|data/pallet/raw_data/night/capturenight03/rgb/1779448882612734976.png|data/pallet/raw_data/night/capturenight03/rgb/1779448882712366592.png|data/pallet/raw_data/night/capturenight03/rgb/1779448882878852864.png|data/pallet/raw_data/night/capturenight03/rgb/1779448882945573632.png|data/pallet/raw_data/night/capturenight03/rgb/1779448883012287488.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448882812175360.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448883946251264,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448883946251264.png,data/pallet/raw_data/night/capturenight03/rgb/1779448883712786432.png|data/pallet/raw_data/night/capturenight03/rgb/1779448883779572224.png|data/pallet/raw_data/night/capturenight03/rgb/1779448883846637568.png|data/pallet/raw_data/night/capturenight03/rgb/1779448883979676416.png|data/pallet/raw_data/night/capturenight03/rgb/1779448884079661056.png|data/pallet/raw_data/night/capturenight03/rgb/1779448884146525184.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448883946251264.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448885080491264,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448885080491264.png,data/pallet/raw_data/night/capturenight03/rgb/1779448884847437056.png|data/pallet/raw_data/night/capturenight03/rgb/1779448884947065856.png|data/pallet/raw_data/night/capturenight03/rgb/1779448885013761280.png|data/pallet/raw_data/night/capturenight03/rgb/1779448885147362304.png|data/pallet/raw_data/night/capturenight03/rgb/1779448885213875200.png|data/pallet/raw_data/night/capturenight03/rgb/1779448885280551424.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448885080491264.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448886415168000,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448886415168000.png,data/pallet/raw_data/night/capturenight03/rgb/1779448886014426112.png|data/pallet/raw_data/night/capturenight03/rgb/1779448886114686208.png|data/pallet/raw_data/night/capturenight03/rgb/1779448886248368896.png|data/pallet/raw_data/night/capturenight03/rgb/1779448886481427968.png|data/pallet/raw_data/night/capturenight03/rgb/1779448886548119040.png|data/pallet/raw_data/night/capturenight03/rgb/1779448886648386048.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448886415168000.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448900157882368,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448900157882368.png,data/pallet/raw_data/night/capturenight03/rgb/1779448899957518848.png|data/pallet/raw_data/night/capturenight03/rgb/1779448900024206336.png|data/pallet/raw_data/night/capturenight03/rgb/1779448900090980608.png|data/pallet/raw_data/night/capturenight03/rgb/1779448900224615936.png|data/pallet/raw_data/night/capturenight03/rgb/1779448900291100160.png|data/pallet/raw_data/night/capturenight03/rgb/1779448900425086464.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448900157882368.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448901592700416,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448901592700416.png,data/pallet/raw_data/night/capturenight03/rgb/1779448901191929088.png|data/pallet/raw_data/night/capturenight03/rgb/1779448901291928832.png|data/pallet/raw_data/night/capturenight03/rgb/1779448901425580032.png|data/pallet/raw_data/night/capturenight03/rgb/1779448901759710976.png|data/pallet/raw_data/night/capturenight03/rgb/1779448901859069952.png|data/pallet/raw_data/night/capturenight03/rgb/1779448901925740032.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448901592700416.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448903193593600,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448903193593600.png,data/pallet/raw_data/night/capturenight03/rgb/1779448902759558656.png|data/pallet/raw_data/night/capturenight03/rgb/1779448902893477632.png|data/pallet/raw_data/night/capturenight03/rgb/1779448903060205056.png|data/pallet/raw_data/night/capturenight03/rgb/1779448903293299456.png|data/pallet/raw_data/night/capturenight03/rgb/1779448903359944192.png|data/pallet/raw_data/night/capturenight03/rgb/1779448903426704128.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448903193593600.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448915368495616,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448915368495616.png,data/pallet/raw_data/night/capturenight03/rgb/1779448915168239872.png|data/pallet/raw_data/night/capturenight03/rgb/1779448915234995200.png|data/pallet/raw_data/night/capturenight03/rgb/1779448915301771264.png|data/pallet/raw_data/night/capturenight03/rgb/1779448915435231744.png|data/pallet/raw_data/night/capturenight03/rgb/1779448915502057984.png|data/pallet/raw_data/night/capturenight03/rgb/1779448915568493568.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448915368495616.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448922440025600,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448922440025600.png,data/pallet/raw_data/night/capturenight03/rgb/1779448922207097856.png|data/pallet/raw_data/night/capturenight03/rgb/1779448922306795264.png|data/pallet/raw_data/night/capturenight03/rgb/1779448922373327360.png|data/pallet/raw_data/night/capturenight03/rgb/1779448922506857728.png|data/pallet/raw_data/night/capturenight03/rgb/1779448922573335808.png|data/pallet/raw_data/night/capturenight03/rgb/1779448922673533184.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448922440025600.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448927277019648,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448927277019648.png,data/pallet/raw_data/night/capturenight03/rgb/1779448927109960448.png|data/pallet/raw_data/night/capturenight03/rgb/1779448927143301376.png|data/pallet/raw_data/night/capturenight03/rgb/1779448927210196992.png|data/pallet/raw_data/night/capturenight03/rgb/1779448927343538176.png|data/pallet/raw_data/night/capturenight03/rgb/1779448927443760128.png|data/pallet/raw_data/night/capturenight03/rgb/1779448927510452992.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448927277019648.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448928544302080,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448928544302080.png,data/pallet/raw_data/night/capturenight03/rgb/1779448928310870784.png|data/pallet/raw_data/night/capturenight03/rgb/1779448928377717248.png|data/pallet/raw_data/night/capturenight03/rgb/1779448928477751296.png|data/pallet/raw_data/night/capturenight03/rgb/1779448928611079168.png|data/pallet/raw_data/night/capturenight03/rgb/1779448928677886464.png|data/pallet/raw_data/night/capturenight03/rgb/1779448928744602368.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448928544302080.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448929711908352,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448929711908352.png,data/pallet/raw_data/night/capturenight03/rgb/1779448929511659776.png|data/pallet/raw_data/night/capturenight03/rgb/1779448929578515712.png|data/pallet/raw_data/night/capturenight03/rgb/1779448929645088768.png|data/pallet/raw_data/night/capturenight03/rgb/1779448929778877440.png|data/pallet/raw_data/night/capturenight03/rgb/1779448929845549312.png|data/pallet/raw_data/night/capturenight03/rgb/1779448929979206912.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448929711908352.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448935115737600,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448935115737600.png,data/pallet/raw_data/night/capturenight03/rgb/1779448934882253056.png|data/pallet/raw_data/night/capturenight03/rgb/1779448934948772096.png|data/pallet/raw_data/night/capturenight03/rgb/1779448935015580160.png|data/pallet/raw_data/night/capturenight03/rgb/1779448935182511872.png|data/pallet/raw_data/night/capturenight03/rgb/1779448935282347776.png|data/pallet/raw_data/night/capturenight03/rgb/1779448935315774464.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448935115737600.json,night,manual_gt_legacy,False,True,
capturenight03_manual_gt__1779448939051663616,capturenight03,data/pallet/raw_data/night/capturenight03/rgb/1779448939051663616.png,data/pallet/raw_data/night/capturenight03/rgb/1779448938885015040.png|data/pallet/raw_data/night/capturenight03/rgb/1779448938951567104.png|data/pallet/raw_data/night/capturenight03/rgb/1779448939018388480.png|data/pallet/raw_data/night/capturenight03/rgb/1779448939118394880.png|data/pallet/raw_data/night/capturenight03/rgb/1779448939218476800.png|data/pallet/raw_data/night/capturenight03/rgb/1779448939285229824.png,legacy_unverified/annotations/capturenight03_manual_gt/1779448939051663616.json,night,manual_gt_legacy,False,True,
capturenight04_manual_gt__1779449040507058176,capturenight04,data/pallet/raw_data/night/capturenight04/rgb/1779449040507058176.png,data/pallet/raw_data/night/capturenight04/rgb/1779449040307016448.png|data/pallet/raw_data/night/capturenight04/rgb/1779449040406930944.png|data/pallet/raw_data/night/capturenight04/rgb/1779449040440525056.png|data/pallet/raw_data/night/capturenight04/rgb/1779449040573645568.png|data/pallet/raw_data/night/capturenight04/rgb/1779449040640539392.png|data/pallet/raw_data/night/capturenight04/rgb/1779449040707243264.png,legacy_unverified/annotations/capturenight04_manual_gt/1779449040507058176.json,night,manual_gt_legacy,False,True,
capturenight04_manual_gt__1779449048012287232,capturenight04,data/pallet/raw_data/night/capturenight04/rgb/1779449048012287232.png,data/pallet/raw_data/night/capturenight04/rgb/1779449047812326400.png|data/pallet/raw_data/night/capturenight04/rgb/1779449047912378880.png|data/pallet/raw_data/night/capturenight04/rgb/1779449047945798656.png|data/pallet/raw_data/night/capturenight04/rgb/1779449048079104768.png|data/pallet/raw_data/night/capturenight04/rgb/1779449048145821952.png|data/pallet/raw_data/night/capturenight04/rgb/1779449048212605184.png,legacy_unverified/annotations/capturenight04_manual_gt/1779449048012287232.json,night,manual_gt_legacy,False,True,
capturenight04_manual_gt__1779449050347302400,capturenight04,data/pallet/raw_data/night/capturenight04/rgb/1779449050347302400.png,data/pallet/raw_data/night/capturenight04/rgb/1779449050046963200.png|data/pallet/raw_data/night/capturenight04/rgb/1779449050113905152.png|data/pallet/raw_data/night/capturenight04/rgb/1779449050214077696.png|data/pallet/raw_data/night/capturenight04/rgb/1779449050413972992.png|data/pallet/raw_data/night/capturenight04/rgb/1779449050447654400.png|data/pallet/raw_data/night/capturenight04/rgb/1779449050547375616.png,legacy_unverified/annotations/capturenight04_manual_gt/1779449050347302400.json,night,manual_gt_legacy,False,True,
