model,frame_id,domain,session,n_cand,top1_conf,top1_iou,top1_is_correct,any_correct,correct_rank,best_correct_conf,best_wrong_conf,margin
A42,1779449645419136000,NIGHT,eval_night09,9,0.24294331669807434,0.20872897333211557,False,False,,,0.24294331669807434,
A42,1779449647620845824,NIGHT,eval_night09,7,0.5048456788063049,0.17480677634529407,False,False,,,0.5048456788063049,
A42,1779449649655479552,NIGHT,eval_night09,2,0.8528933525085449,0.26445441965751143,False,False,,,0.8528933525085449,
A42,1779449656527024896,NIGHT,eval_night09,6,0.4982910454273224,0.32122282708905253,False,False,,,0.4982910454273224,
A42,1779449661263803392,NIGHT,eval_night09,12,0.02910323068499565,0.0,False,True,2,0.010494447313249111,0.02910323068499565,-0.01860878337174654
C42,1779449467555301888,NIGHT,eval_night08,16,0.3218955397605896,0.0,False,False,,,0.3218955397605896,
C42,1779449470423201536,NIGHT,eval_night08,5,0.018162598833441734,0.0300673427233736,False,False,,,0.018162598833441734,
C42,1779449475060066816,NIGHT,eval_night08,10,0.05075691640377045,0.0,False,True,2,0.03013242594897747,0.05075691640377045,-0.020624490454792976
C42,1779449479095927552,NIGHT,eval_night08,15,0.2303517758846283,0.7443625506609943,True,True,1,0.2303517758846283,0.0246194526553154,0.2057323232293129
C42,1779449481331070208,NIGHT,eval_night08,8,0.19011566042900085,0.1618335675198899,False,True,2,0.03602517768740654,0.19011566042900085,-0.15409048274159431
C42,1779449483432542720,NIGHT,eval_night08,14,0.01769687421619892,0.0,False,True,11,0.0012231242144480348,0.01769687421619892,-0.016473750001750886
C42,1779449485800670464,NIGHT,eval_night08,10,0.31670939922332764,0.6662727513866316,True,True,1,0.31670939922332764,0.016453515738248825,0.3002558834850788
C42,1779449488068910592,NIGHT,eval_night08,3,0.015352246351540089,0.0,False,True,2,0.012863663025200367,0.015352246351540089,-0.0024885833263397217
C42,1779449492505469440,NIGHT,eval_night08,4,0.2870264947414398,0.5588814385285389,True,True,1,0.2870264947414398,0.01142727117985487,0.27559922356158495
C42,1779449496875356416,NIGHT,eval_night08,1,0.0049661314114928246,0.027838028453594347,False,False,,,0.0049661314114928246,
C42,1779449499143611648,NIGHT,eval_night08,3,0.6055936217308044,0.7364313304907127,True,True,1,0.6055936217308044,0.009084475226700306,0.5965091465041041
C42,1779449501478488320,NIGHT,eval_night08,3,0.8368282318115234,0.9151736965416194,True,True,1,0.8368282318115234,,0.8368282318115234
C42,1779449575470221824,NIGHT,eval_night09,7,0.4045722484588623,0.5021275206588712,True,True,1,0.4045722484588623,0.003102667164057493,0.4014695812948048
C42,1779449580573721600,NIGHT,eval_night09,7,0.22340336441993713,0.41156302634382236,False,True,5,0.002786685712635517,0.22340336441993713,-0.22061667870730162
C42,1779449591514485504,NIGHT,eval_night09,11,0.13531708717346191,0.2795530779803241,False,False,,,0.13531708717346191,
C42,1779449593782795264,NIGHT,eval_night09,8,0.0456799753010273,0.35487436067884115,False,False,,,0.0456799753010273,
C42,1779449596017728000,NIGHT,eval_night09,4,0.48215529322624207,0.0,False,False,,,0.48215529322624207,
C42,1779449602689248000,NIGHT,eval_night09,3,0.7126793265342712,0.6988064735663873,True,True,1,0.7126793265342712,0.12588298320770264,0.5867963433265686
C42,1779449604823769344,NIGHT,eval_night09,1,0.11764130741357803,0.0,False,False,,,0.11764130741357803,
C42,1779449631842893312,NIGHT,eval_night09,3,0.41035884618759155,0.6858390448731693,True,True,1,0.41035884618759155,,0.41035884618759155
C42,1779449634044385536,NIGHT,eval_night09,7,0.6488935947418213,0.714887937964758,True,True,1,0.6488935947418213,0.0014125654706731439,0.6474810292711481
C42,1779449638581035008,NIGHT,eval_night09,4,0.044766660779714584,0.38370805389069934,False,True,2,0.023950407281517982,0.044766660779714584,-0.020816253498196602
C42,1779449643284402176,NIGHT,eval_night09,7,0.0996626764535904,0.46215284559461806,False,True,2,0.047289613634347916,0.0996626764535904,-0.05237306281924248
C42,1779449645419136000,NIGHT,eval_night09,10,0.605309247970581,0.7086314410027491,True,True,1,0.605309247970581,0.01779167540371418,0.5875175725668669
C42,1779449647620845824,NIGHT,eval_night09,2,0.9076265692710876,0.7580053061843113,True,True,1,0.9076265692710876,,0.9076265692710876
C42,1779449649655479552,NIGHT,eval_night09,3,0.9478065371513367,0.8351344642189561,True,True,1,0.9478065371513367,0.0012926519848406315,0.946513885166496
C42,1779449656527024896,NIGHT,eval_night09,2,0.8359600305557251,0.7646887261328781,True,True,1,0.8359600305557251,,0.8359600305557251
C42,1779449661263803392,NIGHT,eval_night09,3,0.2778906524181366,0.0,False,False,,,0.2778906524181366,
C43,1779449467555301888,NIGHT,eval_night08,16,0.37240222096443176,0.02551429695101726,False,True,3,0.3346100449562073,0.37240222096443176,-0.03779217600822449
C43,1779449470423201536,NIGHT,eval_night08,9,0.33390018343925476,0.028514808360465355,False,True,2,0.06839009374380112,0.33390018343925476,-0.26551008969545364
C43,1779449475060066816,NIGHT,eval_night08,12,0.16148313879966736,0.026902405855270168,False,True,2,0.10074052959680557,0.16148313879966736,-0.060742609202861786
C43,1779449479095927552,NIGHT,eval_night08,14,0.3614985942840576,0.7341367475891813,True,True,1,0.3614985942840576,0.28946033120155334,0.07203826308250427
C43,1779449481331070208,NIGHT,eval_night08,12,0.618887722492218,0.6921983718312329,True,True,1,0.618887722492218,0.08027705550193787,0.5386106669902802
C43,1779449483432542720,NIGHT,eval_night08,8,0.8137211203575134,0.034950766964123144,False,True,2,0.026905274018645287,0.8137211203575134,-0.7868158463388681
C43,1779449485800670464,NIGHT,eval_night08,7,0.07575134187936783,0.0,False,True,2,0.033864621073007584,0.07575134187936783,-0.041886720806360245
C43,1779449488068910592,NIGHT,eval_night08,3,0.8447807431221008,0.5001202986689818,True,True,1,0.8447807431221008,0.0063642761670053005,0.8384164669550955
C43,1779449492505469440,NIGHT,eval_night08,5,0.43375363945961,0.6596284628826323,True,True,1,0.43375363945961,0.0025798757560551167,0.43117376370355487
C43,1779449496875356416,NIGHT,eval_night08,7,0.01748756319284439,0.014558862323293531,False,True,2,0.01051517017185688,0.01748756319284439,-0.006972393020987511
C43,1779449499143611648,NIGHT,eval_night08,8,0.27808329463005066,0.7823833410869894,True,True,1,0.27808329463005066,0.005315715912729502,0.27276757871732116
C43,1779449501478488320,NIGHT,eval_night08,4,0.9001060128211975,0.8949681614691289,True,True,1,0.9001060128211975,0.0017602442530915141,0.898345768568106
C43,1779449575470221824,NIGHT,eval_night09,13,0.4845260977745056,0.5643512316656383,True,True,1,0.4845260977745056,0.0036450864281505346,0.4808810113463551
C43,1779449580573721600,NIGHT,eval_night09,10,0.47992613911628723,0.6509006001013519,True,True,1,0.47992613911628723,0.31590762734413147,0.16401851177215576
C43,1779449591514485504,NIGHT,eval_night09,16,0.4638383686542511,0.4223891059027778,False,True,2,0.058424849063158035,0.4638383686542511,-0.40541351959109306
C43,1779449593782795264,NIGHT,eval_night09,8,0.03829671069979668,0.3624363869092901,False,False,,,0.03829671069979668,
C43,1779449596017728000,NIGHT,eval_night09,5,0.693079948425293,0.7758291796390765,True,True,1,0.693079948425293,0.0043291375041007996,0.6887508109211922
C43,1779449602689248000,NIGHT,eval_night09,6,0.6611406803131104,0.7895098233596494,True,True,1,0.6611406803131104,0.28255388140678406,0.3785867989063263
C43,1779449604823769344,NIGHT,eval_night09,3,0.012288274243474007,0.0,False,True,3,0.0026497559156268835,0.012288274243474007,-0.009638518327847123
C43,1779449631842893312,NIGHT,eval_night09,4,0.7707476615905762,0.7564739947583506,True,True,1,0.7707476615905762,0.0038634443189948797,0.7668842172715813
C43,1779449634044385536,NIGHT,eval_night09,6,0.5511934757232666,0.793544602338641,True,True,1,0.5511934757232666,0.006591413635760546,0.5446020620875061
C43,1779449638581035008,NIGHT,eval_night09,5,0.5108729004859924,0.7642577427099356,True,True,1,0.5108729004859924,0.0022567787673324347,0.50861612171866
C43,1779449643284402176,NIGHT,eval_night09,8,0.622519850730896,0.7940725303336653,True,True,1,0.622519850730896,0.06411141902208328,0.5584084317088127
C43,1779449645419136000,NIGHT,eval_night09,1,0.8330090641975403,0.8276297812751836,True,True,1,0.8330090641975403,,0.8330090641975403
C43,1779449647620845824,NIGHT,eval_night09,1,0.9206432104110718,0.8480253000199877,True,True,1,0.9206432104110718,,0.9206432104110718
