epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,579.966,0.55133,0.42526,0.96474,0.89925,0.75,0.76404,0.68352,0.67018,1.19389,0.89585,0.000707498,0.000707498,0.000707498
53,590.952,0.54204,0.42608,0.96874,0.97046,0.58333,0.77565,0.69043,0.75757,1.30277,0.93896,0.000693351,0.000693351,0.000693351
54,602.049,0.5402,0.4345,0.9652,0.99149,0.58333,0.74048,0.66752,0.62606,1.3176,0.88042,0.000679204,0.000679204,0.000679204
55,612.895,0.54246,0.42861,0.96173,0.99064,0.58333,0.75265,0.69198,0.68366,1.53367,0.97153,0.000665057,0.000665057,0.000665057
56,624.037,0.5373,0.42463,0.9596,0.99157,0.58333,0.72809,0.63178,0.73282,1.8063,1.06315,0.000650909,0.000650909,0.000650909
57,635.25,0.53451,0.41741,0.96062,0.99078,0.58333,0.7099,0.63443,0.69562,1.2926,0.93327,0.000636762,0.000636762,0.000636762
58,646.454,0.52666,0.41445,0.95493,0.89931,0.75,0.87652,0.76812,0.59191,0.94272,0.8428,0.000622615,0.000622615,0.000622615
59,657.924,0.51974,0.40987,0.95511,0.98675,0.58333,0.77083,0.69733,0.59492,1.24486,0.87943,0.000608468,0.000608468,0.000608468
60,669.324,0.52029,0.40235,0.94904,0.87032,0.66667,0.80245,0.68135,0.77203,1.14965,0.93379,0.000594321,0.000594321,0.000594321
61,680.813,0.52553,0.41795,0.9502,0.85738,0.66667,0.77152,0.65161,0.72304,1.31321,0.94163,0.000580174,0.000580174,0.000580174
62,692.068,0.50825,0.4043,0.94292,0.99094,0.58333,0.7697,0.69553,0.58355,1.41131,0.84888,0.000566027,0.000566027,0.000566027
63,702.932,0.53697,0.42548,0.96382,0.88431,0.6392,0.75646,0.71104,0.59152,1.59309,0.85013,0.00055188,0.00055188,0.00055188
64,714.189,0.50336,0.39146,0.94815,0.99183,0.58333,0.63857,0.60527,0.58918,1.80944,0.86777,0.000537733,0.000537733,0.000537733
65,725.323,0.51348,0.40388,0.94699,0.99158,0.58333,0.70997,0.60209,0.6463,1.55778,0.91392,0.000523586,0.000523586,0.000523586
66,736.39,0.50169,0.38486,0.94118,0.88853,0.66454,0.77244,0.67692,0.69326,1.53682,0.89609,0.000509438,0.000509438,0.000509438
67,747.286,0.50382,0.38072,0.9447,1,0.6619,0.80845,0.70962,0.68506,1.49327,0.92305,0.000495291,0.000495291,0.000495291
68,758.051,0.50034,0.3944,0.94579,0.98316,0.58333,0.63322,0.5796,0.78962,1.5409,1.00504,0.000481144,0.000481144,0.000481144
69,769.033,0.49652,0.39041,0.94055,0.99258,0.58333,0.65075,0.61155,0.77403,1.62067,1.01641,0.000466997,0.000466997,0.000466997
70,779.899,0.49273,0.38301,0.9447,0.99172,0.58333,0.74107,0.66278,0.72068,1.48052,0.90741,0.00045285,0.00045285,0.00045285
71,790.565,0.49748,0.38011,0.93925,0.99217,0.58333,0.75787,0.69798,0.64553,1.29548,0.86909,0.000438703,0.000438703,0.000438703
72,801.761,0.48281,0.36684,0.93459,0.99207,0.58333,0.65388,0.60862,0.78545,1.70077,1.08257,0.000424556,0.000424556,0.000424556
73,812.764,0.50258,0.38421,0.94784,0.88888,0.66663,0.74954,0.65889,0.75577,1.28616,0.93282,0.000410409,0.000410409,0.000410409
74,823.861,0.48322,0.37594,0.93802,0.89645,0.72336,0.80292,0.67649,0.6649,1.15735,0.87858,0.000396262,0.000396262,0.000396262
75,834.819,0.49906,0.37485,0.94575,1,0.6616,0.77879,0.67681,0.63372,1.29966,0.86747,0.000382115,0.000382115,0.000382115
76,845.555,0.48838,0.37721,0.93506,1,0.66371,0.77224,0.67878,0.76146,1.42632,0.89607,0.000367967,0.000367967,0.000367967
77,856.429,0.48593,0.37398,0.93735,0.99633,0.66667,0.76208,0.7147,0.62417,1.21016,0.85772,0.00035382,0.00035382,0.00035382
78,867.192,0.47816,0.37127,0.93586,1,0.6627,0.77458,0.73073,0.65094,1.39124,0.90024,0.000339673,0.000339673,0.000339673
79,878.057,0.47886,0.36047,0.93317,1,0.66177,0.7442,0.68747,0.6488,1.491,0.86751,0.000325526,0.000325526,0.000325526
80,888.992,0.49229,0.36534,0.94073,0.98506,0.58333,0.69887,0.62575,0.638,1.62709,0.874,0.000311379,0.000311379,0.000311379
81,900.099,0.47958,0.35266,0.93278,0.98607,0.58333,0.7051,0.62589,0.60011,1.59111,0.87591,0.000297232,0.000297232,0.000297232
82,911.039,0.47625,0.36625,0.934,0.98768,0.58333,0.71311,0.63702,0.68393,1.75251,0.88866,0.000283085,0.000283085,0.000283085
83,921.739,0.47284,0.36146,0.92929,0.99057,0.58333,0.7238,0.65061,0.67668,1.5609,0.87932,0.000268938,0.000268938,0.000268938
84,932.622,0.46615,0.35757,0.92857,0.99242,0.58333,0.71311,0.61209,0.66917,1.69475,0.89403,0.000254791,0.000254791,0.000254791
85,943.45,0.47178,0.35464,0.93291,0.88563,0.64709,0.72697,0.66177,0.63927,1.62351,0.87379,0.000240644,0.000240644,0.000240644
86,954.434,0.47634,0.35585,0.93346,0.98919,0.58333,0.68602,0.64603,0.65492,1.55029,0.8856,0.000226497,0.000226497,0.000226497
87,965.389,0.45793,0.34228,0.92361,0.99138,0.58333,0.7238,0.66312,0.65818,1.62247,0.89765,0.000212349,0.000212349,0.000212349
88,976.338,0.47563,0.35792,0.93163,0.99122,0.58333,0.71632,0.64367,0.70517,1.55937,0.9189,0.000198202,0.000198202,0.000198202
89,987.185,0.47759,0.35478,0.9275,0.99212,0.58333,0.7102,0.63888,0.6736,1.6038,0.90277,0.000184055,0.000184055,0.000184055
90,997.919,0.45833,0.34505,0.92261,0.88732,0.65727,0.74346,0.65974,0.62663,1.41026,0.87644,0.000169908,0.000169908,0.000169908
91,1009.04,0.36163,0.28657,0.87097,0.98787,0.58333,0.67263,0.60771,0.75487,1.52034,0.98305,0.000155761,0.000155761,0.000155761
92,1020,0.36663,0.28095,0.86918,0.88815,0.66221,0.71809,0.62602,0.62144,1.35825,0.89647,0.000141614,0.000141614,0.000141614
93,1031.29,0.36232,0.27766,0.86467,0.98202,0.58333,0.7053,0.64468,0.60493,1.29813,0.90429,0.000127467,0.000127467,0.000127467
94,1042.44,0.35628,0.26954,0.87053,0.88661,0.65301,0.7079,0.63432,0.64772,1.27125,0.94069,0.00011332,0.00011332,0.00011332
95,1053.48,0.3545,0.26869,0.8586,0.88488,0.64262,0.7079,0.60211,0.71462,1.27311,0.99001,9.91726e-05,9.91726e-05,9.91726e-05
96,1064.42,0.35132,0.26199,0.86112,0.88495,0.64302,0.69954,0.59339,0.65706,1.23874,0.9443,8.50255e-05,8.50255e-05,8.50255e-05
97,1075.37,0.34675,0.26293,0.85706,0.99144,0.58333,0.70078,0.61939,0.6318,1.37283,0.92132,7.08784e-05,7.08784e-05,7.08784e-05
98,1086.54,0.34473,0.2606,0.85977,0.98978,0.58333,0.69887,0.63064,0.6074,1.31734,0.89739,5.67313e-05,5.67313e-05,5.67313e-05
99,1097.58,0.34456,0.25759,0.85952,0.99129,0.58333,0.70078,0.60535,0.6025,1.35418,0.89579,4.25842e-05,4.25842e-05,4.25842e-05
100,1108.65,0.33651,0.25594,0.85911,0.99035,0.58333,0.69887,0.60334,0.66177,1.39081,0.93555,2.84371e-05,2.84371e-05,2.84371e-05
