kind,id,set,population,n_cand_at_0.001,top_conf,top_iou,top_R,top_t,top_corner,top_s5,detected_at_0.40,detected_at_tau,recovered
positive,1775201430786751744,eval_noapril,REAL_DEV_OPEN_56,2,0.90311,0.9577,0.855,0.0301,3.217,1,1,1,0
positive,1775201436800711168,eval_noapril,REAL_DEV_OPEN_56,1,0.97036,0.9725,1.257,0.0109,4.802,1,1,1,0
positive,1775201442546213120,eval_noapril,REAL_DEV_OPEN_56,1,0.96514,0.9657,1.527,0.0115,4.626,1,1,1,0
positive,1775201443822140928,eval_noapril,REAL_DEV_OPEN_56,3,0.93556,0.9915,1.331,0.0247,5.992,1,1,1,0
positive,1778653003088339968,eval_cad,REAL_DEV_OPEN_56,4,0.96818,0.9929,0.981,0.0074,11.316,1,1,1,0
positive,1778653006783606016,eval_cad,REAL_DEV_OPEN_56,1,0.96784,0.9705,2.883,0.0332,4.883,1,1,1,0
positive,1778653007724386048,eval_cad,REAL_DEV_OPEN_56,1,0.95857,0.965,2.266,0.0154,8.569,1,1,1,0
positive,1778653017736058368,eval_cad,REAL_DEV_OPEN_56,2,0.9354,0.9697,2.78,0.0434,20.516,1,1,1,0
positive,1778653018878592768,eval_cad,REAL_DEV_OPEN_56,3,0.92485,0.9584,2.518,0.0333,19.009,1,1,1,0
positive,1778653020759897344,eval_cad,REAL_DEV_OPEN_56,1,0.93389,0.7496,1.682,0.0716,22.053,0,1,1,0
positive,1778653029965134592,eval_cad,REAL_DEV_OPEN_56,1,0.9675,0.9784,4.23,0.0485,10.619,1,1,1,0
positive,1778653030032337920,eval_cad,REAL_DEV_OPEN_56,2,0.94678,0.9711,4.099,0.0435,8.52,1,1,1,0
positive,1778653030099587072,eval_cad,REAL_DEV_OPEN_56,6,0.96727,0.9743,3.213,0.0423,7.743,1,1,1,0
positive,1778653030166875904,eval_cad,REAL_DEV_OPEN_56,3,0.96933,0.9819,3.598,0.0405,10.653,1,1,1,0
positive,1778653030233998336,eval_cad,REAL_DEV_OPEN_56,2,0.9688,0.9722,2.637,0.0367,9.39,1,1,1,0
positive,1778653030939714816,eval_cad,REAL_DEV_OPEN_56,1,0.96862,0.964,2.829,0.0215,10.256,1,1,1,0
positive,1778653031275751936,eval_cad,REAL_DEV_OPEN_56,1,0.96775,0.9357,1.881,0.0152,9.887,1,1,1,0
positive,1778653033056483584,eval_cad,REAL_DEV_OPEN_56,1,0.94535,0.9263,1.694,0.0377,16.097,1,1,1,0
positive,1778653041187027200,eval_cad,REAL_DEV_OPEN_56,1,0.962,0.9505,3.776,0.0415,11.274,1,1,1,0
positive,1778653055734035712,eval_cad,REAL_DEV_OPEN_56,3,0.96999,0.9505,0.805,0.0157,13.504,1,1,1,0
positive,1778653055801377280,eval_cad,REAL_DEV_OPEN_56,1,0.9514,0.9512,1.801,0.0206,12.622,1,1,1,0
positive,1778653055868669952,eval_cad,REAL_DEV_OPEN_56,1,0.94017,0.9491,2.286,0.0189,13.974,1,1,1,0
positive,1778653056137140480,eval_cad,REAL_DEV_OPEN_56,2,0.62537,0.9815,1.581,0.0173,11.545,1,1,1,0
positive,1778653072734532096,eval_cad,REAL_DEV_OPEN_56,9,0.54324,0.4448,5.091,0.2,26.729,0,1,1,0
positive,1778653072835089920,eval_cad,REAL_DEV_OPEN_56,6,0.72868,0.4209,5.562,0.2225,17.037,0,1,1,0
positive,1778653072868820224,eval_cad,REAL_DEV_OPEN_56,6,0.65885,0.4015,6.799,0.2681,14.865,0,1,1,0
positive,1778652124170068224,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.94152,0.9407,0.988,0.0478,9.66,1,1,1,0
positive,1778652125245035520,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.93863,0.9337,2.193,0.0487,7.508,1,1,1,0
positive,1778652126319943168,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.94053,0.9282,0.92,0.0232,4.922,1,1,1,0
positive,1778652127361815808,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.74138,0.9747,3.533,0.0371,6.793,1,1,1,0
positive,1778652128369383168,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.68229,0.9623,3.717,0.0118,8.631,1,1,1,0
positive,1778652130452698368,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.93779,0.9511,3.271,0.0174,11.683,1,1,1,0
positive,1778652132535256576,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.8922,0.9728,1.702,0.0129,7.754,1,1,1,0
positive,1778652134517495552,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.95821,0.9751,2.01,0.0261,6.575,1,1,1,0
positive,1778652136533958400,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.96577,0.9407,1.95,0.0218,6.184,1,1,1,0
positive,1778652138515809024,eval_pallet07,REAL_CHALLENGE_DEV_105,4,0.9606,0.9454,97.008,0.0889,243.961,0,1,1,0
positive,1778652140531310080,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.93399,0.8937,2.35,0.1354,9.641,0,1,1,0
positive,1778652142480077056,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.89082,0.8948,1.953,0.0358,14.674,1,1,1,0
positive,1778652144496057088,eval_pallet07,REAL_CHALLENGE_DEV_105,5,0.82136,0.8424,5.941,0.2111,43.355,0,1,1,0
positive,1778652146612550912,eval_pallet07,REAL_CHALLENGE_DEV_105,6,0.74224,0.8211,4.246,0.1505,21.037,0,1,1,0
positive,1778652148628229376,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.83639,0.6386,0.751,0.7596,66.212,0,1,1,0
positive,1778652150610404864,eval_pallet07,REAL_CHALLENGE_DEV_105,5,0.87066,0.8732,5.916,0.0425,17.128,0,1,1,0
positive,1778652152626116352,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.66807,0.7805,17.147,0.1545,43.887,0,1,1,0
positive,1778652154608392192,eval_pallet07,REAL_CHALLENGE_DEV_105,5,0.52415,0.8455,18.223,0.2237,61.124,0,1,1,0
positive,1778652156557165568,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.93096,0.8393,8.442,0.1608,26.94,0,1,1,0
positive,1778652158404883456,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.95092,0.9616,5.342,0.071,17.813,0,1,1,0
positive,1778652166837872128,eval_pallet07,REAL_CHALLENGE_DEV_105,10,0.77073,0.9607,94.405,0.089,289.46,0,1,1,0
positive,1778652168786111744,eval_pallet07,REAL_CHALLENGE_DEV_105,8,0.90312,0.8948,87.005,0.0958,292.952,0,1,1,0
positive,1778652170735118080,eval_pallet07,REAL_CHALLENGE_DEV_105,4,0.92359,0.9329,3.739,0.0669,18.158,0,1,1,0
positive,1778652172717607680,eval_pallet07,REAL_CHALLENGE_DEV_105,6,0.44718,0.9116,2.418,0.0338,10.351,1,1,1,0
positive,1778652174598774528,eval_pallet07,REAL_CHALLENGE_DEV_105,4,0.91803,0.8815,5.134,0.0378,15.929,0,1,1,0
positive,1778652176547299328,eval_pallet07,REAL_CHALLENGE_DEV_105,5,0.88415,0.8643,3.431,0.0571,17.018,0,1,1,0
positive,1778652178428551168,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.92109,0.8643,3.239,0.0559,12.694,0,1,1,0
positive,1778653619758178816,eval_pallet09,REAL_CHALLENGE_DEV_105,19,0.21366,0.213,10.363,7.3368,40.5,0,0,1,1
positive,1778653630038417664,eval_pallet09,REAL_CHALLENGE_DEV_105,12,0.44377,0.3295,31.735,0.8677,195.674,0,1,1,0
positive,1778653632188551424,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.6972,0.8167,9.399,0.1032,12.677,0,1,1,0
positive,1778653634641026304,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.85703,0.8091,4.004,0.1146,7.024,0,1,1,0
positive,1778653643678509824,eval_pallet09,REAL_CHALLENGE_DEV_105,10,0.7535,0.8758,6.075,0.1528,6.415,0,1,1,0
positive,1778653659065885952,eval_pallet09,REAL_CHALLENGE_DEV_105,9,0.70057,0.8384,49.633,1.0407,76.983,0,1,1,0
positive,1778653661653195264,eval_pallet09,REAL_CHALLENGE_DEV_105,6,0.19836,0.774,62.037,0.0719,89.791,0,0,1,1
positive,1778653664407620608,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.75551,0.9396,93.508,0.0865,181.972,0,1,1,0
positive,1778653674184865536,eval_pallet09,REAL_CHALLENGE_DEV_105,2,0.91398,0.9277,95.588,0.0707,224.589,0,1,1,0
positive,1778653693804927232,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.19624,0.6266,1.829,0.4285,5.428,0,0,1,1
positive,1778653699314620416,eval_pallet09,REAL_CHALLENGE_DEV_105,7,0.32851,0.8269,3.075,0.1349,7.141,0,0,1,1
positive,1778653704118966272,eval_pallet09,REAL_CHALLENGE_DEV_105,3,0.00969,0.6087,3.114,0.6453,9.443,0,0,1,1
positive,1778653706706429696,eval_pallet09,REAL_CHALLENGE_DEV_105,11,0.51787,0.8311,6.188,0.3856,10.144,0,1,1,0
positive,1778653709259341568,eval_pallet09,REAL_CHALLENGE_DEV_105,6,0.43749,0.8217,2.068,0.1233,6.657,0,1,1,0
positive,1778653711544007680,eval_pallet09,REAL_CHALLENGE_DEV_105,8,0.26523,0.8862,3.03,0.0735,6.441,0,0,1,1
positive,1778653713962971904,eval_pallet09,REAL_CHALLENGE_DEV_105,11,0.75453,0.7339,1.498,0.4387,10.938,0,1,1,0
positive,1778653721118964736,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.68863,0.813,9.663,0.1285,14.958,0,1,1,0
positive,1778653723571790336,eval_pallet09,REAL_CHALLENGE_DEV_105,10,0.67847,0.6699,14.185,0.5288,80.759,0,1,1,0
positive,1778653730458996736,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.89171,0.8632,10.841,0.0954,18.445,0,1,1,0
positive,1778653738858078976,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.9056,0.9386,11.206,0.1065,20.025,0,1,1,0
positive,1778653793553994496,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.42743,0.7242,1.509,1.0767,51.544,0,1,1,0
positive,1778653796073599488,eval_pallet09,REAL_CHALLENGE_DEV_105,3,0.08945,0.3478,19.326,2.623,115.297,0,0,1,1
positive,1778653798391620864,eval_pallet09,REAL_CHALLENGE_DEV_105,1,0.09004,0.4043,21.43,2.7042,87.324,0,0,1,1
positive,1778653804674198784,eval_pallet09,REAL_CHALLENGE_DEV_105,8,0.06354,0.0,37.101,29.7787,420.992,0,0,1,1
positive,1778653806958839552,eval_pallet09,REAL_CHALLENGE_DEV_105,2,0.0013,0.2489,16.985,6.8454,64.453,0,0,1,1
positive,1778653811763352320,eval_pallet09,REAL_CHALLENGE_DEV_105,1,0.33879,0.3097,28.311,2.1231,115.988,0,0,1,1
positive,1778653814384002560,eval_pallet09,REAL_CHALLENGE_DEV_105,6,0.16154,0.5263,27.083,1.283,101.444,0,0,1,1
positive,1778653821069351168,eval_pallet09,REAL_CHALLENGE_DEV_105,7,0.14367,0.4922,20.694,1.6913,107.912,0,0,1,1
positive,1778653823253508096,eval_pallet09,REAL_CHALLENGE_DEV_105,2,0.52116,0.7156,11.164,0.3642,19.616,0,1,1,0
positive,1778653832794714368,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.24703,0.5487,7.555,0.4109,28.914,0,0,1,1
positive,1778653871330109184,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.01237,0.7407,7.387,0.9771,55.512,0,0,1,1
positive,1778653882316513792,eval_pallet09,REAL_CHALLENGE_DEV_105,6,0.10532,0.7881,5.369,0.042,9.588,0,0,1,1
positive,1778653884903302656,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.707,0.826,2.698,0.0347,7.883,1,1,1,0
positive,1778653889069260032,eval_pallet09,REAL_CHALLENGE_DEV_105,9,0.368,0.8503,7.834,0.2181,19.479,0,0,1,1
positive,1778653898342159872,eval_pallet09,REAL_CHALLENGE_DEV_105,12,0.73474,0.8269,5.113,0.0683,11.656,0,1,1,0
positive,1778653907581160960,eval_pallet09,REAL_CHALLENGE_DEV_105,12,0.32023,0.0752,10.807,0.7541,66.31,0,0,1,1
positive,1779449467555301888,eval_night08,REAL_CHALLENGE_DEV_105,18,0.19964,0.0,11.073,21.0301,149.837,0,0,1,1
positive,1779449470423201536,eval_night08,REAL_CHALLENGE_DEV_105,16,0.33718,0.0,5.959,17.2567,160.606,0,0,1,1
positive,1779449475060066816,eval_night08,REAL_CHALLENGE_DEV_105,14,0.14795,0.0,16.857,19.0857,152.647,0,0,1,1
positive,1779449479095927552,eval_night08,REAL_CHALLENGE_DEV_105,16,0.22172,0.0,12.066,18.649,149.158,0,0,1,1
positive,1779449481331070208,eval_night08,REAL_CHALLENGE_DEV_105,14,0.10757,0.5653,23.644,0.8575,62.866,0,0,1,1
positive,1779449483432542720,eval_night08,REAL_CHALLENGE_DEV_105,9,0.04258,0.0,5.753,15.6083,201.794,0,0,1,1
positive,1779449485800670464,eval_night08,REAL_CHALLENGE_DEV_105,6,0.03523,0.0007,21.911,13.479,183.191,0,0,1,1
positive,1779449488068910592,eval_night08,REAL_CHALLENGE_DEV_105,6,0.67877,0.723,6.66,0.0504,14.074,0,1,1,0
positive,1779449490370609408,eval_night08,REAL_CHALLENGE_DEV_105,12,0.05575,0.0,28.614,15.7931,194.553,0,0,1,1
positive,1779449492505469440,eval_night08,REAL_CHALLENGE_DEV_105,10,0.16927,0.7277,1.943,0.2168,18.07,0,0,1,1
positive,1779449494740471040,eval_night08,REAL_CHALLENGE_DEV_105,3,0.87392,0.1343,1.104,0.0328,10.317,1,1,1,0
positive,1779449496875356416,eval_night08,REAL_CHALLENGE_DEV_105,5,0.21005,0.8683,2.395,0.2375,10.749,0,0,1,1
positive,1779449499143611648,eval_night08,REAL_CHALLENGE_DEV_105,15,0.87233,0.8587,2.329,0.0385,10.449,1,1,1,0
positive,1779449501478488320,eval_night08,REAL_CHALLENGE_DEV_105,7,0.92777,0.9577,2.643,0.0409,16.767,1,1,1,0
positive,1779449503746678784,eval_night08,REAL_CHALLENGE_DEV_105,7,0.40342,0.27,6.042,0.1267,31.637,0,1,1,0
positive,1779449506181779968,eval_night08,REAL_CHALLENGE_DEV_105,13,0.42526,0.287,1.097,0.2587,70.488,0,1,1,0
positive,1779449508483286784,eval_night08,REAL_CHALLENGE_DEV_105,7,0.51682,0.2933,2.464,0.2847,70.13,0,1,1,0
positive,1779449575470221824,eval_night09,REAL_CHALLENGE_DEV_105,8,0.01673,0.0,55.317,21.4664,165.116,0,0,1,1
positive,1779449580573721600,eval_night09,REAL_CHALLENGE_DEV_105,8,0.01793,0.0292,8.513,7.9008,144.228,0,0,1,1
positive,1779449584709824000,eval_night09,REAL_CHALLENGE_DEV_105,6,0.02501,0.0418,4.958,8.2848,133.412,0,0,1,1
positive,1779449589380006912,eval_night09,REAL_CHALLENGE_DEV_105,11,0.03225,0.3154,21.12,2.3993,89.076,0,0,1,1
positive,1779449591514485504,eval_night09,REAL_CHALLENGE_DEV_105,8,0.10658,0.0,27.924,9.9961,116.976,0,0,1,1
positive,1779449593782795264,eval_night09,REAL_CHALLENGE_DEV_105,6,0.32361,0.6084,2.947,1.4905,51.368,0,0,1,1
positive,1779449596017728000,eval_night09,REAL_CHALLENGE_DEV_105,3,0.90388,0.0,60.776,14.2137,229.408,0,1,1,0
positive,1779449600421037056,eval_night09,REAL_CHALLENGE_DEV_105,7,0.775,0.02,62.259,13.1982,241.446,0,1,1,0
positive,1779449602689248000,eval_night09,REAL_CHALLENGE_DEV_105,5,0.83665,0.0,60.857,13.5533,236.116,0,1,1,0
positive,1779449604823769344,eval_night09,REAL_CHALLENGE_DEV_105,6,0.76149,0.0,66.622,11.198,299.114,0,1,1,0
positive,1779449631842893312,eval_night09,REAL_CHALLENGE_DEV_105,11,0.39488,0.7359,2.553,0.4389,18.092,0,0,1,1
positive,1779449634044385536,eval_night09,REAL_CHALLENGE_DEV_105,11,0.02511,0.0,74.769,3.7743,186.774,0,0,1,1
positive,1779449638581035008,eval_night09,REAL_CHALLENGE_DEV_105,11,0.29809,0.7359,86.893,0.1195,122.31,0,0,1,1
positive,1779449641015972352,eval_night09,REAL_CHALLENGE_DEV_105,4,0.73055,0.1166,106.553,1.0764,153.136,0,1,1,0
positive,1779449643284402176,eval_night09,REAL_CHALLENGE_DEV_105,18,0.01192,0.5057,41.0,2.3965,70.346,0,0,1,1
positive,1779449645419136000,eval_night09,REAL_CHALLENGE_DEV_105,13,0.40328,0.7907,1.949,0.4628,22.601,0,1,1,0
positive,1779449647620845824,eval_night09,REAL_CHALLENGE_DEV_105,6,0.80192,0.8629,1.837,0.1899,8.19,0,1,1,0
positive,1779449649655479552,eval_night09,REAL_CHALLENGE_DEV_105,3,0.79926,0.8191,2.178,0.0371,13.411,1,1,1,0
positive,1779449651923662336,eval_night09,REAL_CHALLENGE_DEV_105,4,0.93552,0.0,57.035,9.2438,224.321,0,1,1,0
positive,1779449654325364736,eval_night09,REAL_CHALLENGE_DEV_105,6,0.59816,0.2404,9.241,0.4411,19.902,0,1,1,0
positive,1779449656527024896,eval_night09,REAL_CHALLENGE_DEV_105,3,0.68376,0.0,60.58,9.1703,258.062,0,1,1,0
positive,1779449658861846528,eval_night09,REAL_CHALLENGE_DEV_105,5,0.70194,0.0,80.383,7.2911,381.601,0,1,1,0
positive,1779449661263803392,eval_night09,REAL_CHALLENGE_DEV_105,6,0.68879,0.0,78.292,7.0843,389.794,0,1,1,0
positive,1779449663431979264,eval_night09,REAL_CHALLENGE_DEV_105,4,0.71427,0.2625,18.424,0.5015,79.79,0,1,1,0
positive,1779449665933553920,eval_night09,REAL_CHALLENGE_DEV_105,4,0.025,0.341,15.259,0.3392,84.722,0,0,1,1
negative,389,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.81468,,,,,,1,1,
negative,390,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.78465,,,,,,1,1,
negative,391,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.72739,,,,,,1,1,
negative,393,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.83638,,,,,,1,1,
negative,394,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.6094,,,,,,1,1,
negative,395,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.32514,,,,,,0,1,
negative,396,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.29614,,,,,,0,1,
negative,397,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.30772,,,,,,0,1,
negative,398,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.45165,,,,,,1,1,
negative,399,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.27325,,,,,,0,1,
negative,400,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.36771,,,,,,0,1,
negative,401,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.49789,,,,,,1,1,
negative,417,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.42764,,,,,,1,1,
negative,423,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.38004,,,,,,0,1,
negative,427,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.50454,,,,,,1,1,
negative,436,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.35089,,,,,,0,1,
negative,467,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.20004,,,,,,0,1,
negative,468,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.19365,,,,,,0,1,
negative,469,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.30644,,,,,,0,1,
negative,470,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.32838,,,,,,0,1,
negative,472,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.40937,,,,,,1,1,
negative,473,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.32812,,,,,,0,1,
negative,475,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.40517,,,,,,1,1,
negative,494,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.48329,,,,,,1,1,
negative,495,forklift_raw_20260528,REAL_NEG_DEV_V1,1,0.4651,,,,,,1,1,
negative,496,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.42442,,,,,,1,1,
negative,497,forklift_raw_20260528,REAL_NEG_DEV_V1,1,0.21184,,,,,,0,1,
negative,498,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.0917,,,,,,0,1,
negative,499,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.0389,,,,,,0,1,
negative,500,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.29848,,,,,,0,1,
negative,501,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.02216,,,,,,0,1,
negative,502,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.15177,,,,,,0,1,
negative,503,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.0815,,,,,,0,1,
negative,504,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.09179,,,,,,0,1,
negative,505,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.02547,,,,,,0,1,
negative,506,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.01233,,,,,,0,1,
negative,507,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.02809,,,,,,0,1,
negative,508,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.0474,,,,,,0,1,
negative,509,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.03751,,,,,,0,1,
negative,510,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.05337,,,,,,0,1,
negative,511,forklift_raw_20260528,REAL_NEG_DEV_V1,14,0.0353,,,,,,0,1,
negative,512,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.03953,,,,,,0,1,
negative,513,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.06255,,,,,,0,1,
negative,514,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.02318,,,,,,0,1,
negative,515,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.03357,,,,,,0,1,
negative,516,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.03997,,,,,,0,1,
negative,517,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.01745,,,,,,0,1,
negative,518,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.01929,,,,,,0,1,
negative,519,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.07224,,,,,,0,1,
negative,520,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.03581,,,,,,0,1,
negative,521,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.03684,,,,,,0,1,
negative,522,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.02133,,,,,,0,1,
negative,523,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.0399,,,,,,0,1,
negative,524,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.1526,,,,,,0,1,
negative,525,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.0967,,,,,,0,1,
negative,526,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.04752,,,,,,0,1,
negative,527,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.6342,,,,,,1,1,
negative,528,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.06047,,,,,,0,1,
negative,529,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.53628,,,,,,1,1,
negative,530,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.52583,,,,,,1,1,
negative,531,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.09138,,,,,,0,1,
negative,532,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.11896,,,,,,0,1,
