fid,set,population,n_cand,native_iou,native_R,native_t,native_s5,cv_feature,cv_rank_chosen,cv_iou,cv_R,cv_t,cv_s5
1775201418120676608,eval_noapril,REAL_DEV_OPEN_56,1,0.9649,0.917,0.0343,1,box_area,0,0.9649,0.917,0.0343,1
1775201421043401984,eval_noapril,REAL_DEV_OPEN_56,1,0.9675,0.559,0.0141,1,box_area,0,0.9675,0.559,0.0141,1
1775201428535961600,eval_noapril,REAL_DEV_OPEN_56,1,0.95,0.989,0.0304,1,box_area,0,0.95,0.989,0.0304,1
1775201429879521792,eval_noapril,REAL_DEV_OPEN_56,3,0.9616,0.714,0.0387,1,box_area,0,0.9616,0.714,0.0387,1
1775201430551447040,eval_noapril,REAL_DEV_OPEN_56,1,0.9447,1.48,0.0813,0,box_area,0,0.9447,1.48,0.0813,0
1775201430786751744,eval_noapril,REAL_DEV_OPEN_56,2,0.9577,0.855,0.0301,1,box_area,1,0.9449,0.878,0.0265,1
1775201436800711168,eval_noapril,REAL_DEV_OPEN_56,1,0.9725,1.257,0.0109,1,box_area,0,0.9725,1.257,0.0109,1
1775201442546213120,eval_noapril,REAL_DEV_OPEN_56,1,0.9657,1.527,0.0115,1,box_area,0,0.9657,1.527,0.0115,1
1775201443822140928,eval_noapril,REAL_DEV_OPEN_56,3,0.9915,1.331,0.0247,1,box_area,0,0.9915,1.331,0.0247,1
1778653003088339968,eval_cad,REAL_DEV_OPEN_56,4,0.9929,0.981,0.0074,1,box_area,0,0.9929,0.981,0.0074,1
1778653006783606016,eval_cad,REAL_DEV_OPEN_56,1,0.9705,2.883,0.0332,1,box_area,0,0.9705,2.883,0.0332,1
1778653007724386048,eval_cad,REAL_DEV_OPEN_56,1,0.965,2.266,0.0154,1,box_area,0,0.965,2.266,0.0154,1
1778653017736058368,eval_cad,REAL_DEV_OPEN_56,2,0.9697,2.78,0.0434,1,box_area,0,0.9697,2.78,0.0434,1
1778653018878592768,eval_cad,REAL_DEV_OPEN_56,3,0.9584,2.518,0.0333,1,box_area,0,0.9584,2.518,0.0333,1
1778653020759897344,eval_cad,REAL_DEV_OPEN_56,1,0.7496,1.682,0.0716,0,box_area,0,0.7496,1.682,0.0716,0
1778653029965134592,eval_cad,REAL_DEV_OPEN_56,1,0.9784,4.23,0.0485,1,box_area,0,0.9784,4.23,0.0485,1
1778653030032337920,eval_cad,REAL_DEV_OPEN_56,2,0.9711,4.099,0.0435,1,box_area,1,0.9818,3.808,0.0482,1
1778653030099587072,eval_cad,REAL_DEV_OPEN_56,6,0.9743,3.213,0.0423,1,box_area,0,0.9743,3.213,0.0423,1
1778653030166875904,eval_cad,REAL_DEV_OPEN_56,3,0.9819,3.598,0.0405,1,box_area,0,0.9819,3.598,0.0405,1
1778653030233998336,eval_cad,REAL_DEV_OPEN_56,2,0.9722,2.637,0.0367,1,box_area,0,0.9722,2.637,0.0367,1
1778653030939714816,eval_cad,REAL_DEV_OPEN_56,1,0.964,2.829,0.0215,1,box_area,0,0.964,2.829,0.0215,1
1778653031275751936,eval_cad,REAL_DEV_OPEN_56,1,0.9357,1.881,0.0152,1,box_area,0,0.9357,1.881,0.0152,1
1778653033056483584,eval_cad,REAL_DEV_OPEN_56,1,0.9263,1.694,0.0377,1,box_area,0,0.9263,1.694,0.0377,1
1778653041187027200,eval_cad,REAL_DEV_OPEN_56,1,0.9505,3.776,0.0415,1,box_area,0,0.9505,3.776,0.0415,1
1778653055734035712,eval_cad,REAL_DEV_OPEN_56,3,0.9505,0.805,0.0157,1,box_area,0,0.9505,0.805,0.0157,1
1778653055801377280,eval_cad,REAL_DEV_OPEN_56,1,0.9512,1.801,0.0206,1,box_area,0,0.9512,1.801,0.0206,1
1778653055868669952,eval_cad,REAL_DEV_OPEN_56,1,0.9491,2.286,0.0189,1,box_area,0,0.9491,2.286,0.0189,1
1778653056137140480,eval_cad,REAL_DEV_OPEN_56,2,0.9815,1.581,0.0173,1,box_area,0,0.9815,1.581,0.0173,1
1778653072734532096,eval_cad,REAL_DEV_OPEN_56,9,0.4448,5.091,0.2,0,box_area,2,0.583,2.033,0.1577,0
1778653072835089920,eval_cad,REAL_DEV_OPEN_56,6,0.4209,5.562,0.2225,0,box_area,3,0.5944,0.748,0.1275,0
1778653072868820224,eval_cad,REAL_DEV_OPEN_56,6,0.4015,6.799,0.2681,0,box_area,4,0.587,0.892,0.1669,0
1778652124170068224,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.9407,0.988,0.0478,1,box_area,0,0.9407,0.988,0.0478,1
1778652125245035520,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.9337,2.193,0.0487,1,box_area,0,0.9337,2.193,0.0487,1
1778652126319943168,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.9282,0.92,0.0232,1,box_area,0,0.9282,0.92,0.0232,1
1778652127361815808,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.9747,3.533,0.0371,1,box_area,0,0.9747,3.533,0.0371,1
1778652128369383168,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.9623,3.717,0.0118,1,box_area,1,0.9744,3.118,0.014,1
1778652130452698368,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.9511,3.271,0.0174,1,box_area,0,0.9511,3.271,0.0174,1
1778652132535256576,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.9728,1.702,0.0129,1,box_area,0,0.9728,1.702,0.0129,1
1778652134517495552,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.9751,2.01,0.0261,1,box_area,0,0.9751,2.01,0.0261,1
1778652136533958400,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.9407,1.95,0.0218,1,box_area,0,0.9407,1.95,0.0218,1
1778652138515809024,eval_pallet07,REAL_CHALLENGE_DEV_105,4,0.9454,97.008,0.0889,0,box_area,0,0.9454,97.008,0.0889,0
1778652140531310080,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.8937,2.35,0.1354,0,box_area,0,0.8937,2.35,0.1354,0
1778652142480077056,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.8948,1.953,0.0358,1,box_area,1,0.948,1.801,0.0126,1
1778652144496057088,eval_pallet07,REAL_CHALLENGE_DEV_105,5,0.8424,5.941,0.2111,0,box_area,3,0.8605,5.702,0.0681,0
1778652146612550912,eval_pallet07,REAL_CHALLENGE_DEV_105,6,0.8211,4.246,0.1505,0,box_area,2,0.7397,6.703,0.0669,0
1778652148628229376,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.6386,0.751,0.7596,0,box_area,1,0.8052,4.183,0.1644,0
1778652150610404864,eval_pallet07,REAL_CHALLENGE_DEV_105,5,0.8732,5.916,0.0425,0,box_area,0,0.8732,5.916,0.0425,0
1778652152626116352,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.7805,17.147,0.1545,0,box_area,1,0.8124,16.008,0.1283,0
1778652154608392192,eval_pallet07,REAL_CHALLENGE_DEV_105,5,0.8455,18.223,0.2237,0,box_area,4,0.8791,15.6,0.1759,0
1778652156557165568,eval_pallet07,REAL_CHALLENGE_DEV_105,2,0.8393,8.442,0.1608,0,box_area,1,0.8509,8.006,0.1361,0
1778652158404883456,eval_pallet07,REAL_CHALLENGE_DEV_105,1,0.9616,5.342,0.071,0,box_area,0,0.9616,5.342,0.071,0
1778652166837872128,eval_pallet07,REAL_CHALLENGE_DEV_105,10,0.9607,94.405,0.089,0,box_area,4,0.9525,94.365,0.083,0
1778652168786111744,eval_pallet07,REAL_CHALLENGE_DEV_105,8,0.8948,87.005,0.0958,0,box_area,0,0.8948,87.005,0.0958,0
1778652170735118080,eval_pallet07,REAL_CHALLENGE_DEV_105,4,0.9329,3.739,0.0669,0,box_area,2,0.9322,3.124,0.0405,1
1778652172717607680,eval_pallet07,REAL_CHALLENGE_DEV_105,6,0.9116,2.418,0.0338,1,box_area,0,0.9116,2.418,0.0338,1
1778652174598774528,eval_pallet07,REAL_CHALLENGE_DEV_105,4,0.8815,5.134,0.0378,0,box_area,0,0.8815,5.134,0.0378,0
1778652176547299328,eval_pallet07,REAL_CHALLENGE_DEV_105,5,0.8643,3.431,0.0571,0,box_area,1,0.8658,3.341,0.058,0
1778652178428551168,eval_pallet07,REAL_CHALLENGE_DEV_105,3,0.8643,3.239,0.0559,0,box_area,0,0.8643,3.239,0.0559,0
1778653619758178816,eval_pallet09,REAL_CHALLENGE_DEV_105,19,0.213,10.363,7.3368,0,box_area,14,0.8152,6.079,0.0308,0
1778653630038417664,eval_pallet09,REAL_CHALLENGE_DEV_105,12,0.3295,31.735,0.8677,0,box_area,2,0.8522,17.889,0.0761,0
1778653632188551424,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.8167,9.399,0.1032,0,box_area,1,0.8144,8.736,0.1114,0
1778653634641026304,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.8091,4.004,0.1146,0,box_area,0,0.8091,4.004,0.1146,0
1778653643678509824,eval_pallet09,REAL_CHALLENGE_DEV_105,10,0.8758,6.075,0.1528,0,box_area,3,0.8241,8.194,0.3541,0
1778653659065885952,eval_pallet09,REAL_CHALLENGE_DEV_105,9,0.8384,49.633,1.0407,0,box_area,0,0.8384,49.633,1.0407,0
1778653661653195264,eval_pallet09,REAL_CHALLENGE_DEV_105,6,0.774,62.037,0.0719,0,box_area,3,0.7025,75.92,0.2828,0
1778653664407620608,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.9396,93.508,0.0865,0,box_area,0,0.9396,93.508,0.0865,0
1778653674184865536,eval_pallet09,REAL_CHALLENGE_DEV_105,2,0.9277,95.588,0.0707,0,box_area,0,0.9277,95.588,0.0707,0
1778653693804927232,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.6266,1.829,0.4285,0,box_area,1,0.8198,16.455,0.607,0
1778653699314620416,eval_pallet09,REAL_CHALLENGE_DEV_105,7,0.8269,3.075,0.1349,0,box_area,0,0.8269,3.075,0.1349,0
1778653704118966272,eval_pallet09,REAL_CHALLENGE_DEV_105,3,0.6087,3.114,0.6453,0,box_area,0,0.6087,3.114,0.6453,0
1778653706706429696,eval_pallet09,REAL_CHALLENGE_DEV_105,11,0.8311,6.188,0.3856,0,box_area,1,0.8873,6.271,0.3217,0
1778653709259341568,eval_pallet09,REAL_CHALLENGE_DEV_105,6,0.8217,2.068,0.1233,0,box_area,4,0.925,5.173,0.1466,0
1778653711544007680,eval_pallet09,REAL_CHALLENGE_DEV_105,8,0.8862,3.03,0.0735,0,box_area,2,0.8896,4.057,0.1114,0
1778653713962971904,eval_pallet09,REAL_CHALLENGE_DEV_105,11,0.7339,1.498,0.4387,0,box_area,7,0.7661,26.118,0.6046,0
1778653721118964736,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.813,9.663,0.1285,0,box_area,0,0.813,9.663,0.1285,0
1778653723571790336,eval_pallet09,REAL_CHALLENGE_DEV_105,10,0.6699,14.185,0.5288,0,box_area,3,0.6273,17.696,0.6969,0
1778653730458996736,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.8632,10.841,0.0954,0,box_area,0,0.8632,10.841,0.0954,0
1778653738858078976,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.9386,11.206,0.1065,0,box_area,0,0.9386,11.206,0.1065,0
1778653793553994496,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.7242,1.509,1.0767,0,box_area,0,0.7242,1.509,1.0767,0
1778653796073599488,eval_pallet09,REAL_CHALLENGE_DEV_105,3,0.3478,19.326,2.623,0,box_area,2,0.6136,19.286,1.0597,0
1778653798391620864,eval_pallet09,REAL_CHALLENGE_DEV_105,1,0.4043,21.43,2.7042,0,box_area,0,0.4043,21.43,2.7042,0
1778653804674198784,eval_pallet09,REAL_CHALLENGE_DEV_105,8,0.0,37.101,29.7787,0,box_area,1,0.4605,22.184,2.4565,0
1778653806958839552,eval_pallet09,REAL_CHALLENGE_DEV_105,2,0.2489,16.985,6.8454,0,box_area,0,0.2489,16.985,6.8454,0
1778653811763352320,eval_pallet09,REAL_CHALLENGE_DEV_105,1,0.3097,28.311,2.1231,0,box_area,0,0.3097,28.311,2.1231,0
1778653814384002560,eval_pallet09,REAL_CHALLENGE_DEV_105,6,0.5263,27.083,1.283,0,box_area,3,0.825,25.021,0.344,0
1778653821069351168,eval_pallet09,REAL_CHALLENGE_DEV_105,7,0.4922,20.694,1.6913,0,box_area,4,0.8118,19.52,0.276,0
1778653823253508096,eval_pallet09,REAL_CHALLENGE_DEV_105,2,0.7156,11.164,0.3642,0,box_area,0,0.7156,11.164,0.3642,0
1778653832794714368,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.5487,7.555,0.4109,0,box_area,1,0.6649,14.592,0.2357,0
1778653871330109184,eval_pallet09,REAL_CHALLENGE_DEV_105,4,0.7407,7.387,0.9771,0,box_area,0,0.7407,7.387,0.9771,0
1778653882316513792,eval_pallet09,REAL_CHALLENGE_DEV_105,6,0.7881,5.369,0.042,0,box_area,0,0.7881,5.369,0.042,0
1778653884903302656,eval_pallet09,REAL_CHALLENGE_DEV_105,5,0.826,2.698,0.0347,1,box_area,0,0.826,2.698,0.0347,1
1778653889069260032,eval_pallet09,REAL_CHALLENGE_DEV_105,9,0.8503,7.834,0.2181,0,box_area,3,0.8447,2.81,0.1221,0
1778653898342159872,eval_pallet09,REAL_CHALLENGE_DEV_105,12,0.8269,5.113,0.0683,0,box_area,0,0.8269,5.113,0.0683,0
1778653907581160960,eval_pallet09,REAL_CHALLENGE_DEV_105,12,0.0752,10.807,0.7541,0,box_area,8,0.1255,4.84,0.0677,0
1779449467555301888,eval_night08,REAL_CHALLENGE_DEV_105,18,0.0,11.073,21.0301,0,box_area,8,0.063,33.166,2.4567,0
1779449470423201536,eval_night08,REAL_CHALLENGE_DEV_105,16,0.0,5.959,17.2567,0,box_area,11,0.0,25.439,4.1353,0
1779449475060066816,eval_night08,REAL_CHALLENGE_DEV_105,14,0.0,16.857,19.0857,0,box_area,11,0.0114,26.871,2.7035,0
1779449479095927552,eval_night08,REAL_CHALLENGE_DEV_105,16,0.0,12.066,18.649,0,box_area,3,0.6419,16.034,0.7845,0
1779449481331070208,eval_night08,REAL_CHALLENGE_DEV_105,14,0.5653,23.644,0.8575,0,box_area,3,0.6753,23.038,0.2929,0
1779449483432542720,eval_night08,REAL_CHALLENGE_DEV_105,9,0.0,5.753,15.6083,0,box_area,3,0.7616,28.373,0.9165,0
1779449485800670464,eval_night08,REAL_CHALLENGE_DEV_105,6,0.0007,21.911,13.479,0,box_area,5,0.7788,12.979,0.3554,0
1779449488068910592,eval_night08,REAL_CHALLENGE_DEV_105,6,0.723,6.66,0.0504,0,box_area,0,0.723,6.66,0.0504,0
1779449490370609408,eval_night08,REAL_CHALLENGE_DEV_105,12,0.0,28.614,15.7931,0,box_area,7,0.5378,7.983,0.2808,0
1779449492505469440,eval_night08,REAL_CHALLENGE_DEV_105,10,0.7277,1.943,0.2168,0,box_area,0,0.7277,1.943,0.2168,0
1779449494740471040,eval_night08,REAL_CHALLENGE_DEV_105,3,0.1343,1.104,0.0328,1,box_area,0,0.1343,1.104,0.0328,1
1779449496875356416,eval_night08,REAL_CHALLENGE_DEV_105,5,0.8683,2.395,0.2375,0,box_area,0,0.8683,2.395,0.2375,0
1779449499143611648,eval_night08,REAL_CHALLENGE_DEV_105,15,0.8587,2.329,0.0385,1,box_area,0,0.8587,2.329,0.0385,1
1779449501478488320,eval_night08,REAL_CHALLENGE_DEV_105,7,0.9577,2.643,0.0409,1,box_area,0,0.9577,2.643,0.0409,1
1779449503746678784,eval_night08,REAL_CHALLENGE_DEV_105,7,0.27,6.042,0.1267,0,box_area,0,0.27,6.042,0.1267,0
1779449506181779968,eval_night08,REAL_CHALLENGE_DEV_105,13,0.287,1.097,0.2587,0,box_area,3,0.2966,5.155,0.2678,0
1779449508483286784,eval_night08,REAL_CHALLENGE_DEV_105,7,0.2933,2.464,0.2847,0,box_area,0,0.2933,2.464,0.2847,0
1779449575470221824,eval_night09,REAL_CHALLENGE_DEV_105,8,0.0,55.317,21.4664,0,box_area,0,0.0,55.317,21.4664,0
1779449580573721600,eval_night09,REAL_CHALLENGE_DEV_105,8,0.0292,8.513,7.9008,0,box_area,4,0.6342,10.11,1.0195,0
1779449584709824000,eval_night09,REAL_CHALLENGE_DEV_105,6,0.0418,4.958,8.2848,0,box_area,5,0.0,13.09,8.3524,0
1779449589380006912,eval_night09,REAL_CHALLENGE_DEV_105,11,0.3154,21.12,2.3993,0,box_area,5,0.5251,20.747,1.6036,0
1779449591514485504,eval_night09,REAL_CHALLENGE_DEV_105,8,0.0,27.924,9.9961,0,box_area,5,0.114,13.596,7.3408,0
1779449593782795264,eval_night09,REAL_CHALLENGE_DEV_105,6,0.6084,2.947,1.4905,0,box_area,0,0.6084,2.947,1.4905,0
1779449596017728000,eval_night09,REAL_CHALLENGE_DEV_105,3,0.0,60.776,14.2137,0,box_area,1,0.0,97.74,2.1732,0
1779449600421037056,eval_night09,REAL_CHALLENGE_DEV_105,7,0.02,62.259,13.1982,0,box_area,1,0.1345,2.338,0.9047,0
1779449602689248000,eval_night09,REAL_CHALLENGE_DEV_105,5,0.0,60.857,13.5533,0,box_area,4,0.0,36.423,12.0454,0
1779449604823769344,eval_night09,REAL_CHALLENGE_DEV_105,6,0.0,66.622,11.198,0,box_area,4,0.394,15.964,1.7878,0
1779449631842893312,eval_night09,REAL_CHALLENGE_DEV_105,11,0.7359,2.553,0.4389,0,box_area,0,0.7359,2.553,0.4389,0
1779449634044385536,eval_night09,REAL_CHALLENGE_DEV_105,11,0.0,74.769,3.7743,0,box_area,3,0.8904,9.248,0.3187,0
1779449638581035008,eval_night09,REAL_CHALLENGE_DEV_105,11,0.7359,86.893,0.1195,0,box_area,10,0.0,93.824,4.0,0
1779449641015972352,eval_night09,REAL_CHALLENGE_DEV_105,4,0.1166,106.553,1.0764,0,box_area,0,0.1166,106.553,1.0764,0
1779449643284402176,eval_night09,REAL_CHALLENGE_DEV_105,18,0.5057,41.0,2.3965,0,box_area,9,0.0,74.724,1.2392,0
1779449645419136000,eval_night09,REAL_CHALLENGE_DEV_105,13,0.7907,1.949,0.4628,0,box_area,8,0.0,75.595,1.5172,0
1779449647620845824,eval_night09,REAL_CHALLENGE_DEV_105,6,0.8629,1.837,0.1899,0,box_area,5,0.0,72.388,1.6168,0
1779449649655479552,eval_night09,REAL_CHALLENGE_DEV_105,3,0.8191,2.178,0.0371,1,box_area,0,0.8191,2.178,0.0371,1
1779449651923662336,eval_night09,REAL_CHALLENGE_DEV_105,4,0.0,57.035,9.2438,0,box_area,1,0.9034,3.996,0.2172,0
1779449654325364736,eval_night09,REAL_CHALLENGE_DEV_105,6,0.2404,9.241,0.4411,0,box_area,5,0.2986,5.911,0.3022,0
1779449656527024896,eval_night09,REAL_CHALLENGE_DEV_105,3,0.0,60.58,9.1703,0,box_area,1,0.9006,2.141,0.0682,0
1779449658861846528,eval_night09,REAL_CHALLENGE_DEV_105,5,0.0,80.383,7.2911,0,box_area,3,0.7169,25.965,0.6246,0
1779449661263803392,eval_night09,REAL_CHALLENGE_DEV_105,6,0.0,78.292,7.0843,0,box_area,4,0.8678,36.671,0.7098,0
1779449663431979264,eval_night09,REAL_CHALLENGE_DEV_105,4,0.2625,18.424,0.5015,0,box_area,3,0.3333,14.312,0.2793,0
1779449665933553920,eval_night09,REAL_CHALLENGE_DEV_105,4,0.341,15.259,0.3392,0,box_area,0,0.341,15.259,0.3392,0
