fid,set,population,reproj,box_conf,kp_conf_mean,kp_conf_4th,Y0_R,Y0_t,Y0_adds,Y0_iou,Y0_s5,YH_R,YH_t,YH_adds,YH_iou,YH_s5,ORACLE_R,ORACLE_t,ORACLE_adds,ORACLE_iou,ORACLE_s5,hough_wins_R,hough_wins_5cm5
1775201442546213120,eval_noapril,REAL_DEV_OPEN_56,5.821961660132246,0.9651439785957336,0.9960043132305145,0.9972993731498718,1.5267257584827005,0.011542806051124885,0.017532677805148188,0.8287628592377291,1,3.3438743752563678,0.03629814238823258,0.05046312226182157,0.6186016941014881,1,1.5267257584827005,0.011542806051124885,0.017532677805148188,0.8287628592377291,1,0,0
1775201443822140928,eval_noapril,REAL_DEV_OPEN_56,6.45645696356103,0.9355556964874268,0.99532650411129,0.9973192811012268,1.3312423705825474,0.02473641950758582,0.026833749430785148,0.6823939907467849,1,5.314857876812226,0.03724447190122405,0.07307433343614228,0.5518282676318929,0,1.3312423705825474,0.02473641950758582,0.026833749430785148,0.6823939907467849,1,0,0
1778653003088339968,eval_cad,REAL_DEV_OPEN_56,12.255941940067357,0.968183159828186,0.9870466366410255,0.9886624217033386,0.9807753800270201,0.007357936794969228,0.013221558413875768,0.865076459648357,1,5.500628732486729,0.040583543296687945,0.05832094158978119,0.5125815484492453,0,0.9807753800270201,0.007357936794969228,0.013221558413875768,0.865076459648357,1,0,0
1778653006783606016,eval_cad,REAL_DEV_OPEN_56,6.587782007321962,0.9678351879119873,0.99480140209198,0.9941313862800598,2.8833518148234276,0.03321283930251478,0.0407838990201515,0.5544534354787917,1,3.6672496194802595,0.03929635927764046,0.04553608800073875,0.5294235181454048,1,2.8833518148234276,0.03321283930251478,0.0407838990201515,0.5544534354787917,1,0,0
1778653007724386048,eval_cad,REAL_DEV_OPEN_56,6.994584579559168,0.958571195602417,0.9890614151954651,0.9863020181655884,2.2662462652397353,0.015404956299397653,0.02996992950574543,0.7587099266535536,1,7.811483245484588,0.023828126762610213,0.06635532194297264,0.4828073181054699,0,2.2662462652397353,0.015404956299397653,0.02996992950574543,0.7587099266535536,1,0,0
1778653017736058368,eval_cad,REAL_DEV_OPEN_56,15.77910737235743,0.9353963136672974,0.9867473170161247,0.9925479292869568,2.779911101713438,0.04340482405069123,0.043101105194589893,0.44857064941157093,1,6.662064686851808,0.0714979309157417,0.09533334716632925,0.28187535408509035,0,2.779911101713438,0.04340482405069123,0.043101105194589893,0.44857064941157093,1,0,0
1778653018878592768,eval_cad,REAL_DEV_OPEN_56,12.947396086546771,0.9248490333557129,0.9896805956959724,0.9954494833946228,2.518092978869656,0.033316835626349565,0.04422484164905346,0.7524732128369896,1,5.050693630303515,0.028546657904539974,0.07078853042973426,0.6584928701620963,0,2.518092978869656,0.033316835626349565,0.04422484164905346,0.7524732128369896,1,0,0
1778653020759897344,eval_cad,REAL_DEV_OPEN_56,8.628140529926224,0.9338916540145874,0.9714163988828659,0.9876305460929871,1.6816597668097797,0.07162013180437676,0.0728394018052439,0.3850064857362137,0,2.851973047116217,0.07390481391255396,0.07200853656404299,0.3811057573300134,0,1.6816597668097797,0.07162013180437676,0.0728394018052439,0.3850064857362137,0,0,0
1778653029965134592,eval_cad,REAL_DEV_OPEN_56,9.853042125976698,0.9675031304359436,0.9947208538651466,0.9957950115203857,4.230390511078544,0.048522637410230184,0.05221409980472601,0.46379399313315883,1,8.071736680734944,0.07013952797061816,0.09621279928543194,0.3669610403138714,0,4.230390511078544,0.048522637410230184,0.05221409980472601,0.46379399313315883,1,0,0
1778653030032337920,eval_cad,REAL_DEV_OPEN_56,9.666047716296248,0.9467796683311462,0.9949084296822548,0.9943219423294067,4.098775484270463,0.04351373616940325,0.05200843885562934,0.48951527846911375,1,4.231521309665815,0.04178867992438063,0.05467039393910343,0.5497680376148674,1,4.098775484270463,0.04351373616940325,0.05200843885562934,0.48951527846911375,1,0,0
