epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,1388.65,0.6481,1.14703,0.51826,0.98944,0.94308,0.92258,0.9551,0.8602,0.93754,0.91702,0.94918,0.79611,0.54891,0.68859,0.49792,0.93906,0.00133846,0.00133846,0.00133846
34,1430.89,0.6317,1.08282,0.4886,0.9758,0.94493,0.91989,0.95979,0.85379,0.94493,0.91989,0.95979,0.79752,0.60686,0.72414,0.50623,0.94411,0.00133563,0.00133563,0.00133563
35,1472.78,0.63549,1.13368,0.5148,0.98355,0.94405,0.92373,0.9316,0.81753,0.94405,0.92373,0.9316,0.77944,0.57962,0.86929,0.55473,0.93439,0.0013328,0.0013328,0.0013328
36,1514.62,0.64096,1.09695,0.49403,0.98438,0.85937,0.91289,0.92447,0.81487,0.85937,0.91289,0.92447,0.7904,0.57688,0.73628,0.51219,0.95713,0.00132997,0.00132997,0.00132997
37,1556.48,0.63268,1.11229,0.50133,0.97499,0.97378,0.91077,0.95015,0.84712,0.97378,0.91077,0.95015,0.80421,0.57463,0.73525,0.4981,0.93186,0.00132714,0.00132714,0.00132714
38,1598.3,0.64026,1.09888,0.51168,0.98252,0.94838,0.86717,0.93481,0.79174,0.94838,0.86717,0.93481,0.77603,0.59995,0.69056,0.55782,0.938,0.00132431,0.00132431,0.00132431
39,1640.12,0.62321,1.07539,0.48756,0.97457,0.94774,0.909,0.97138,0.85286,0.94774,0.909,0.97138,0.82523,0.56313,0.75086,0.45052,0.90597,0.00132148,0.00132148,0.00132148
40,1681.75,0.60806,1.05134,0.4742,0.96837,0.93507,0.93647,0.94632,0.83576,0.93507,0.93647,0.94632,0.79994,0.5898,0.70525,0.47402,0.93332,0.00131865,0.00131865,0.00131865
41,1723.78,0.6046,1.01494,0.4713,0.96254,0.87014,0.94127,0.9481,0.83618,0.87014,0.94127,0.9481,0.8085,0.55473,0.72392,0.49993,0.93983,0.00131582,0.00131582,0.00131582
42,1765.74,0.6255,1.07689,0.48467,0.97142,0.9643,0.92221,0.97024,0.83445,0.9643,0.92221,0.97024,0.79477,0.57795,0.72839,0.46983,0.92667,0.00131299,0.00131299,0.00131299
43,1807.6,0.61492,1.0825,0.48151,0.97293,0.93896,0.91945,0.96903,0.84398,0.93896,0.91945,0.96903,0.82976,0.56264,0.68716,0.45463,0.93052,0.00131016,0.00131016,0.00131016
44,1849.62,0.60626,1.02917,0.46508,0.96256,0.97156,0.91948,0.94689,0.80832,0.97156,0.91948,0.94689,0.779,0.63975,0.8006,0.50826,0.97441,0.00130733,0.00130733,0.00130733
45,1891.03,0.603,1.0516,0.47034,0.96643,0.97061,0.90156,0.95113,0.82297,0.97061,0.90156,0.95113,0.80048,0.55554,0.76286,0.4537,0.9022,0.00130451,0.00130451,0.00130451
46,1932.57,0.60127,1.05732,0.47578,0.96323,0.94587,0.90506,0.9546,0.85994,0.94587,0.90506,0.9546,0.79291,0.56961,0.81842,0.4823,0.92896,0.00130168,0.00130168,0.00130168
47,1974.3,0.60162,1.04223,0.47076,0.96703,0.96969,0.91993,0.96576,0.87193,0.96969,0.91993,0.96576,0.81992,0.56766,0.70244,0.44164,0.94706,0.00129885,0.00129885,0.00129885
48,2015.88,0.60099,1.06368,0.46685,0.96734,0.95504,0.9233,0.953,0.84177,0.95504,0.9233,0.953,0.78947,0.57932,0.76708,0.43707,0.94473,0.00129602,0.00129602,0.00129602
49,2057.56,0.60731,1.06182,0.48141,0.96411,0.95195,0.92905,0.96856,0.86696,0.95195,0.92905,0.96856,0.79913,0.54197,0.75604,0.4379,0.91499,0.00129319,0.00129319,0.00129319
50,2099.46,0.58995,1.03417,0.46851,0.95474,0.96556,0.92913,0.96837,0.85357,0.96556,0.92913,0.96837,0.82541,0.55966,0.67599,0.47976,0.92918,0.00129036,0.00129036,0.00129036
51,2141.51,0.60563,1.03168,0.46168,0.96522,0.97081,0.92249,0.95587,0.85662,0.97081,0.92249,0.95087,0.77963,0.54377,0.71776,0.42399,0.92752,0.00128753,0.00128753,0.00128753
52,2183.53,0.58692,1.00348,0.45857,0.94921,0.97601,0.92254,0.95736,0.86072,0.97601,0.92254,0.95736,0.82153,0.54997,0.62767,0.455,0.91315,0.0012847,0.0012847,0.0012847
53,2225.54,0.5748,1.03356,0.45737,0.94943,0.97397,0.93188,0.94956,0.83888,0.97397,0.93188,0.94956,0.80427,0.53514,0.67769,0.45569,0.91114,0.00128187,0.00128187,0.00128187
54,2267.42,0.57862,1.01935,0.45011,0.95838,0.98234,0.89331,0.94299,0.84214,0.98234,0.89331,0.94299,0.81031,0.5099,0.79291,0.46064,0.89428,0.00127904,0.00127904,0.00127904
55,2309.36,0.5862,1.02193,0.45609,0.95318,0.96665,0.86494,0.95524,0.82889,0.96665,0.86494,0.95524,0.80684,0.53532,0.87186,0.47085,0.88437,0.00127621,0.00127621,0.00127621
56,2351.29,0.60081,1.01977,0.46522,0.95867,0.90071,0.90027,0.96278,0.86145,0.90071,0.90027,0.96278,0.81389,0.49771,0.8375,0.46157,0.88827,0.00127338,0.00127338,0.00127338
57,2393.22,0.59705,1.07613,0.46349,0.96245,0.94825,0.91215,0.96334,0.86917,0.94825,0.91215,0.96334,0.80637,0.517,1.03857,0.44245,0.89124,0.00127055,0.00127055,0.00127055
58,2435.07,0.58606,1.00693,0.44395,0.95462,0.96504,0.89932,0.9668,0.86205,0.96504,0.89932,0.9668,0.80404,0.48542,0.7796,0.42321,0.87348,0.00126772,0.00126772,0.00126772
59,2476.61,0.57352,1.00791,0.43252,0.94835,0.93757,0.9178,0.95332,0.84729,0.93757,0.9178,0.95332,0.80645,0.54878,0.66896,0.4355,0.89755,0.00126489,0.00126489,0.00126489
60,2518.08,0.57314,1.02109,0.43431,0.95212,0.90932,0.9624,0.97493,0.86665,0.90932,0.9624,0.9708,0.8268,0.50511,0.66447,0.44059,0.89643,0.00126206,0.00126206,0.00126206
61,2559.59,0.57438,0.96267,0.43528,0.94964,0.96111,0.92417,0.9607,0.8607,0.96111,0.92417,0.9607,0.82558,0.50297,0.703,0.40302,0.89592,0.00125923,0.00125923,0.00125923
62,2601.07,0.57335,0.95991,0.4342,0.94859,0.9686,0.91586,0.97253,0.8823,0.9686,0.91586,0.97253,0.8286,0.51698,0.70963,0.4153,0.88793,0.00125641,0.00125641,0.00125641
63,2642.96,0.58849,0.97631,0.44675,0.95237,0.87897,0.98889,0.94935,0.82949,0.87897,0.98889,0.94935,0.8032,0.53534,0.67741,0.43326,0.91131,0.00125358,0.00125358,0.00125358
64,2684.73,0.57481,1.03075,0.44435,0.95151,0.9086,0.91203,0.94594,0.8653,0.9086,0.91203,0.94594,0.80201,0.497,0.66476,0.41865,0.89222,0.00125075,0.00125075,0.00125075
65,2726.52,0.57694,1.00868,0.44748,0.94876,0.96381,0.91887,0.94974,0.85977,0.96381,0.91887,0.94931,0.80956,0.53797,0.64813,0.41907,0.89131,0.00124792,0.00124792,0.00124792
66,2768.25,0.57692,0.98503,0.43521,0.94938,0.96595,0.9301,0.94121,0.85054,0.96595,0.9301,0.94121,0.80636,0.53176,0.66772,0.461,0.90659,0.00124509,0.00124509,0.00124509
67,2809.97,0.55034,0.97317,0.41572,0.94189,0.96898,0.93033,0.94425,0.86032,0.96898,0.93033,0.94425,0.80796,0.53795,0.77631,0.46353,0.90826,0.00124226,0.00124226,0.00124226
68,2851.61,0.57538,1.02405,0.44345,0.95309,0.98468,0.91997,0.95567,0.86745,0.98468,0.91997,0.94297,0.82043,0.47801,0.77763,0.41976,0.89097,0.00123943,0.00123943,0.00123943
69,2893.04,0.56235,0.99584,0.42537,0.95184,0.92077,0.93297,0.96648,0.87333,0.92077,0.93297,0.96648,0.84225,0.5081,0.6656,0.41961,0.87665,0.0012366,0.0012366,0.0012366
70,2934.45,0.5752,1.00252,0.43208,0.9488,0.9474,0.91068,0.96298,0.87626,0.9474,0.91068,0.96298,0.83175,0.50231,0.66425,0.39941,0.91426,0.00123377,0.00123377,0.00123377
71,2976.22,0.56464,0.98513,0.42593,0.94584,0.97666,0.92303,0.97278,0.87327,0.97666,0.92303,0.97278,0.80014,0.53319,0.64251,0.37288,0.9264,0.00123094,0.00123094,0.00123094
72,3018.15,0.57136,0.94673,0.4262,0.95211,0.93376,0.98268,0.96905,0.86718,0.93376,0.98268,0.96905,0.82649,0.56749,0.59386,0.41022,0.91413,0.00122811,0.00122811,0.00122811
73,3060.09,0.56168,0.94817,0.41762,0.94202,0.96946,0.93188,0.97964,0.88087,0.96946,0.93188,0.97923,0.84239,0.51222,0.6449,0.39618,0.9012,0.00122528,0.00122528,0.00122528
74,3102.05,0.56548,0.97528,0.42578,0.93915,0.9251,0.93658,0.96501,0.86213,0.9251,0.93658,0.96501,0.81267,0.51268,0.64032,0.42197,0.89632,0.00122245,0.00122245,0.00122245
75,3144.01,0.55623,0.95059,0.41357,0.94224,0.93534,0.91408,0.97169,0.88888,0.93534,0.91408,0.97169,0.84072,0.48057,0.65715,0.39361,0.8739,0.00121962,0.00121962,0.00121962
76,3186.38,0.55861,0.96745,0.41896,0.9408,0.94808,0.90538,0.97197,0.87604,0.94808,0.90538,0.97197,0.837,0.52772,0.61391,0.38557,0.91221,0.00121679,0.00121679,0.00121679
77,3228.43,0.56799,0.96808,0.428,0.95173,0.96489,0.91371,0.97436,0.88419,0.96489,0.91371,0.97436,0.82244,0.54465,0.73965,0.42429,0.92654,0.00121396,0.00121396,0.00121396
78,3270.56,0.55265,0.96806,0.42071,0.94213,0.90273,0.97926,0.97341,0.89469,0.90273,0.97926,0.97341,0.82395,0.51949,0.63136,0.38854,0.91261,0.00121113,0.00121113,0.00121113
79,3312.5,0.56559,0.97662,0.42777,0.94067,0.91422,0.97995,0.97285,0.88068,0.91422,0.97995,0.97869,0.81157,0.50495,0.66186,0.39462,0.89799,0.00120831,0.00120831,0.00120831
80,3354.18,0.55356,0.94454,0.41448,0.93524,0.90934,0.98071,0.98089,0.89647,0.90934,0.98071,0.97589,0.84875,0.50038,0.6582,0.37781,0.88024,0.00120548,0.00120548,0.00120548
81,3395.71,0.55537,0.9712,0.41085,0.94063,0.95104,0.98472,0.98533,0.90144,0.95104,0.98472,0.98533,0.85086,0.49818,0.58935,0.36293,0.90762,0.00120265,0.00120265,0.00120265
82,3437.16,0.55434,0.97818,0.41164,0.93804,0.93228,0.95602,0.97743,0.87056,0.93228,0.95602,0.97743,0.84642,0.52076,0.63325,0.39951,0.89453,0.00119982,0.00119982,0.00119982
83,3479.09,0.54515,0.97316,0.40256,0.93831,0.89104,0.98889,0.97216,0.87849,0.89104,0.98889,0.97216,0.82191,0.52781,0.66377,0.3724,0.89751,0.00119699,0.00119699,0.00119699
84,3520.76,0.54463,0.9723,0.40325,0.93446,0.92622,0.98475,0.97855,0.89998,0.92622,0.98475,0.97783,0.84588,0.47912,0.65325,0.39054,0.88091,0.00119416,0.00119416,0.00119416
85,3562.58,0.53889,0.94898,0.40331,0.93443,0.97118,0.91655,0.96963,0.89294,0.97118,0.91655,0.96963,0.83665,0.46562,0.67485,0.3909,0.8791,0.00119133,0.00119133,0.00119133
86,3604.35,0.55045,0.95975,0.40681,0.9381,0.91349,0.94014,0.96647,0.87643,0.91349,0.94014,0.96647,0.83174,0.49506,0.65408,0.37722,0.88089,0.0011885,0.0011885,0.0011885
87,3646.08,0.54487,0.96165,0.40293,0.93563,0.96432,0.91542,0.96873,0.87638,0.96432,0.91542,0.96873,0.82375,0.5181,0.65235,0.42011,0.90827,0.00118567,0.00118567,0.00118567
88,3687.97,0.55927,0.95529,0.40336,0.93489,0.97565,0.91998,0.98007,0.87376,0.97565,0.91998,0.98007,0.83243,0.51593,0.66288,0.37871,0.87861,0.00118284,0.00118284,0.00118284
89,3729.61,0.54542,0.92656,0.39952,0.93652,0.96646,0.91998,0.97978,0.88106,0.96646,0.91998,0.97978,0.83807,0.48164,0.63195,0.38575,0.86376,0.00118001,0.00118001,0.00118001
90,3771.39,0.5578,1.01184,0.41348,0.94522,0.95979,0.94013,0.98064,0.90564,0.95979,0.94013,0.98064,0.835,0.50014,0.67576,0.39578,0.87223,0.00117718,0.00117718,0.00117718
91,3813.2,0.55193,0.95422,0.41463,0.94122,0.91686,0.985,0.97866,0.90928,0.91686,0.985,0.97866,0.8489,0.45948,0.62675,0.3627,0.86357,0.00117435,0.00117435,0.00117435
92,3854.94,0.54696,0.95416,0.41235,0.93606,0.90966,0.97768,0.97833,0.88571,0.90966,0.97768,0.97833,0.80725,0.50115,0.71253,0.38826,0.89276,0.00117152,0.00117152,0.00117152
93,3896.49,0.54693,0.97299,0.40673,0.94105,0.92724,0.97594,0.98041,0.8829,0.92724,0.97594,0.98041,0.8326,0.47314,0.62743,0.35769,0.88349,0.00116869,0.00116869,0.00116869
94,3938.42,0.54046,0.95677,0.40347,0.93429,0.96443,0.91451,0.97466,0.88278,0.96443,0.91451,0.97466,0.84311,0.49578,0.6045,0.35916,0.88423,0.00116586,0.00116586,0.00116586
95,3980.22,0.54137,0.96026,0.39352,0.93347,0.96834,0.97262,0.98393,0.88807,0.96834,0.97262,0.98393,0.82308,0.48326,0.70175,0.37711,0.87914,0.00116303,0.00116303,0.00116303
96,4021.98,0.53609,0.92376,0.39106,0.93267,0.97474,0.95981,0.98502,0.90344,0.97474,0.95981,0.98502,0.84938,0.52322,0.62497,0.35126,0.88852,0.00116021,0.00116021,0.00116021
97,4063.74,0.56082,0.97882,0.41597,0.94342,0.97288,0.93188,0.97927,0.90073,0.97288,0.93188,0.97927,0.8441,0.48998,0.70436,0.3728,0.87501,0.00115738,0.00115738,0.00115738
98,4105.78,0.53602,0.93409,0.39293,0.93483,0.9232,0.9795,0.97908,0.91531,0.9232,0.9795,0.97908,0.84446,0.42262,0.62425,0.34005,0.85672,0.00115455,0.00115455,0.00115455
99,4147.57,0.53181,0.95132,0.39761,0.92625,0.9341,0.97771,0.98173,0.88648,0.9341,0.97771,0.98173,0.84492,0.49101,0.62089,0.36841,0.88006,0.00115172,0.00115172,0.00115172
100,4189.46,0.54112,0.94422,0.39639,0.93138,0.94268,0.9748,0.97357,0.8804,0.94268,0.9748,0.97357,0.83696,0.51557,0.63089,0.38897,0.91501,0.00114889,0.00114889,0.00114889
101,4231.54,0.52781,0.93161,0.39233,0.93652,0.97071,0.90555,0.97136,0.88403,0.97071,0.90555,0.97136,0.83045,0.51637,0.59474,0.41274,0.88281,0.00114606,0.00114606,0.00114606
102,4273.4,0.53333,0.89461,0.38885,0.92902,0.92173,0.9754,0.97825,0.88274,0.92173,0.9754,0.97825,0.8304,0.55951,0.60446,0.38779,0.9112,0.00114323,0.00114323,0.00114323
103,4314.82,0.53179,0.9215,0.39797,0.93065,0.98024,0.9822,0.98631,0.89071,0.98024,0.9822,0.98631,0.85657,0.54851,0.60327,0.35651,0.90788,0.0011404,0.0011404,0.0011404
104,4356.22,0.52925,0.96932,0.39245,0.93189,0.92289,0.98604,0.97981,0.88268,0.92289,0.98604,0.97981,0.84621,0.4766,0.60676,0.35286,0.87138,0.00113757,0.00113757,0.00113757
105,4398.09,0.54657,0.92878,0.38803,0.93557,0.92796,0.98889,0.97235,0.87834,0.92796,0.98889,0.97235,0.82761,0.4942,0.62106,0.34747,0.87711,0.00113474,0.00113474,0.00113474
106,4439.99,0.53882,0.9154,0.39305,0.93085,0.93021,0.98642,0.97874,0.8859,0.93021,0.98642,0.97874,0.84625,0.49958,0.69684,0.36204,0.87488,0.00113191,0.00113191,0.00113191
107,4481.57,0.52478,0.91041,0.38134,0.92133,0.97818,0.97824,0.98471,0.91548,0.97818,0.97824,0.98471,0.84599,0.45881,0.69715,0.36255,0.87452,0.00112908,0.00112908,0.00112908
108,4523.46,0.52342,0.91271,0.38123,0.92701,0.95765,0.9166,0.97359,0.89079,0.95765,0.9166,0.97359,0.83049,0.47923,0.60338,0.37448,0.87822,0.00112625,0.00112625,0.00112625
109,4565.2,0.5317,0.95057,0.39585,0.92997,0.93098,0.98596,0.97642,0.89487,0.93098,0.98596,0.97642,0.85007,0.5101,0.67208,0.35943,0.88042,0.00112342,0.00112342,0.00112342
110,4607.09,0.5296,0.90502,0.38328,0.93483,0.92738,0.97701,0.97848,0.89268,0.92738,0.97701,0.97848,0.83824,0.47091,0.66931,0.36646,0.88191,0.00112059,0.00112059,0.00112059
111,4648.78,0.51351,0.89598,0.3788,0.92659,0.91622,0.97863,0.97982,0.89997,0.91622,0.97863,0.97982,0.84497,0.50191,0.60704,0.3495,0.90166,0.00111776,0.00111776,0.00111776
112,4690.32,0.51389,0.87785,0.38572,0.92756,0.97018,0.98502,0.9867,0.90084,0.97018,0.98502,0.9867,0.85138,0.48788,0.64479,0.36612,0.8841,0.00111493,0.00111493,0.00111493
113,4732.22,0.53691,0.94126,0.39964,0.93829,0.93084,0.96799,0.97858,0.87165,0.93084,0.96799,0.97858,0.84103,0.44511,0.68811,0.39482,0.84429,0.0011121,0.0011121,0.0011121
114,4773.64,0.52313,0.90598,0.38197,0.91951,0.97798,0.97033,0.98478,0.90165,0.97798,0.97033,0.98478,0.84296,0.45016,0.67166,0.35504,0.85105,0.00110928,0.00110928,0.00110928
115,4815.09,0.52164,0.93014,0.38016,0.93053,0.90154,0.98122,0.97572,0.88055,0.90154,0.98122,0.97572,0.83462,0.45668,0.67599,0.35348,0.86218,0.00110645,0.00110645,0.00110645
116,4856.77,0.5169,0.88446,0.37889,0.92209,0.9656,0.95125,0.98239,0.909,0.9656,0.95125,0.98239,0.84509,0.44921,0.66711,0.345,0.84637,0.00110362,0.00110362,0.00110362
117,4898.47,0.51134,0.87829,0.37151,0.92113,0.92822,0.98039,0.97801,0.88184,0.92822,0.98039,0.97801,0.83663,0.43259,0.5762,0.35219,0.85106,0.00110079,0.00110079,0.00110079
118,4940.73,0.52102,0.89465,0.36918,0.92465,0.92589,0.97135,0.97833,0.89379,0.92589,0.97135,0.97833,0.83875,0.46554,0.6439,0.33475,0.86678,0.00109796,0.00109796,0.00109796
119,4982.79,0.51367,0.9231,0.37804,0.92805,0.97994,0.96409,0.9834,0.89929,0.97994,0.96409,0.9834,0.8493,0.4475,0.61864,0.34727,0.85762,0.00109513,0.00109513,0.00109513
120,5024.78,0.51022,0.89391,0.36871,0.922,0.93015,0.98171,0.97975,0.89724,0.93015,0.98171,0.97975,0.84761,0.46584,0.60668,0.33639,0.86171,0.0010923,0.0010923,0.0010923
121,5066.89,0.50984,0.9323,0.37531,0.92441,0.92601,0.98889,0.97985,0.90538,0.92601,0.98889,0.97985,0.83734,0.45063,0.60785,0.37345,0.84415,0.00108947,0.00108947,0.00108947
122,5108.94,0.51572,0.89842,0.37767,0.9215,0.98175,0.92256,0.98083,0.91214,0.98175,0.92256,0.98083,0.85288,0.45864,0.5936,0.40228,0.83947,0.00108664,0.00108664,0.00108664
123,5151.28,0.5134,0.87693,0.37096,0.92172,0.96615,0.91271,0.97643,0.89533,0.96615,0.91271,0.97643,0.83809,0.4735,0.61175,0.36341,0.85076,0.00108381,0.00108381,0.00108381
124,5193.37,0.51488,0.89568,0.37189,0.92623,0.93059,0.97279,0.98074,0.90154,0.93059,0.97279,0.98074,0.84211,0.4967,0.62049,0.36494,0.86609,0.00108098,0.00108098,0.00108098
125,5235.38,0.51881,0.90847,0.36806,0.92839,0.96315,0.92711,0.9658,0.90242,0.96315,0.92711,0.9658,0.84203,0.43443,0.61714,0.34463,0.84789,0.00107815,0.00107815,0.00107815
126,5277.47,0.52318,0.89444,0.37942,0.92263,0.92849,0.98792,0.98065,0.89403,0.92849,0.98792,0.98065,0.85317,0.48316,0.63585,0.34994,0.86749,0.00107532,0.00107532,0.00107532
127,5319.63,0.51519,0.87815,0.37258,0.92126,0.92948,0.98311,0.98006,0.89735,0.92948,0.98311,0.98006,0.83658,0.47226,0.59232,0.36659,0.87278,0.00107249,0.00107249,0.00107249
128,5361.76,0.50438,0.88,0.37282,0.91763,0.96113,0.91765,0.96424,0.87397,0.96113,0.91765,0.96424,0.82811,0.4538,0.61481,0.35851,0.86853,0.00106966,0.00106966,0.00106966
129,5403.97,0.50827,0.8779,0.37224,0.92198,0.92596,0.98889,0.98167,0.89564,0.92596,0.98889,0.98167,0.83838,0.4434,0.58764,0.31692,0.85843,0.00106683,0.00106683,0.00106683
130,5445.77,0.50551,0.89855,0.3664,0.92226,0.93026,0.9854,0.97871,0.89734,0.93026,0.9854,0.97871,0.86077,0.45014,0.6287,0.32045,0.86593,0.001064,0.001064,0.001064
