recording_a,recording_b,session_a,session_b,geometric_match_inliers,geometric_match_inlier_ratio,background_colour_similarity,camera_intrinsics_same,resolution_same,lighting_a,lighting_b,provenance_relation,automatic_grade
REC_017,REC_020,data/pallet/raw_data/night/capturenight10,data/pallet/raw_data/night/capturenight03,51,0.7391,0.9239,False,True,night,night,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_027,REC_045,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/outside/capturepallet04,51,0.5667,0.5952,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_029,REC_040,data/pallet/raw_data/night/capturenight07,data/pallet/raw_data/outside/capturepallet03,51,0.7969,0.3885,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_029,REC_045,data/pallet/raw_data/night/capturenight07,data/pallet/raw_data/outside/capturepallet04,51,0.6,0.4822,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_020,REC_023,data/pallet/raw_data/night/capturenight03,data/pallet/raw_data/night/capturenight04,48,0.75,0.663,False,True,night,night,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_029,REC_033,data/pallet/raw_data/night/capturenight07,data/pallet/raw_data/night/capturenight05,48,0.64,0.9009,False,True,night,night,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_033,REC_038,data/pallet/raw_data/night/capturenight05,data/pallet/raw_data/outside/capturepallet02,48,0.7869,0.3383,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_012,REC_021,data/pallet/raw_data/outside/capturepallet08,data/pallet/raw_data/outside/capturepalletcad,46,0.6667,0.6208,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_021,REC_045,data/pallet/raw_data/outside/capturepalletcad,data/pallet/raw_data/outside/capturepallet04,46,0.6667,0.5599,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_021,REC_041,data/pallet/raw_data/outside/capturepalletcad,data/pallet/raw_data/outside/capturepallet05,44,0.6377,0.559,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_029,REC_031,data/pallet/raw_data/night/capturenight07,data/pallet/raw_data/capture03,43,0.5309,0.3292,False,True,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_024,REC_043,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/wood/selected/20260618_132917,42,0.8936,0.3899,False,False,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_024,REC_030,data/pallet/raw_data/night/capturenight02,challenge/data/01_real/_live_captures/handheld_20260902/sessions/capture_20260902_kimjihoon,41,0.5325,0.4677,False,True,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_027,REC_030,data/pallet/raw_data/night/capturenight08,challenge/data/01_real/_live_captures/handheld_20260902/sessions/capture_20260902_kimjihoon,40,0.4651,0.4392,False,True,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_029,REC_030,data/pallet/raw_data/night/capturenight07,challenge/data/01_real/_live_captures/handheld_20260902/sessions/capture_20260902_kimjihoon,40,0.4124,0.337,False,True,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_024,REC_040,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/outside/capturepallet03,37,0.5068,0.4177,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_033,REC_045,data/pallet/raw_data/night/capturenight05,data/pallet/raw_data/outside/capturepallet04,37,0.6066,0.3635,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_024,REC_041,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/outside/capturepallet05,36,0.4444,0.4575,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_024,REC_045,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/outside/capturepallet04,36,0.45,0.4501,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_033,REC_044,data/pallet/raw_data/night/capturenight05,data/pallet/raw_data/capture0403noapril,36,0.6316,0.3935,False,True,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_034,REC_043,data/pallet/raw_data/night/capturenight06,data/pallet/raw_data/wood/selected/20260618_132917,35,0.7778,0.4363,False,False,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_033,REC_043,data/pallet/raw_data/night/capturenight05,data/pallet/raw_data/wood/selected/20260618_132917,34,0.5667,0.3305,False,False,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_033,REC_041,data/pallet/raw_data/night/capturenight05,data/pallet/raw_data/outside/capturepallet05,33,0.6226,0.3792,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_022,REC_038,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/outside/capturepallet02,32,0.8889,0.4386,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_027,REC_043,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/wood/selected/20260618_132917,32,0.6957,0.2818,False,False,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_021,REC_028,data/pallet/raw_data/outside/capturepalletcad,data/pallet/raw_data/outside/capturepallet10,31,0.5962,0.4646,False,True,day,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_033,REC_040,data/pallet/raw_data/night/capturenight05,data/pallet/raw_data/outside/capturepallet03,31,0.6458,0.3274,False,True,night,day,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_022,REC_027,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/night/capturenight08,30,0.5357,0.8202,False,True,night,night,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_022,REC_031,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/capture03,30,0.566,0.2843,False,True,night,unknown,DISTINCT_RECORDING,LIKELY_SAME_SITE
REC_024,REC_031,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/capture03,29,0.4265,0.3689,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_012,REC_025,data/pallet/raw_data/outside/capturepallet08,data/pallet/raw_data/outside/capturepallet07,28,0.6829,0.6574,False,True,day,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_022,REC_041,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/outside/capturepallet05,27,0.8182,0.5124,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_022,REC_045,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/outside/capturepallet04,27,0.675,0.5253,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_029,REC_043,data/pallet/raw_data/night/capturenight07,data/pallet/raw_data/wood/selected/20260618_132917,27,0.54,0.216,False,False,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_017,REC_023,data/pallet/raw_data/night/capturenight10,data/pallet/raw_data/night/capturenight04,26,0.6842,0.6341,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_027,REC_033,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/night/capturenight05,25,0.4237,0.9113,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_005,REC_013,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_173507,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_174925,24,0.4528,0.8957,False,True,unknown,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_017,REC_043,data/pallet/raw_data/night/capturenight10,data/pallet/raw_data/wood/selected/20260618_132917,23,0.6389,0.3773,False,False,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_017,REC_044,data/pallet/raw_data/night/capturenight10,data/pallet/raw_data/capture0403noapril,23,0.5227,0.2776,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_022,REC_040,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/outside/capturepallet03,23,0.575,0.396,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_024,REC_034,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/night/capturenight06,23,0.377,0.9295,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_034,REC_044,data/pallet/raw_data/night/capturenight06,data/pallet/raw_data/capture0403noapril,23,0.5897,0.3544,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_024,REC_044,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/capture0403noapril,22,0.4681,0.334,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_008,REC_018,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_174342,data/pallet/raw_data/capture02,21,0.5526,0.4124,False,True,unknown,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_020,REC_034,data/pallet/raw_data/night/capturenight03,data/pallet/raw_data/night/capturenight06,21,0.4667,0.6576,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_024,REC_036,data/pallet/raw_data/night/capturenight02,data/pallet/raw_data/capture0403middle,21,0.4884,0.3588,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_005,REC_026,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_173507,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_174126,20,0.5714,0.9147,False,True,unknown,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_017,REC_018,data/pallet/raw_data/night/capturenight10,data/pallet/raw_data/capture02,20,0.4444,0.3488,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_022,REC_043,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/wood/selected/20260618_132917,20,0.5882,0.1843,False,False,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_028,REC_031,data/pallet/raw_data/outside/capturepallet10,data/pallet/raw_data/capture03,20,0.6667,0.3716,False,True,day,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_029,REC_034,data/pallet/raw_data/night/capturenight07,data/pallet/raw_data/night/capturenight06,20,0.6452,0.6294,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_034,REC_045,data/pallet/raw_data/night/capturenight06,data/pallet/raw_data/outside/capturepallet04,20,0.4545,0.2497,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_019,REC_024,data/pallet/raw_data/night/capturenight01,data/pallet/raw_data/night/capturenight02,19,0.413,0.9189,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_022,REC_024,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/night/capturenight02,19,0.4318,0.7217,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_034,REC_038,data/pallet/raw_data/night/capturenight06,data/pallet/raw_data/outside/capturepallet02,19,0.6129,0.2337,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_005,REC_008,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_173507,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_174342,18,0.4091,0.9094,False,True,unknown,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_020,REC_044,data/pallet/raw_data/night/capturenight03,data/pallet/raw_data/capture0403noapril,18,0.5455,0.3963,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_003,REC_004,challenge/data/01_real/_live_captures/handheld_20260902/sessions/capture_20260902,data/pallet/raw_data/negative_real_20260823,17,0.6538,0.5762,False,True,unknown,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_019,REC_034,data/pallet/raw_data/night/capturenight01,data/pallet/raw_data/night/capturenight06,17,0.5152,0.8904,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_022,REC_023,data/pallet/raw_data/night/capturenight09,data/pallet/raw_data/night/capturenight04,17,0.7083,0.2148,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_027,REC_028,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/outside/capturepallet10,17,0.4146,0.4754,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_007,REC_009,data/pallet/raw_data/outside/capturepallet09,data/pallet/raw_data/vdoframes,16,0.6154,0.4689,False,False,day,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_011,REC_013,data/pallet/raw_data/outside/capturepallet11,challenge/data/01_real/_live_captures/forklift_v4_20260901/sessions/forklift_v4_174925,16,0.6957,0.4704,False,True,day,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_017,REC_033,data/pallet/raw_data/night/capturenight10,data/pallet/raw_data/night/capturenight05,16,0.5517,0.7767,False,True,night,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_020,REC_043,data/pallet/raw_data/night/capturenight03,data/pallet/raw_data/wood/selected/20260618_132917,16,0.4324,0.2405,False,False,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_022,REC_030,data/pallet/raw_data/night/capturenight09,challenge/data/01_real/_live_captures/handheld_20260902/sessions/capture_20260902_kimjihoon,16,0.4571,0.3162,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_034,REC_040,data/pallet/raw_data/night/capturenight06,data/pallet/raw_data/outside/capturepallet03,16,0.3478,0.2331,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_038,REC_044,data/pallet/raw_data/outside/capturepallet02,data/pallet/raw_data/capture0403noapril,16,0.5714,0.3251,False,True,day,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_001,REC_011,data/evaluation/pallet_eval_v1/incoming/sessions/real_unlabeled_day_20260830,data/pallet/raw_data/outside/capturepallet11,15,0.75,0.7379,False,True,day,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_007,REC_025,data/pallet/raw_data/outside/capturepallet09,data/pallet/raw_data/outside/capturepallet07,15,0.5357,0.7063,False,True,day,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_015,REC_034,data/pallet/raw_data/outside/forklift_raw_20260528,data/pallet/raw_data/night/capturenight06,15,0.5172,0.3074,False,True,day,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_017,REC_031,data/pallet/raw_data/night/capturenight10,data/pallet/raw_data/capture03,15,0.3061,0.3057,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_027,REC_044,data/pallet/raw_data/night/capturenight08,data/pallet/raw_data/capture0403noapril,15,0.3947,0.3347,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_034,REC_041,data/pallet/raw_data/night/capturenight06,data/pallet/raw_data/outside/capturepallet05,15,0.3409,0.2343,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_007,REC_018,data/pallet/raw_data/outside/capturepallet09,data/pallet/raw_data/capture02,14,0.5185,0.7278,False,True,day,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_007,REC_021,data/pallet/raw_data/outside/capturepallet09,data/pallet/raw_data/outside/capturepalletcad,14,0.2917,0.8031,False,True,day,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_012,REC_017,data/pallet/raw_data/outside/capturepallet08,data/pallet/raw_data/night/capturenight10,14,0.7,0.3054,False,True,day,night,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_017,REC_045,data/pallet/raw_data/night/capturenight10,data/pallet/raw_data/outside/capturepallet04,14,0.2917,0.3113,False,True,night,day,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
REC_020,REC_031,data/pallet/raw_data/night/capturenight03,data/pallet/raw_data/capture03,14,0.4516,0.3812,False,True,night,unknown,DISTINCT_RECORDING,POSSIBLE_SAME_SITE
