image_id,group,domain,set,final_rank,class_score,iou,level,src_y,src_x,flat,box,kp_median,kp_p90,kp8_median
G__f0335,S+,SYNTH,,0,0.9794101715087891,0.9821010419505057,P5,7,9,5349,"[327.48858642578125, 262.9041748046875, 870.0484619140625, 612.2424926757812]",1.545119670680622,2.229203314228482,1.5969856688872741
G__f0337,S+,SYNTH,,0,0.9320483803749084,0.9100115960327473,P4,9,25,4545,"[633.02978515625, 258.17132568359375, 815.9468994140625, 314.5495910644531]",3.2030272296847113,5.3612708366648025,3.3565852074777593
G__f0338,S+,SYNTH,,0,0.960903525352478,0.9499522187344198,P5,11,4,7024,"[105.81299591064453, 378.5088806152344, 289.3743896484375, 565.2879028320312]",3.293061754239508,5.160016548001657,3.477663499343482
G__f0348,S+,SYNTH,,0,0.8952692151069641,0.8804745709419235,P5,5,9,8109,"[183.3533935546875, 96.24046325683594, 514.27587890625, 319.72845458984375]",6.25732372979798,21.54858019504801,5.915591678789259
G__f0349,S+,SYNTH,,0,0.9785279631614685,0.9817957436271475,P5,12,9,7049,"[314.4873352050781, 420.4122314453125, 513.1964111328125, 592.0421752929688]",1.5719827984117167,3.052816754998751,1.5793463362149587
G__f0421,S+,SYNTH,,0,0.9705872535705566,0.9642909668767976,P4,12,20,4660,"[522.60986328125, 329.4735107421875, 636.8238525390625, 414.7439880371094]",1.3660736596184506,1.8495343244919051,1.4274061584741373
G__f0453,S+,SYNTH,,0,0.9819577932357788,0.9835474006720314,P5,8,13,6973,"[394.8091125488281, 189.4224090576172, 766.5604858398438, 524.1259155273438]",2.9485276838349987,4.620196150530944,3.301968373648314
G__f0462,S+,SYNTH,,0,0.9644245505332947,0.9746595646120744,P5,5,15,6915,"[572.2196655273438, 166.7283172607422, 749.00244140625, 247.15542602539062]",1.8293688819117706,2.881897034960664,2.025743206298815
G__f0482,S+,SYNTH,,0,0.9632301926612854,0.9670703241957249,P5,9,14,6994,"[547.758544921875, 336.79052734375, 754.1893310546875, 407.6537780761719]",0.8089726600711912,2.608128861375765,0.8526448578540828
G__f0490,S+,SYNTH,,0,0.9695380330085754,0.9543016968197443,P5,7,9,6149,"[398.4918212890625, 282.47308349609375, 519.7525634765625, 401.6344299316406]",1.5908773274078651,3.7988503365908737,1.5498451881463848
G__f0491,S+,SYNTH,,0,0.953206479549408,0.9577132125051974,P4,14,13,4733,"[302.7734680175781, 381.67889404296875, 429.8908386230469, 447.14703369140625]",1.5169430029094377,2.5570325237736764,1.5870473801855813
G__f0492,S+,SYNTH,,0,0.9628115296363831,0.962249074130128,P5,7,7,5347,"[241.95040893554688, 331.335205078125, 596.5125122070312, 616.91796875]",7.03214581365867,15.57106050239674,7.421948827207159
G__f0538,S+,SYNTH,,0,0.9590781927108765,0.7674771164263501,P5,8,9,6969,"[231.98388671875, 241.72442626953125, 555.4271240234375, 460.868896484375]",12.115336600466248,37.58586365815904,11.429937641703365
G__f0548,S+,SYNTH,,0,0.9545685648918152,0.9761721469914322,P5,5,7,5307,"[334.23175048828125, 258.5496826171875, 505.1997985839844, 387.8277893066406]",2.3653752290536176,3.1434583429414387,2.6101450372672295
G__f0553,S+,SYNTH,,0,0.9762839078903198,0.9845721627222059,P5,7,9,6949,"[278.0045471191406, 147.34962463378906, 594.7821655273438, 444.05596923828125]",3.3341346373863674,6.555023412556387,3.922156137777123
G__f0569,S+,SYNTH,,0,0.8207133412361145,0.9374549445639236,P5,8,12,6972,"[297.72833251953125, 279.8380432128906, 730.9993896484375, 516.4691772460938]",12.528186771736763,936.175115128707,15.602575588774716
G__f0586,S+,SYNTH,,0,0.9618863463401794,0.9233457658480924,P4,16,20,6100,"[390.0509948730469, 302.2139587402344, 447.94647216796875, 374.7525634765625]",1.768994364093288,2.942243257760054,1.7154752086908927
G__f0588,S+,SYNTH,,0,0.7667118310928345,0.8443846564027424,P4,18,25,6185,"[492.82000732421875, 341.7283630371094, 575.83203125, 401.7146911621094]",2.6992582795544036,5.3456446718484845,3.0361546162849535
G__f0591,S+,SYNTH,,0,0.9435757994651794,0.8456984153787888,P4,10,20,4580,"[511.9806823730469, 272.7401123046875, 651.8945922851562, 343.1033935546875]",3.7919152669184535,14.216950634716154,3.5967031262608398
G__f0622,S+,SYNTH,,0,0.4544176459312439,0.9536820065230042,P5,8,4,6964,"[12.263792037963867, 311.2220458984375, 341.7120666503906, 442.98895263671875]",6.658367006634258,15.455016164523485,6.013533881612703
G__f0626,S+,SYNTH,,0,0.9689121842384338,0.9721748573063355,P5,9,9,8189,"[330.3383483886719, 317.1529541015625, 425.816162109375, 443.9353332519531]",1.1851758112005262,2.1099626099677944,1.3709148954672437
G__f0717,S+,SYNTH,,0,0.90718674659729,0.8150608373201093,P5,2,9,6049,"[362.9593200683594, 85.76659393310547, 572.2879028320312, 145.57781982421875]",5.036198471807022,11.252747124620216,5.518915612925703
G__f0725,S+,SYNTH,,0,0.9368794560432434,0.9217231487314723,P5,4,9,5289,"[499.89892578125, 210.83013916015625, 646.4974365234375, 297.02886962890625]",3.425346233495681,8.12656262153973,2.6395972223667385
G__f0747,S+,SYNTH,,0,0.9550663232803345,0.9714318237075106,P5,4,6,5286,"[77.07793426513672, 171.5817413330078, 683.0086059570312, 376.6982727050781]",7.723044561486981,13.861433479388461,7.673972054471224
G__f0748,S+,SYNTH,,0,0.7851322889328003,0.8931058214785291,P4,21,10,5010,"[206.92388916015625, 588.0767822265625, 371.04327392578125, 637.8975219726562]",5.81342207438882,13.559188585638552,5.208285004471946
G__f0757,S+,SYNTH,,0,0.9708776473999023,0.9814508387134259,P5,3,9,6069,"[243.7614288330078, 89.36668395996094, 665.6531372070312, 306.5216369628906]",3.703696417580582,5.942360539888308,4.088471218674912
G__f0796,S+,SYNTH,,0,0.9669104814529419,0.9643284842997956,P5,11,9,6229,"[338.6142883300781, 480.397216796875, 607.4902954101562, 618.0951538085938]",3.2383598902439785,4.861607367327699,3.677254997443357
G__f0839,S+,SYNTH,,0,0.9448468089103699,0.9362632942091249,P5,7,12,6152,"[519.8671875, 286.1186828613281, 644.478271484375, 414.9001159667969]",1.411527576602416,5.4014266120825924,1.867481450438842
G__f0868,S+,SYNTH,,0,0.9692725539207458,0.9840003814569739,P5,9,9,8189,"[314.1531066894531, 329.3734130859375, 447.0332336425781, 441.7882385253906]",56.32101562919064,68.09594257181227,59.16090651151968
G__f0893,S+,SYNTH,,0,0.9600805640220642,0.9927054570908133,P5,12,14,7054,"[505.50628662109375, 461.848388671875, 740.8700561523438, 577.5858764648438]",1.8252065576402179,3.465067850730196,2.360182761086949
G__f0904,S+,SYNTH,,0,0.953787088394165,0.9671024723582339,P5,9,14,6994,"[499.1600036621094, 322.3668212890625, 769.3238525390625, 465.4516906738281]",1.4363413369654854,2.320162761039557,1.6634428402050951
G__f0912,S+,SYNTH,,0,0.9496733546257019,0.9627743574159425,P4,19,20,7180,"[351.6695251464844, 360.0893249511719, 409.4944763183594, 400.78802490234375]",0.9731371953982885,1.7378745637044837,1.0768282921697765
G__f0916,S+,SYNTH,,2,0.11310440301895142,0.6143682926774915,P3,33,26,2666,"[248.3816680908203, 334.3316650390625, 312.42401123046875, 345.891845703125]",7.390755224367011,23.935840987176345,12.65587470194875
G__f0953,S+,SYNTH,,0,0.9287566542625427,0.9349124347183394,P4,13,20,5980,"[391.596923828125, 253.21177673339844, 449.5930480957031, 283.16339111328125]",0.8520061386046235,1.4602036656894746,0.9514204951027181
G__f0962,S+,SYNTH,,0,0.9752687215805054,0.9921749835345733,P5,7,6,5346,"[112.38616943359375, 318.8629150390625, 549.0923461914062, 563.509033203125]",2.015190050585458,3.312279586274814,2.0558270761843374
G__f0973,S+,SYNTH,,0,0.9655353426933289,0.9550237970743914,P5,9,6,6986,"[234.5616455078125, 349.96453857421875, 351.8604736328125, 437.40301513671875]",1.5018666054147691,3.1515863839296583,1.804286341936154
G__f0975,S+,SYNTH,,0,0.9246817231178284,0.9442650621982555,P4,14,20,4740,"[534.5422973632812, 389.6077880859375, 618.5469360351562, 479.7330322265625]",1.6835744639362966,4.135945337636051,1.9627003007124078
G__f0988,S+,SYNTH,,0,0.9491506814956665,0.9523972312700278,P5,9,15,6995,"[544.1165161132812, 343.2912902832031, 759.6832885742188, 409.6288146972656]",2.9560872265465354,5.164864866554287,3.65142968272691
G__f10025,S+,SYNTH,,0,0.9837231636047363,0.9765968867676741,P5,5,12,5312,"[591.2096557617188, 217.9123077392578, 875.0345458984375, 455.62408447265625]",1.485400153652649,2.9521234731251242,1.533277369300606
G__f10089,S+,SYNTH,,0,0.8887806534767151,0.8464703067155637,P4,4,19,4339,"[460.1248779296875, 97.55680847167969, 700.4219360351562, 136.6932830810547]",1.1963863920806879,3.5622056484632583,1.6152144845211196
G__f10093,S+,SYNTH,,0,0.9523643255233765,0.9722252992233079,P5,7,12,6152,"[390.19732666015625, 161.6882781982422, 839.1480102539062, 549.7207641601562]",3.8764543367598345,6.91703492343518,4.916185141894045
G__f10099,S+,SYNTH,,0,0.9725645780563354,0.9865627139836439,P5,8,9,6969,"[172.57958984375, 150.62619018554688, 625.9912719726562, 591.8966674804688]",3.918877674474116,8.730336258954251,4.187765139888008
G__f10125,S+,SYNTH,,0,0.09824851155281067,0.7025742977343715,P3,30,39,2439,"[416.83941650390625, 335.71539306640625, 492.9446105957031, 348.03192138671875]",33.0593961742002,39.54029713321719,33.653660520252394
G__f10140,S+,SYNTH,,0,0.9192676544189453,0.9726712117070315,P4,21,20,5020,"[506.5791931152344, 580.161865234375, 650.9447021484375, 660.6366577148438]",0.9299929158665473,2.4430142308220866,1.1313517186025115
G__f10151,S+,SYNTH,,0,0.9700224995613098,0.9745805380210154,P5,8,9,6169,"[382.5764465332031, 313.939208984375, 533.6900634765625, 466.3744201660156]",0.8048499647028066,1.6490123165201414,0.8476123871295226
G__f10197,S+,SYNTH,,0,0.9689141511917114,0.9582179500967353,P4,16,20,6100,"[385.0740661621094, 308.3233337402344, 451.7372741699219, 373.664306640625]",0.6703412714476634,1.409327149336941,0.7090283572544939
G__f10209,S+,SYNTH,,0,0.9635507464408875,0.9755246665594499,P4,22,23,7303,"[402.489013671875, 398.78668212890625, 465.4812316894531, 457.4095764160156]",1.080943569114474,2.1944127442580084,1.1467257518309861
G__f10213,S+,SYNTH,,0,0.9567866921424866,0.9881649938423277,P5,7,11,5351,"[575.5699462890625, 413.2330322265625, 772.2676391601562, 498.8580322265625]",2.8557978526354004,3.5311025022098743,3.0454336443048042
G__f10215,S+,SYNTH,,0,0.8868347406387329,0.9072643380772946,P4,21,20,5660,"[412.9367370605469, 462.7178039550781, 503.0115661621094, 523.4697265625]",2.9199833647806064,5.150284124988272,3.5578205515989705
G__f10263,S+,SYNTH,,0,0.9712005853652954,0.9896397297959886,P5,8,9,6969,"[281.927001953125, 248.04461669921875, 564.9036865234375, 462.3026428222656]",3.147595406324245,7.244767053647622,3.5050047810431444
G__f10285,S+,SYNTH,,0,0.9673324227333069,0.9798944401405535,P5,8,11,6171,"[271.4762878417969, 258.2978210449219, 819.9251098632812, 626.42578125]",5.554695346617447,6.5153005810421565,5.723619459021331
G__f10328,S+,SYNTH,,0,0.9751706123352051,0.9885350852099164,P5,10,9,7009,"[286.17578125, 312.171142578125, 557.455078125, 546.4575805664062]",1.9068329083835827,2.373778808099774,2.0950036654918733
G__f10338,S+,SYNTH,,0,0.9547496438026428,0.9561123182927787,P5,9,9,8189,"[303.6930236816406, 327.01806640625, 455.55780029296875, 442.0033874511719]",1.591131720616133,3.9770252723831327,1.9147417219182454
G__f10347,S+,SYNTH,,0,0.9749311804771423,0.9744218456539108,P5,6,7,5327,"[299.4297790527344, 229.03607177734375, 560.732421875, 526.3926391601562]",4.946348343740712,11.723250490710143,4.922032963827868
G__f10348,S+,SYNTH,,0,0.9758530855178833,0.9778710204301921,P5,9,9,8189,"[284.57757568359375, 285.60260009765625, 481.4429016113281, 484.1913757324219]",1.893207847428256,2.8413190185694024,2.2515006525920787
G__f10349,S+,SYNTH,,0,0.8998616933822632,0.9762002573462764,P4,21,11,5011,"[259.2037048339844, 574.1911010742188, 395.8939208984375, 653.1312255859375]",1.337613820142396,2.5786287497611426,1.3083540026251494
G__f10365,S+,SYNTH,,0,0.9654619097709656,0.9767219108195088,P5,11,4,7024,"[87.2325210571289, 357.8801574707031, 313.74053955078125, 563.3084106445312]",1.636692781884785,2.494212937299634,1.8232119799024245
G__f10372,S+,SYNTH,,0,0.6105419397354126,0.6013582666244374,P4,5,20,5660,"[396.0749206542969, 89.63610076904297, 460.8257751464844, 114.1592025756836]",8.921063694348776,25.212595878715128,8.851835127217104
G__f1041,S+,SYNTH,,0,0.5740582942962646,0.669051618297347,P5,14,13,8293,"[445.4970703125, 505.9385986328125, 654.5275268554688, 644.8232421875]",27.177754377927172,82.76930215023474,22.834371859498344
G__f10451,S+,SYNTH,,0,0.9605121612548828,0.9395125033261249,P5,11,9,7029,"[326.78558349609375, 425.4778747558594, 509.2107849121094, 563.0098266601562]",2.5094375914458933,2.9646066374253954,2.5146659953302484
G__f10456,S+,SYNTH,,0,0.9766388535499573,0.9871759000188769,P5,11,6,7026,"[163.900390625, 391.60614013671875, 352.834228515625, 585.7339477539062]",2.145083221065219,3.381704396389243,2.259669076643303
G__f10467,S+,SYNTH,,0,0.9551087021827698,0.8843099260455192,P5,10,9,8209,"[144.2505340576172, 293.550537109375, 621.43212890625, 510.3424072265625]",9.825693749762491,22.14211068912972,10.535139615371063
G__f10485,S+,SYNTH,,0,0.949716329574585,0.9831001181601545,P5,4,9,6889,"[333.50372314453125, 106.3883056640625, 502.60687255859375, 253.49618530273438]",1.4486516859336978,2.16187300319025,1.5416335795957234
G__f10492,S+,SYNTH,,0,0.980805516242981,0.9878937696457404,P5,9,6,6986,"[129.56732177734375, 280.95196533203125, 430.0406494140625, 544.5267333984375]",2.3990942880844757,3.6257585889462023,2.5823315111653837
G__f10501,S+,SYNTH,,0,0.7922976016998291,0.891748909674456,P5,10,6,5406,"[348.3135681152344, 519.05322265625, 453.3922424316406, 631.4332885742188]",1.4919641070381053,10.793867791364544,2.313341151184181
G__f1053,S+,SYNTH,,0,0.9690642952919006,0.9736168862725528,P5,7,7,6947,"[278.2336120605469, 270.55902099609375, 387.8182678222656, 355.3918151855469]",1.2721295997123288,3.2022092403198266,1.3812983704953292
G__f1055,S+,SYNTH,,0,0.5946958661079407,0.6350467070298036,P5,9,14,6994,"[414.40753173828125, 286.51202392578125, 838.2078247070312, 521.8358764648438]",8.507343202815079,912.9426830319503,13.500902580137021
G__f10555,S+,SYNTH,,0,0.9294217824935913,0.9173955802620034,P5,6,13,5333,"[617.5038452148438, 344.3899841308594, 1112.8067626953125, 432.8782653808594]",4.772528436359431,9.646947453788227,5.525322821293733
G__f10594,S+,SYNTH,,0,0.9557968974113464,0.9557998000858449,P5,8,9,8169,"[342.06903076171875, 295.5382385253906, 418.59197998046875, 370.95050048828125]",1.3218218619559625,1.7177710919605798,1.3242819988539352
G__f10611,S+,SYNTH,,0,0.9424611330032349,0.980190739970547,P5,9,4,6984,"[92.74708557128906, 350.34954833984375, 258.8834228515625, 447.26611328125]",1.3680173278610481,2.357685753752739,1.4287750444574394
G__f10638,S+,SYNTH,,0,0.912348747253418,0.9769160354907094,P5,8,14,6974,"[454.99554443359375, 193.16961669921875, 766.2772216796875, 501.63275146484375]",4.823334118014402,8.386275977443917,4.106872129819437
G__f10673,S+,SYNTH,,0,0.8786449432373047,0.9556056211101247,P4,12,24,4664,"[637.3648071289062, 334.26629638671875, 753.9564819335938, 395.8259582519531]",2.8493248172205705,3.616587172074077,2.89389818038984
G__f10682,S+,SYNTH,,0,0.9661310911178589,0.9812751531315237,P5,6,10,6930,"[272.6573486328125, 183.57286071777344, 647.2969970703125, 387.7281494140625]",4.959968547761286,12.159711609952634,4.066336101975141
G__f10686,S+,SYNTH,,0,0.9655205011367798,0.973882772897773,P4,16,20,6100,"[379.9871826171875, 307.0675964355469, 457.7524719238281, 373.2465515136719]",0.528058183276015,0.8838075942057768,0.5245368093270127
G__f10724,S+,SYNTH,,0,0.9646803736686707,0.9857483591971847,P5,7,9,6949,"[367.765869140625, 248.31312561035156, 473.5643615722656, 324.78521728515625]",0.5234496187565556,1.1239645654829522,0.6266944183823087
G__f10745,S+,SYNTH,,0,0.961553692817688,0.9598576319180617,P5,8,9,6969,"[340.3507080078125, 300.4413757324219, 511.3655090332031, 391.46240234375]",1.718431067148913,2.7552971842688265,1.618515682002152
G__f10771,S+,SYNTH,,0,0.8781750202178955,0.954581218254948,P5,9,15,6995,"[542.3140869140625, 329.7266540527344, 787.3507690429688, 410.4970397949219]",110.96387934821932,141.59364360401455,114.96517762267564
G__f1079,S+,SYNTH,,0,0.9722316265106201,0.9791601945179577,P5,9,9,6989,"[218.1908721923828, 183.9165802001953, 667.6181640625, 635.071044921875]",3.5063509511620707,6.836534376924035,3.6904735081967655
G__f10793,S+,SYNTH,,0,0.9316093921661377,0.9036609477618804,P4,11,14,4614,"[368.5828552246094, 285.0216979980469, 463.24957275390625, 364.55267333984375]",1.873300609681186,2.711378325364103,1.8851643852143094
G__f10806,S+,SYNTH,,0,0.25551924109458923,0.5386003131850432,P5,8,7,6967,"[167.07542419433594, 317.5674133300781, 365.0776062011719, 406.9989318847656]",8.534125887422697,40.039965202112775,8.919870728477454
G__f10813,S+,SYNTH,,0,0.941118597984314,0.934430756013941,P5,3,9,6869,"[336.6413879394531, 91.37358093261719, 492.5870056152344, 166.5564422607422]",4.556078644404494,9.81827264083185,5.50598496084689
G__f10833,S+,SYNTH,,0,0.9472282528877258,0.9421505528142723,P5,6,9,5329,"[509.70294189453125, 314.932373046875, 654.0034790039062, 427.19427490234375]",1.9776891138044015,4.0242509980927865,2.1407204044839476
G__f10838,S+,SYNTH,,0,0.9807618260383606,0.9888674130055268,P5,8,9,6969,"[324.00152587890625, 258.52288818359375, 513.0487670898438, 430.0230407714844]",1.3487039069968736,3.3196052222271057,1.5800385403724753
G__f10917,S+,SYNTH,,0,0.9229729771614075,0.9283672920277994,P4,21,12,5652,"[244.57179260253906, 466.2183532714844, 337.5285339355469, 511.8685302734375]",2.553017272273864,3.4119472607407615,2.8195618715547583
G__f10921,S+,SYNTH,,0,0.9682886600494385,0.9631743883213683,P5,10,13,8213,"[371.8119201660156, 250.9143829345703, 685.0751342773438, 546.74951171875]",5.445509523225351,9.148693961755976,5.919016493035272
G__f10993,S+,SYNTH,,0,0.9650882482528687,0.972663156199694,P5,9,5,6985,"[40.26007843017578, 312.977783203125, 390.45916748046875, 496.67779541015625]",3.1649450124554535,8.857095040117844,3.105390800408765
G__f1100,S+,SYNTH,,0,0.9635087847709656,0.9392592970896966,P5,9,4,6984,"[75.91584777832031, 326.3589172363281, 320.83843994140625, 429.0823059082031]",2.8743233359669196,7.114202937827563,2.9901152791837777
G__f11018,S+,SYNTH,,0,0.9649384021759033,0.9914719618889971,P5,6,12,6132,"[501.05609130859375, 247.4430694580078, 638.6987915039062, 328.6697998046875]",1.346124846688025,2.310082708869214,1.4336937023240766
G__f11022,S+,SYNTH,,0,0.9765074253082275,0.9878269039218006,P5,8,12,6972,"[373.0890197753906, 228.82061767578125, 688.8663940429688, 477.1144104003906]",2.1627726225242534,4.4860225691726585,2.3648043946506268
G__f11070,S+,SYNTH,,0,0.9694231152534485,0.9633063946986103,P5,11,12,7032,"[438.8611755371094, 407.3450012207031, 642.1910400390625, 570.6018676757812]",5.307092576467386,252.77944462744793,122.00691296610854
G__f11072,S+,SYNTH,,0,0.9786970615386963,0.9799252076709674,P5,8,9,6969,"[226.3601837158203, 224.5989532470703, 637.73486328125, 480.75299072265625]",3.3123813328655944,5.564223648513837,3.4402595961269755
G__f11077,S+,SYNTH,,0,0.9727964997291565,0.9719140611243935,P5,7,14,5354,"[703.8961791992188, 360.6286926269531, 1061.80712890625, 540.3359375]",1.928000614988719,4.1158367310377555,2.005079460647556
G__f11096,S+,SYNTH,,0,0.9519959092140198,0.9849888785027906,P4,13,26,4706,"[705.1536865234375, 364.8222961425781, 828.7678833007812, 421.0948486328125]",1.3397122618326658,3.144896971318201,1.6591316961022677
G__f11129,S+,SYNTH,,0,0.9852970242500305,0.9748746219627964,P5,8,9,6969,"[305.8470153808594, 247.00405883789062, 562.6515502929688, 467.5075988769531]",1.2051842096219563,2.9341069672935873,1.7853314540407241
G__f11133,S+,SYNTH,,0,0.9395625591278076,0.9570013739716445,P4,14,20,5380,"[391.19580078125, 318.925537109375, 532.4335327148438, 366.8497619628906]",2.372700918696453,2.6458792442393513,2.425059878695035
G__f11175,S+,SYNTH,,0,0.9613071084022522,0.9440171389788169,P4,16,20,6100,"[383.4905700683594, 309.7998046875, 457.2576904296875, 373.49853515625]",1.5003691732060815,2.4504778396706715,1.5744322188425757
G__f11201,S+,SYNTH,,0,0.9772271513938904,0.991180800289206,P5,8,9,6969,"[324.6279296875, 258.41351318359375, 526.5650024414062, 429.8746337890625]",1.5911773209383504,3.2470647989295736,1.8945204288059765
G__f11268,S+,SYNTH,,0,0.8921993374824524,0.8596933663237615,P5,6,6,6126,"[261.9668884277344, 257.1549072265625, 345.5857849121094, 352.6354675292969]",2.9432766366628513,7.442487151016813,4.905444128844288
G__f11295,S+,SYNTH,,0,0.5199291110038757,0.8894437328073865,P5,10,15,8215,"[518.6632080078125, 376.2586669921875, 683.5546875, 413.70172119140625]",3.004276544824762,6.260247578527008,3.358083894399239
G__f11296,S+,SYNTH,,0,0.9703244566917419,0.9720917562239181,P5,9,9,8189,"[269.1182556152344, 292.9843444824219, 484.1275939941406, 479.04833984375]",1.4570888653638376,2.88367559731585,1.6773057309445543
G__f11314,S+,SYNTH,,0,0.9537481665611267,0.9435651164318735,P5,4,14,5294,"[673.1181030273438, 167.0666961669922, 1066.42333984375, 377.0782165527344]",4.960198408429172,8.927008954073594,5.47683668664039
G__f11315,S+,SYNTH,,0,0.977200984954834,0.9792018572957168,P5,8,9,8169,"[300.1477355957031, 260.8332824707031, 464.9601135253906, 391.9486999511719]",1.4315326938014135,1.9796290071890537,1.5092456989177139
G__f11321,S+,SYNTH,,0,0.9660763144493103,0.9824611605501454,P5,3,9,6869,"[280.9156494140625, 89.83018493652344, 538.2293701171875, 229.96417236328125]",1.7846039807792136,5.179067365784586,1.8686094966196445
G__f11345,S+,SYNTH,,0,0.8963513374328613,0.9572374192521474,P5,12,14,7054,"[496.12371826171875, 404.65155029296875, 694.9426879882812, 605.3819580078125]",2.1953497564369826,3.875238309279842,2.4689655606563035
G__f11350,S+,SYNTH,,0,0.9252380728721619,0.9020024790543146,P4,13,20,5980,"[387.3796691894531, 243.46548461914062, 453.7145690917969, 296.02288818359375]",2.265653086443021,3.7777181036996454,2.47458256845999
G__f11370,S+,SYNTH,,0,0.8262037038803101,0.9294173529183049,P5,11,11,7031,"[451.05548095703125, 434.2531433105469, 536.8577880859375, 523.6534423828125]",3.05906408927069,4.36424527127707,3.3295141873438565
G__f11376,S+,SYNTH,,0,0.9474301338195801,0.8314955196383202,P5,8,9,6969,"[304.8778991699219, 282.92376708984375, 527.9178466796875, 434.5568542480469]",16.068228934874774,41.68275477775973,11.581040448288372
G__f11409,S+,SYNTH,,0,0.810954213142395,0.822283096352239,P4,17,31,6151,"[573.3892822265625, 333.41796875, 761.1943969726562, 360.35736083984375]",11.599267259341042,19.147009311915845,8.290713307802907
G__f1142,S+,SYNTH,,0,0.959113597869873,0.9120215231241071,P5,8,15,5375,"[724.6710815429688, 394.89019775390625, 1071.725830078125, 620.8355712890625]",8.911940991750397,20.974135901338695,9.068650993605445
G__f11447,S+,SYNTH,,0,0.9660921692848206,0.984392785973333,P5,12,13,7053,"[499.81329345703125, 455.0314636230469, 686.4935913085938, 580.3839111328125]",2.5461703792895745,4.0165493018659495,2.672691299218328
