frame_id,condition,box_conf,s_reproj,s_remove,s_flip,q_box_conf,q_s_reproj,q_s_remove,q_s_flip,R_kp_frame,R_frame_geom,R_total,v3_exposures,v5_exposures
1778654522121471744.png,daytime,0.877450,0.011934,0.018087,0.010984,0.126016,0.410569,0.402439,0.532520,0.432394,0.324498,0.374581,3,2
1778654525682819328.png,daytime,0.925662,0.009830,0.015938,0.026120,0.621951,0.565041,0.532520,0.044715,0.269195,0.302453,0.285339,2,2
1778654525750113536.png,daytime,0.875668,0.009344,0.014907,0.033766,0.117886,0.638211,0.597561,0.020325,0.223319,0.173865,0.197047,3,2
1778654525985237504.png,daytime,0.892754,0.010867,0.017702,0.026767,0.223577,0.467480,0.426829,0.036585,0.293865,0.200996,0.243034,2,2
1778654526052173824.png,daytime,0.880933,0.012057,0.019593,0.020492,0.166667,0.402439,0.345528,0.109756,0.288848,0.224577,0.254693,2,2
1778654528101827072.png,daytime,0.899872,0.010059,0.017752,0.042417,0.329268,0.548780,0.418699,0.004065,0.195821,0.132428,0.161034,2,2
1778654528169094656.png,daytime,0.910934,0.009339,0.014943,0.020175,0.418699,0.646341,0.589431,0.142276,0.371490,0.388135,0.379721,2,2
1778654529076072448.png,daytime,0.886041,0.007556,0.011986,0.010620,0.182927,0.768293,0.752033,0.548780,0.460182,0.490749,0.475220,3,3
1778654530722293504.png,daytime,0.872330,0.008108,0.013416,0.018735,0.101626,0.735772,0.695122,0.182927,0.438814,0.312264,0.370170,3,2
1778654530890275840.png,daytime,0.894196,0.007805,0.012279,0.016310,0.239837,0.743902,0.735772,0.256098,0.516378,0.428199,0.470226,3,3
1778654531394617600.png,daytime,0.896428,0.007437,0.011507,0.014290,0.288618,0.792683,0.768293,0.345528,0.516043,0.496430,0.506142,2,3
1778654532368476928.png,daytime,0.894489,0.008802,0.013566,0.018256,0.256098,0.670732,0.686992,0.199187,0.402469,0.391554,0.396974,2,3
1778654532435757056.png,daytime,0.864091,0.007020,0.011350,0.008597,0.069106,0.800813,0.784553,0.654472,0.529241,0.410572,0.466145,3,3
1778654533712330240.png,daytime,0.914144,0.008725,0.014281,0.011372,0.459350,0.678862,0.654472,0.500000,0.466597,0.565192,0.513534,3,3
1778654534652969472.png,daytime,0.878986,0.006473,0.009618,0.007724,0.150407,0.825203,0.849593,0.711382,0.597981,0.523342,0.559418,3,3
1778654534720161024.png,daytime,0.868760,0.007690,0.012447,0.007087,0.093496,0.752033,0.727642,0.760163,0.475237,0.444082,0.459396,3,3
1778654535324923136.png,daytime,0.851163,0.010746,0.016737,0.011990,0.012195,0.483740,0.491870,0.467480,0.443987,0.191912,0.291902,2,2
1778654535560160768.png,daytime,0.921414,0.008692,0.014400,0.012073,0.548780,0.711382,0.646341,0.451220,0.410493,0.580882,0.488312,3,3
1778654535828916480.png,daytime,0.913047,0.009590,0.014866,0.018792,0.443089,0.613821,0.605691,0.166667,0.381905,0.407060,0.394282,3,3
1778654535896213248.png,daytime,0.872984,0.008944,0.014596,0.004289,0.109756,0.662602,0.621951,0.939024,0.442135,0.453971,0.448014,3,3
1778654536064174080.png,daytime,0.878211,0.011651,0.019385,0.004882,0.134146,0.418699,0.353659,0.930894,0.385358,0.368758,0.376966,2,2
1778654537475148032.png,daytime,0.918300,0.018733,0.032425,0.006465,0.516260,0.174797,0.101626,0.857724,0.276754,0.297810,0.287089,3,2
1778654537677035520.png,daytime,0.927100,0.018912,0.032399,0.018773,0.646341,0.166667,0.109756,0.174797,0.233698,0.213215,0.223222,3,2
1778654537979236096.png,daytime,0.916468,0.016355,0.028166,0.006784,0.500000,0.272358,0.191057,0.784553,0.252798,0.377984,0.309117,3,2
1778654538483679232.png,daytime,0.908866,0.017709,0.030673,0.018045,0.410569,0.231707,0.134146,0.223577,0.230686,0.231118,0.230902,3,2
1778654539423680512.png,daytime,0.930784,0.011513,0.018602,0.007189,0.719512,0.434959,0.369919,0.727642,0.464929,0.538738,0.500475,2,3
1778654539490998016.png,daytime,0.935505,0.013128,0.021169,0.012412,0.792683,0.378049,0.313008,0.434959,0.369188,0.449431,0.407338,3,3
1778654540230129152.png,daytime,0.897595,0.009708,0.015506,0.023026,0.304878,0.589431,0.573171,0.069106,0.320875,0.290462,0.305290,3,2
1778654540364552704.png,daytime,0.925355,0.008411,0.013398,0.016627,0.605691,0.719512,0.703252,0.239837,0.398265,0.520690,0.455382,2,3
1778654540767799296.png,daytime,0.927716,0.008717,0.013982,0.010770,0.654472,0.695122,0.670732,0.540650,0.418886,0.637315,0.516684,3,3
1778654540834956032.png,daytime,0.933983,0.011040,0.016956,0.016208,0.760163,0.451220,0.475610,0.264228,0.335854,0.455649,0.391193,3,3
1778654540969645568.png,daytime,0.934921,0.010496,0.016712,0.012561,0.776423,0.491870,0.500000,0.418699,0.411591,0.531747,0.467827,3,3
1778654541271995136.png,daytime,0.928129,0.014628,0.022870,0.023104,0.670732,0.304878,0.272358,0.060976,0.242937,0.241403,0.242169,2,2
1778654541540416768.png,daytime,0.902559,0.013933,0.021463,0.020431,0.361789,0.321138,0.296748,0.117886,0.232258,0.252493,0.242164,3,2
1778654542279547136.png,daytime,0.933206,0.011524,0.018135,0.008717,0.752033,0.426829,0.394309,0.646341,0.363762,0.534807,0.441070,3,3
1778654542380464896.png,daytime,0.895462,0.012639,0.019297,0.012870,0.264228,0.386179,0.361789,0.394309,0.276931,0.347348,0.310147,2,2
1778654542447886592.png,daytime,0.897049,0.013819,0.021856,0.017610,0.296748,0.329268,0.288618,0.231707,0.259300,0.284315,0.271519,2,2
1778654542884237568.png,daytime,0.926585,0.013329,0.021310,0.032947,0.638211,0.369919,0.304878,0.028455,0.210660,0.212736,0.211695,3,2
1778654543018501376.png,daytime,0.947152,0.009394,0.014585,0.015259,0.995935,0.621951,0.630081,0.296748,0.448763,0.583368,0.511658,3,3
1778654543152904192.png,daytime,0.935568,0.009635,0.014843,0.010406,0.800813,0.605691,0.613821,0.565041,0.444127,0.640436,0.533325,2,3
1778654543220592384.png,daytime,0.940941,0.015301,0.023721,0.013214,0.947154,0.288618,0.239837,0.378049,0.298661,0.396782,0.344243,3,2
1778654543724225792.png,daytime,0.927849,0.010466,0.016493,0.018049,0.662602,0.500000,0.508130,0.215447,0.319243,0.436400,0.373253,2,2
1778654543757779200.png,daytime,0.939708,0.009737,0.015688,0.021472,0.898374,0.573171,0.565041,0.093496,0.375573,0.406119,0.390547,3,3
1778654543892158464.png,daytime,0.935775,0.008701,0.014272,0.014773,0.808943,0.703252,0.662602,0.304878,0.414862,0.582240,0.491476,3,3
1778654544564132352.png,daytime,0.934248,0.008725,0.014579,0.016204,0.768293,0.686992,0.638211,0.272358,0.418802,0.550358,0.480095,3,3
1778654544698655488.png,daytime,0.929280,0.009191,0.015152,0.019004,0.695122,0.654472,0.581301,0.158537,0.480922,0.452502,0.466495,3,3
1778654544765913088.png,daytime,0.928197,0.007592,0.012631,0.015660,0.678862,0.760163,0.719512,0.288618,0.496953,0.572153,0.533229,3,3
1778654545303325184.png,daytime,0.914307,0.010195,0.016338,0.014376,0.467480,0.532520,0.524390,0.329268,0.471224,0.455330,0.463209,2,3
1778654548696714240.png,daytime,0.915202,0.018192,0.030857,0.014431,0.491870,0.199187,0.126016,0.321138,0.249613,0.250933,0.250272,3,2
1778654548763821824.png,daytime,0.907836,0.017285,0.030316,0.014291,0.394309,0.247967,0.142276,0.337398,0.250129,0.261744,0.255871,2,2
1778654549200742656.png,daytime,0.888794,0.016731,0.028866,0.013677,0.199187,0.264228,0.158537,0.361789,0.261676,0.234399,0.247662,3,2
1778654549705001472.png,daytime,0.868277,0.016019,0.028161,0.007143,0.085366,0.280488,0.199187,0.743902,0.311877,0.244058,0.275892,2,2
1778654550577980672.png,daytime,0.937114,0.010364,0.017099,0.020329,0.833333,0.508130,0.459350,0.134146,0.368661,0.401910,0.384927,3,3
1778654551586182656.png,daytime,0.925657,0.013657,0.022823,0.022880,0.613821,0.353659,0.280488,0.077236,0.260552,0.261872,0.261211,2,2
1778654552023006464.png,daytime,0.896135,0.013664,0.023226,0.009239,0.272358,0.345528,0.264228,0.621951,0.317893,0.352646,0.334819,3,2
1778654552560216832.png,daytime,0.900482,0.011130,0.018199,0.024673,0.337398,0.443089,0.386179,0.052846,0.288147,0.235022,0.260232,3,2
1778654552728581632.png,daytime,0.930484,0.010093,0.015736,0.014696,0.711382,0.540650,0.556911,0.313008,0.377443,0.508850,0.438249,2,3
1778654552963489280.png,daytime,0.858893,0.007548,0.012993,0.010481,0.036585,0.776423,0.711382,0.556911,0.368775,0.325704,0.346571,2,2
1778654553165003264.png,daytime,0.878290,0.006426,0.010661,0.009652,0.142276,0.833333,0.817073,0.597561,0.392223,0.490511,0.438622,3,3
1778654554307480832.png,daytime,0.900922,0.017962,0.028777,0.003449,0.345528,0.215447,0.166667,0.987805,0.402343,0.332726,0.365882,3,2
1778654555012733952.png,daytime,0.922733,0.008317,0.013722,0.007173,0.565041,0.727642,0.678862,0.735772,0.646273,0.673179,0.659589,3,4
1778654555315239424.png,daytime,0.914399,0.009852,0.016346,0.004969,0.475610,0.556911,0.516260,0.922764,0.631814,0.596004,0.613648,2,3
1778654555853061888.png,daytime,0.893511,0.014622,0.025482,0.005392,0.231707,0.313008,0.215447,0.906504,0.532114,0.344986,0.428453,2,3
1778654556322932736.png,daytime,0.924482,0.013460,0.023711,0.006728,0.597561,0.361789,0.247967,0.808943,0.535141,0.456339,0.494172,3,3
1778654560186645504.png,daytime,0.908274,0.013711,0.025186,0.004027,0.402439,0.337398,0.223577,0.955285,0.487465,0.412668,0.448510,2,3
1778654560757846784.png,daytime,0.940550,0.010305,0.016874,0.009804,0.930894,0.516260,0.483740,0.581301,0.569478,0.606311,0.587606,3,3
1778654560892164864.png,daytime,0.944716,0.009664,0.015810,0.006713,0.971545,0.597561,0.540650,0.817073,0.530400,0.711632,0.614369,3,3
1778654563848655104.png,daytime,0.859816,0.021240,0.034589,0.006488,0.044715,0.126016,0.085366,0.849593,0.325396,0.142182,0.215094,3,2
1778654563983128064.png,daytime,0.861871,0.020132,0.032634,0.008378,0.060976,0.150407,0.093496,0.678862,0.285688,0.155328,0.210655,2,2
1778654564789201920.png,daytime,0.932291,0.017262,0.028310,0.006729,0.735772,0.256098,0.182927,0.800813,0.369514,0.407605,0.388092,3,3
1778654564856418816.png,daytime,0.923011,0.017446,0.028381,0.006864,0.573171,0.239837,0.174797,0.768293,0.364005,0.368608,0.366300,3,2
1778654565024515584.png,daytime,0.921779,0.017965,0.029270,0.009976,0.556911,0.207317,0.150407,0.573171,0.376832,0.315859,0.345001,2,2
1778654565394030592.png,daytime,0.935450,0.018369,0.031652,0.005240,0.784553,0.182927,0.117886,0.914634,0.353214,0.352698,0.352956,2,2
1778654566704396032.png,daytime,0.920111,0.006725,0.011749,0.008929,0.524390,0.817073,0.760163,0.638211,0.637203,0.675222,0.655937,3,4
1778654566805146368.png,daytime,0.921328,0.003715,0.005935,0.005777,0.540650,0.930894,0.930894,0.882114,0.734351,0.801790,0.767330,3,4
1778654566906248704.png,daytime,0.923459,0.010243,0.017664,0.012174,0.581301,0.524390,0.434959,0.443089,0.544802,0.492322,0.517898,3,3
1778654567174823168.png,daytime,0.931381,0.006173,0.010742,0.012063,0.727642,0.849593,0.800813,0.459350,0.599442,0.690559,0.643390,3,4
1778654567746037504.png,daytime,0.925745,0.005598,0.008953,0.011967,0.630081,0.890244,0.890244,0.475610,0.615853,0.698098,0.655687,3,4
1778654568014724352.png,daytime,0.936294,0.006018,0.008528,0.011606,0.817073,0.865854,0.906504,0.483740,0.617853,0.746314,0.679053,3,4
1778654568787365888.png,daytime,0.943810,0.026550,0.020511,0.002631,0.963415,0.101626,0.321138,0.995935,0.669638,0.420664,0.530747,3,3
1778654569056366080.png,daytime,0.923918,0.052929,0.023357,0.003534,0.589431,0.044715,0.256098,0.979675,0.601957,0.285164,0.414314,3,3
1778654569459179264.png,daytime,0.937761,0.146912,0.036011,0.009772,0.849593,0.004065,0.069106,0.589431,0.439194,0.108907,0.218704,2,2
1778654569526403584.png,daytime,0.940183,0.104468,0.024599,0.006025,0.914634,0.012195,0.231707,0.873984,0.549891,0.218006,0.346237,2,2
1778654569728078848.png,daytime,0.939354,0.009374,0.009451,0.006302,0.873984,0.630081,0.857724,0.865854,0.652954,0.799692,0.722608,3,4
1778654569963199744.png,daytime,0.939109,0.026419,0.010567,0.009577,0.865854,0.109756,0.825203,0.605691,0.645084,0.466843,0.548774,3,3
1778654570568186368.png,daytime,0.940891,0.022823,0.008989,0.006600,0.939024,0.117886,0.882114,0.833333,0.586641,0.534098,0.559753,2,3
1778654571105585920.png,daytime,0.939758,0.039456,0.011497,0.009388,0.906504,0.069106,0.776423,0.613821,0.641538,0.415677,0.516404,3,3
1778654571206541312.png,daytime,0.937333,0.028270,0.010106,0.008475,0.841463,0.085366,0.833333,0.662602,0.624047,0.446270,0.527725,2,3
1778654573188635392.png,daytime,0.906600,0.068105,0.070809,0.003641,0.378049,0.020325,0.012195,0.971545,0.183695,0.097681,0.133953,3,1
1778654573222289920.png,daytime,0.896255,0.052137,0.054337,0.014080,0.280488,0.052846,0.020325,0.353659,0.177122,0.101598,0.134146,3,1
1778654574532382720.png,daytime,0.855927,0.031172,0.045920,0.020960,0.028455,0.077236,0.028455,0.101626,0.131844,0.050210,0.081362,2,1
1778654575741951232.png,daytime,0.899153,0.063982,0.026862,0.006805,0.321138,0.028455,0.207317,0.776423,0.413208,0.195838,0.284468,2,2
1778654576682651648.png,daytime,0.945485,0.026903,0.019737,0.006763,0.979675,0.093496,0.337398,0.792683,0.578717,0.395621,0.478490,3,3
1778654578564049664.png,daytime,0.851259,0.020669,0.040181,0.009211,0.020325,0.142276,0.044715,0.630081,0.233599,0.095007,0.148975,2,2
1778654579572128000.png,daytime,0.914913,0.015062,0.018226,0.012793,0.483740,0.296748,0.378049,0.410569,0.447910,0.386352,0.415994,3,3
1778654579975360000.png,daytime,0.945775,0.005749,0.016969,0.012511,0.987805,0.882114,0.467480,0.426829,0.515711,0.645733,0.577072,3,3
1778654580243854592.png,daytime,0.889916,0.044905,0.017519,0.007979,0.215447,0.060976,0.443089,0.695122,0.462354,0.252210,0.341482,2,2
1778654583368395264.png,daytime,0.860772,0.019276,0.038169,0.040938,0.052846,0.158537,0.052846,0.012195,0.059642,0.048204,0.053619,3,1
1778654583670701568.png,daytime,0.921274,0.020750,0.040842,0.020372,0.532520,0.134146,0.036585,0.126016,0.090956,0.134714,0.110694,3,1
1778654583771628800.png,daytime,0.898566,0.017935,0.035543,0.016432,0.313008,0.223577,0.077236,0.247967,0.112416,0.191337,0.146660,3,2
1778654583839068672.png,daytime,0.936554,0.018365,0.036357,0.018186,0.825203,0.191057,0.060976,0.207317,0.077755,0.211290,0.128175,3,1
1778654589818945792.png,daytime,0.850338,0.057936,0.089574,0.019858,0.004065,0.036585,0.004065,0.150407,0.071643,0.017365,0.035272,3,1
1779448577384180992.png,nighttime,0.866135,0.009976,0.016837,0.019367,0.056667,0.510000,0.423333,0.216667,0.419517,0.226904,0.308529,3,2
1779448577584323584.png,nighttime,0.867935,0.005766,0.009553,0.019604,0.076667,0.810000,0.803333,0.203333,0.476076,0.317358,0.388698,3,2
1779448578918752768.png,nighttime,0.899737,0.008282,0.013854,0.026315,0.250000,0.623333,0.616667,0.123333,0.405075,0.329950,0.365588,2,2
1779448593829102336.png,nighttime,0.889803,0.005815,0.010190,0.018345,0.203333,0.803333,0.770000,0.230000,0.442152,0.412411,0.427023,3,3
1779448594896496128.png,nighttime,0.922236,0.005675,0.009903,0.022964,0.430000,0.823333,0.783333,0.150000,0.401276,0.451617,0.425703,2,3
1779448595296903936.png,nighttime,0.906426,0.006022,0.010696,0.021209,0.303333,0.783333,0.750000,0.176667,0.365300,0.421231,0.392270,3,3
1779448595830617088.png,nighttime,0.938196,0.005533,0.008957,0.012571,0.616667,0.850000,0.843333,0.430000,0.462623,0.660289,0.552689,3,3
1779448596030724864.png,nighttime,0.912690,0.005611,0.009026,0.016194,0.330000,0.830000,0.836667,0.270000,0.454519,0.498743,0.476118,2,3
1779448597465017088.png,nighttime,0.871935,0.005436,0.008821,0.011206,0.116667,0.863333,0.850000,0.483333,0.438244,0.451022,0.444587,3,3
1779448598732770816.png,nighttime,0.906304,0.010386,0.017054,0.013458,0.296667,0.476667,0.403333,0.376667,0.389756,0.382848,0.386286,3,2
1779448598932603648.png,nighttime,0.930517,0.011308,0.019953,0.022428,0.503333,0.430000,0.250000,0.163333,0.328996,0.306609,0.317605,2,2
1779448599466561536.png,nighttime,0.924850,0.012450,0.022316,0.010967,0.463333,0.356667,0.210000,0.490000,0.356223,0.361113,0.358660,3,2
1779448601968534016.png,nighttime,0.936939,0.013237,0.023810,0.013052,0.603333,0.316667,0.176667,0.403333,0.338522,0.341582,0.340048,2,2
1779448602302164224.png,nighttime,0.880873,0.010705,0.018991,0.021019,0.156667,0.456667,0.283333,0.183333,0.304366,0.246904,0.274134,3,2
1779448603202598400.png,nighttime,0.936718,0.005091,0.008084,0.009821,0.583333,0.876667,0.883333,0.583333,0.499254,0.716470,0.598081,3,3
1779448615510915328.png,nighttime,0.916673,0.008238,0.014662,0.009344,0.370000,0.630000,0.550000,0.610000,0.453507,0.528821,0.489718,2,3
1779448618746842112.png,nighttime,0.873825,0.006043,0.009665,0.018082,0.136667,0.776667,0.796667,0.243333,0.361612,0.378742,0.370078,3,2
1779448619247128320.png,nighttime,0.921274,0.005925,0.009414,0.015332,0.410000,0.790000,0.816667,0.323333,0.388001,0.540787,0.458067,3,3
1779448619413827840.png,nighttime,0.912817,0.005583,0.009136,0.015115,0.336667,0.836667,0.830000,0.336667,0.390661,0.529673,0.454887,2,3
1779448619813985536.png,nighttime,0.940149,0.006955,0.011424,0.008422,0.643333,0.730000,0.730000,0.696667,0.446047,0.699080,0.558411,2,3
1779448620281001216.png,nighttime,0.922253,0.004672,0.007515,0.010471,0.436667,0.883333,0.896667,0.516667,0.493530,0.650173,0.566463,3,3
1779448620814788096.png,nighttime,0.936762,0.006971,0.011605,0.011833,0.590000,0.723333,0.723333,0.456667,0.456653,0.612748,0.528974,3,3
1779448621381746176.png,nighttime,0.945037,0.008015,0.013305,0.006717,0.696667,0.656667,0.650000,0.803333,0.521347,0.699109,0.603721,2,3
1779448621982224896.png,nighttime,0.917089,0.003074,0.005536,0.019509,0.383333,0.950000,0.950000,0.210000,0.394706,0.519171,0.452681,2,3
1779448622115595520.png,nighttime,0.926285,0.005868,0.009309,0.019874,0.476667,0.796667,0.823333,0.196667,0.424726,0.497966,0.459890,3,3
1779448628587282432.png,nighttime,0.957460,0.007653,0.012219,0.010086,0.790000,0.676667,0.696667,0.556667,0.582664,0.674770,0.627028,2,3
1779448628754166016.png,nighttime,0.961265,0.011997,0.017852,0.007807,0.843333,0.383333,0.356667,0.750000,0.523197,0.542282,0.532654,3,3
1779448629020662272.png,nighttime,0.965598,0.011794,0.017286,0.010127,0.943333,0.396667,0.383333,0.550000,0.535969,0.529978,0.532965,3,3
1779448633156790272.png,nighttime,0.959241,0.009420,0.013704,0.008517,0.816667,0.550000,0.623333,0.690000,0.620657,0.662971,0.641465,2,3
1779448634958011392.png,nighttime,0.948328,0.010546,0.016825,0.008796,0.736667,0.470000,0.430000,0.670000,0.469781,0.561989,0.513821,2,3
1779448639694974976.png,nighttime,0.965052,0.007198,0.011635,0.005419,0.923333,0.703333,0.716667,0.883333,0.590595,0.800738,0.687686,3,4
1779448640862080768.png,nighttime,0.964783,0.006333,0.010020,0.007810,0.916667,0.756667,0.776667,0.743333,0.668673,0.795488,0.729330,2,4
1779448641195688704.png,nighttime,0.966209,0.007088,0.011414,0.006818,0.950000,0.716667,0.736667,0.796667,0.634037,0.795055,0.709996,2,4
1779448642863913472.png,nighttime,0.963398,0.016137,0.029719,0.015440,0.870000,0.263333,0.096667,0.316667,0.339344,0.289385,0.313371,3,2
1779448643731123456.png,nighttime,0.966502,0.009058,0.014922,0.009403,0.956667,0.570000,0.543333,0.603333,0.602893,0.650227,0.626113,3,3
1779448644197775104.png,nighttime,0.971468,0.008945,0.015181,0.009270,0.990000,0.576667,0.516667,0.630000,0.593085,0.656565,0.624018,2,3
1779448644965228800.png,nighttime,0.960557,0.042449,0.018386,0.010561,0.830000,0.103333,0.336667,0.510000,0.552663,0.348355,0.438775,3,3
1779448645498783744.png,nighttime,0.958047,0.127258,0.024257,0.010729,0.803333,0.023333,0.170000,0.503333,0.391939,0.200122,0.280063,2,2
1779448646566616576.png,nighttime,0.868451,0.003264,0.006452,0.006213,0.090000,0.936667,0.936667,0.843333,0.388407,0.507987,0.444191,3,3
1779448648100537088.png,nighttime,0.965324,0.041734,0.020424,0.009253,0.930000,0.110000,0.236667,0.636667,0.425675,0.352356,0.387284,3,2
1779448649534886400.png,nighttime,0.867593,0.019017,0.019458,0.007812,0.070000,0.190000,0.270000,0.736667,0.390704,0.226789,0.297670,2,2
1779448651903224320.png,nighttime,0.934016,0.083410,0.018780,0.014647,0.536667,0.036667,0.303333,0.343333,0.351344,0.212766,0.273412,2,2
1779448651969966336.png,nighttime,0.916913,0.058815,0.017733,0.012294,0.376667,0.076667,0.370000,0.436667,0.431422,0.261354,0.335788,3,2
1779448665479451648.png,nighttime,0.973406,0.055109,0.017168,0.006420,0.996667,0.083333,0.390000,0.816667,0.604631,0.403292,0.493804,3,3
1779448665579691776.png,nighttime,0.962701,0.042973,0.018493,0.006448,0.856667,0.096667,0.323333,0.810000,0.620374,0.383757,0.487927,3,3
1779448665913008384.png,nighttime,0.936363,0.055084,0.014253,0.005657,0.570000,0.090000,0.583333,0.863333,0.619677,0.400916,0.498436,2,3
1779448666180243712.png,nighttime,0.957570,0.071760,0.016207,0.005544,0.796667,0.050000,0.450000,0.876667,0.597940,0.354057,0.460114,2,3
1779448666246638848.png,nighttime,0.951393,0.066543,0.014926,0.005194,0.743333,0.070000,0.536667,0.896667,0.596804,0.397790,0.487240,3,3
1779448667314095616.png,nighttime,0.922879,0.007564,0.015574,0.011380,0.450000,0.683333,0.483333,0.476667,0.323863,0.515913,0.408761,2,3
1779448668915440384.png,nighttime,0.936877,0.017309,0.017039,0.010439,0.596667,0.236667,0.410000,0.523333,0.390770,0.417213,0.403775,3,3
1779448669548905984.png,nighttime,0.967297,0.019292,0.015675,0.013226,0.970000,0.176667,0.476667,0.396667,0.536383,0.424269,0.477044,3,3
1779448670016088320.png,nighttime,0.968987,0.014272,0.015175,0.009911,0.983333,0.296667,0.523333,0.570000,0.565896,0.543132,0.554397,3,3
1779448670950046208.png,nighttime,0.953415,0.016241,0.015544,0.009308,0.763333,0.256667,0.490000,0.616667,0.520050,0.493268,0.506482,3,3
1779448720800907008.png,nighttime,0.919620,0.011798,0.017787,0.494852,0.396667,0.390000,0.363333,0.016667,0.125507,0.174949,0.148180,2,2
1779448721434554624.png,nighttime,0.895711,0.012486,0.019732,0.467569,0.216667,0.343333,0.263333,0.030000,0.124857,0.155698,0.139428,3,2
1779448721534759936.png,nighttime,0.905026,0.014254,0.023028,0.005701,0.283333,0.303333,0.196667,0.856667,0.358157,0.346889,0.352478,3,2
1779448722335544832.png,nighttime,0.887940,0.017671,0.028774,0.015535,0.196667,0.223333,0.116667,0.310000,0.256230,0.199640,0.226172,3,2
1779448722402101504.png,nighttime,0.916509,0.016471,0.027202,0.013573,0.363333,0.243333,0.130000,0.370000,0.253879,0.255366,0.254621,3,2
1779448722868809472.png,nighttime,0.865951,0.017714,0.027496,0.484769,0.050000,0.216667,0.123333,0.023333,0.090997,0.074723,0.082459,2,1
1779448724536740096.png,nighttime,0.923449,0.018244,0.030677,0.504992,0.456667,0.203333,0.070000,0.003333,0.061641,0.068225,0.064850,2,1
1779448728172612864.png,nighttime,0.858657,0.165240,0.184806,0.439775,0.010000,0.016667,0.010000,0.036667,0.046344,0.015723,0.026994,3,1
1779448729507198464.png,nighttime,0.883041,0.020942,0.032149,0.497313,0.163333,0.156667,0.056667,0.010000,0.080613,0.061708,0.070530,3,1
1779448731508374528.png,nighttime,0.913380,0.021165,0.032337,0.015859,0.356667,0.150000,0.050000,0.283333,0.160904,0.165923,0.163394,2,2
1779448756425767680.png,nighttime,0.920551,0.015929,0.026467,0.005141,0.403333,0.270000,0.150000,0.903333,0.494112,0.348531,0.414986,3,3
1779448756459122432.png,nighttime,0.964621,0.020771,0.033862,0.006348,0.910000,0.163333,0.036667,0.823333,0.415039,0.258816,0.327748,3,2
