arm,id,detected,legacy_population,E_fixed,E_sym,fixed_mean_px,sym_mean_px,branch,annotated_corners,legacy_fixed9_px,legacy_buggy9_px,corrected9_px,mask_bug_changed_metric,mask_noninvariant,mask_changed_slots,rescue,true_collapse
F0,capture_20260902_kimjihoon_manual_gt__006929,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0030399441637887076,0.0030399441637887076,2.431955331030966,2.431955331030966,0,8,2.5754019228471186,2.5754019228471186,2.5754019228471186,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__007049,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.003273979052404086,0.003273979052404086,2.619183241923269,2.619183241923269,0,8,2.6445946515357392,2.6445946515357392,2.6445946515357392,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__007169,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.006867527124749999,0.006867527124749999,5.494021699799999,5.494021699799999,0,8,5.245630768895203,5.245630768895203,5.245630768895203,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__007289,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.005480003788839259,0.005480003788839259,4.3840030310714075,4.3840030310714075,0,8,4.142820994584585,4.142820994584585,4.142820994584585,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__007409,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.007008307643321732,0.007008307643321732,5.606646114657385,5.606646114657385,0,8,5.432564770784733,5.432564770784733,5.432564770784733,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__007529,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.003926940724738008,0.003926940724738008,3.1415525797904063,3.1415525797904063,0,8,2.927937863890467,2.927937863890467,2.927937863890467,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__007649,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002035788858767814,0.002035788858767814,1.6286310870142513,1.6286310870142513,0,8,1.5123173524858826,1.5123173524858826,1.5123173524858826,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__007769,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002547428063622176,0.002547428063622176,2.037942450897741,2.037942450897741,0,8,1.9589307527678592,1.9589307527678592,1.9589307527678592,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__007889,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.003733238715472421,0.003733238715472421,2.986590972377937,2.986590972377937,0,8,2.9122447184976243,2.9122447184976243,2.9122447184976243,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__008009,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002056454617275363,0.002056454617275363,1.6451636938202903,1.6451636938202903,0,8,1.5610042131507926,1.5610042131507926,1.5610042131507926,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__008129,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0016036383306336154,0.0016036383306336154,1.2829106645068924,1.2829106645068924,0,8,1.2392621450689094,1.2392621450689094,1.2392621450689094,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__008249,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002380183607509963,0.002380183607509963,1.9041468860079704,1.9041468860079704,0,8,2.0210972985716698,2.0210972985716698,2.0210972985716698,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__008369,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.007128429369410705,0.007128429369410705,5.702743495528564,5.702743495528564,0,8,5.3126928317599456,5.3126928317599456,5.3126928317599456,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__008489,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.008281114799787858,0.008281114799787858,6.624891839830287,6.624891839830287,0,8,6.311767840562695,6.311767840562695,6.311767840562695,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__008609,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004148986008164975,0.004148986008164975,3.31918880653198,3.31918880653198,0,8,3.1458129761897244,3.1458129761897244,3.1458129761897244,False,False,0,False,False
F0,capture_20260902_manual_gt__008663,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.10047563542440816,0.10047563542440816,80.38050833952653,80.38050833952653,0,8,72.05636525218003,72.05636525218003,72.05636525218003,False,False,0,False,True
F0,capture_20260902_manual_gt__009083,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.005550034808368065,0.005550034808368065,4.440027846694452,4.440027846694452,0,8,4.695928874364532,4.695928874364532,4.695928874364532,False,False,0,False,False
F0,capture_20260902_manual_gt__009263,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0027321933898167,0.0027321933898167,2.18575471185336,2.18575471185336,0,8,2.1076961879070857,2.1076961879070857,2.1076961879070857,False,False,0,False,False
F0,capture_20260902_manual_gt__010343,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.010508788597476894,0.010508788597476894,8.407030877981516,8.407030877981516,0,8,7.784737127252391,7.784737127252391,7.784737127252391,False,False,0,False,False
F0,capture_20260902_manual_gt__010523,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.07198740939241242,0.07198740939241242,57.58992751392994,57.58992751392994,0,8,52.35872101510558,52.35872101510558,52.35872101510558,False,False,0,False,True
F0,capture_20260902_manual_gt__011123,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002665492275707432,0.002665492275707432,2.1323938205659454,2.1323938205659454,0,8,2.0271267764839873,2.0271267764839873,2.0271267764839873,False,False,0,False,False
